cell_line,agent,concentration,parameter,rate,obj_func
HCC1937,R0-3306,10.0,$k_{S}$,0.005866487557969208,791.7602573100735
HCC1937,R0-3306,10.0,$k_{G2}$,0.0027819816835423466,791.7602573100735
HCC1937,R0-3306,10.0,$k_{M}$$k_{G1}$,0.0018122157855393992,791.7602573100735
HCC1937,R0-3306,10.0,$k_{\phi}$,1e-07,791.7602573100735
HCC1937,R0-3306,10.0,$k_{S}$,0.0036003874185320532,2243.768015729376
HCC1937,R0-3306,10.0,$k_{G2}$,0.0034440414075200543,2243.768015729376
HCC1937,R0-3306,10.0,$k_{M}$$k_{G1}$,0.002290538279734941,2243.768015729376
HCC1937,R0-3306,10.0,$k_{\phi}$,1e-07,2243.768015729376
HCC1937,R0-3306,10.0,$k_{S}$,0.002719367494684946,1122.5705120960638
HCC1937,R0-3306,10.0,$k_{G2}$,0.003468141071241814,1122.5705120960638
HCC1937,R0-3306,10.0,$k_{M}$$k_{G1}$,0.0013550147493263224,1122.5705120960638
HCC1937,R0-3306,10.0,$k_{\phi}$,1e-07,1122.5705120960638
HCC1937,R0-3306,0.031623,$k_{S}$,0.03736015032191145,1.8085946841382678e-08
HCC1937,R0-3306,0.031623,$k_{G2}$,0.035107842029770006,1.8085946841382678e-08
HCC1937,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.07852165104895403,1.8085946841382678e-08
HCC1937,R0-3306,0.031623,$k_{\phi}$,0.8177989519401424,1.8085946841382678e-08
HCC1937,R0-3306,0.031623,$k_{S}$,0.03984929602705137,3.2605301575979415e-10
HCC1937,R0-3306,0.031623,$k_{G2}$,0.046000345385714514,3.2605301575979415e-10
HCC1937,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.0902743305825201,3.2605301575979415e-10
HCC1937,R0-3306,0.031623,$k_{\phi}$,0.45064744069669205,3.2605301575979415e-10
HCC1937,R0-3306,0.031623,$k_{S}$,0.04149726281422342,2.2035665384918719e-10
HCC1937,R0-3306,0.031623,$k_{G2}$,0.04494939667940656,2.2035665384918719e-10
HCC1937,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.08449261779340995,2.2035665384918719e-10
HCC1937,R0-3306,0.031623,$k_{\phi}$,0.38368642761898475,2.2035665384918719e-10
HCC1937,R0-3306,0.01,$k_{S}$,0.03790358440769906,2.9237483343404285e-10
HCC1937,R0-3306,0.01,$k_{G2}$,0.03443220433123462,2.9237483343404285e-10
HCC1937,R0-3306,0.01,$k_{M}$$k_{G1}$,0.05624887105445355,2.9237483343404285e-10
HCC1937,R0-3306,0.01,$k_{\phi}$,0.4266070685025016,2.9237483343404285e-10
HCC1937,R0-3306,0.01,$k_{S}$,0.031180531780043454,1.8664352808465546e-10
HCC1937,R0-3306,0.01,$k_{G2}$,0.03189404927089988,1.8664352808465546e-10
HCC1937,R0-3306,0.01,$k_{M}$$k_{G1}$,0.06906506121423399,1.8664352808465546e-10
HCC1937,R0-3306,0.01,$k_{\phi}$,0.2593132553889077,1.8664352808465546e-10
HCC1937,R0-3306,0.01,$k_{S}$,0.03990966597227925,3.0877789384127513e-10
HCC1937,R0-3306,0.01,$k_{G2}$,0.04224941273012826,3.0877789384127513e-10
HCC1937,R0-3306,0.01,$k_{M}$$k_{G1}$,0.08531018149594304,3.0877789384127513e-10
HCC1937,R0-3306,0.01,$k_{\phi}$,0.37706606802565046,3.0877789384127513e-10
HCC1937,R0-3306,0.003162,$k_{S}$,0.03935997464161398,3.1791042765356684e-10
HCC1937,R0-3306,0.003162,$k_{G2}$,0.03745703678090833,3.1791042765356684e-10
HCC1937,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.0882561601163434,3.1791042765356684e-10
HCC1937,R0-3306,0.003162,$k_{\phi}$,0.35546200775368814,3.1791042765356684e-10
HCC1937,R0-3306,0.003162,$k_{S}$,0.03596822166646733,2.409379517151335e-10
HCC1937,R0-3306,0.003162,$k_{G2}$,0.03473269394837795,2.409379517151335e-10
HCC1937,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.07764925022238182,2.409379517151335e-10
HCC1937,R0-3306,0.003162,$k_{\phi}$,0.341437922998325,2.409379517151335e-10
HCC1937,R0-3306,0.003162,$k_{S}$,0.039305479939169316,2.5772354561223906e-10
HCC1937,R0-3306,0.003162,$k_{G2}$,0.03919931838884166,2.5772354561223906e-10
