cell_line,agent,concentration,parameter,rate,obj_func
HCC70,E17,0.031623,$k_{S}$,0.003106271886281363,457828.43851161166
HCC70,E17,0.031623,$k_{G2}$,0.01595598458800605,457828.43851161166
HCC70,E17,0.031623,$k_{M}$$k_{G1}$,0.011555533674242342,457828.43851161166
HCC70,E17,0.031623,$k_{\phi}$,1e-07,457828.43851161166
HCC70,E17,0.031623,$k_{S}$,0.0018906744971461259,421655.6562632845
HCC70,E17,0.031623,$k_{G2}$,0.013640396942586336,421655.6562632845
HCC70,E17,0.031623,$k_{M}$$k_{G1}$,0.014106508011036783,421655.6562632845
HCC70,E17,0.031623,$k_{\phi}$,1e-07,421655.6562632845
HCC70,E17,0.031623,$k_{S}$,0.0026756966984004477,421655.6958994682
HCC70,E17,0.031623,$k_{G2}$,0.014136597533574758,421655.6958994682
HCC70,E17,0.031623,$k_{M}$$k_{G1}$,0.015271273890721986,421655.6958994682
HCC70,E17,0.031623,$k_{\phi}$,1e-07,421655.6958994682
HCC70,E17,0.001,$k_{S}$,0.043389341557254754,1.3534482608054144e-09
HCC70,E17,0.001,$k_{G2}$,0.029957942446598076,1.3534482608054144e-09
HCC70,E17,0.001,$k_{M}$$k_{G1}$,0.11569996034587166,1.3534482608054144e-09
HCC70,E17,0.001,$k_{\phi}$,0.46627066541625845,1.3534482608054144e-09
HCC70,E17,0.001,$k_{S}$,0.04545686327660514,3.1159087302624716e-09
HCC70,E17,0.001,$k_{G2}$,0.027600151761213734,3.1159087302624716e-09
HCC70,E17,0.001,$k_{M}$$k_{G1}$,0.11542742934258698,3.1159087302624716e-09
HCC70,E17,0.001,$k_{\phi}$,0.5049485816078413,3.1159087302624716e-09
HCC70,E17,0.001,$k_{S}$,0.03682635309897767,1.7431441809175057e-09
HCC70,E17,0.001,$k_{G2}$,0.02404331677842806,1.7431441809175057e-09
HCC70,E17,0.001,$k_{M}$$k_{G1}$,0.08663037247993713,1.7431441809175057e-09
HCC70,E17,0.001,$k_{\phi}$,0.2893592570398669,1.7431441809175057e-09
HCC70,E17,0.316228,$k_{S}$,0.0033258151911092805,489213.6809159374
HCC70,E17,0.316228,$k_{G2}$,0.014172697759169788,489213.6809159374
HCC70,E17,0.316228,$k_{M}$$k_{G1}$,0.014080585350461458,489213.6809159374
HCC70,E17,0.316228,$k_{\phi}$,1e-07,489213.6809159374
HCC70,E17,0.316228,$k_{S}$,0.0020405424924532247,484844.35272881464
HCC70,E17,0.316228,$k_{G2}$,0.014069454419110604,484844.35272881464
HCC70,E17,0.316228,$k_{M}$$k_{G1}$,0.014246537005845557,484844.35272881464
HCC70,E17,0.316228,$k_{\phi}$,1e-07,484844.35272881464
HCC70,E17,0.316228,$k_{S}$,0.00250403389813284,504978.6133612172
