cell_line,agent,concentration,parameter,rate,obj_func
HCC70,LEE011_Ribociclib,0.316228,$k_{S}$,0.03981151826707449,2.4098415744198053e-09
HCC70,LEE011_Ribociclib,0.316228,$k_{G2}$,0.03015424611132817,2.4098415744198053e-09
HCC70,LEE011_Ribociclib,0.316228,$k_{M}$$k_{G1}$,0.09145037875586154,2.4098415744198053e-09
HCC70,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.6069208196350644,2.4098415744198053e-09
HCC70,LEE011_Ribociclib,0.316228,$k_{S}$,0.04242291203798927,2.5174156603188366e-09
HCC70,LEE011_Ribociclib,0.316228,$k_{G2}$,0.027168046414223667,2.5174156603188366e-09
HCC70,LEE011_Ribociclib,0.316228,$k_{M}$$k_{G1}$,0.09323258193327995,2.5174156603188366e-09
HCC70,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.8352907451641578,2.5174156603188366e-09
HCC70,LEE011_Ribociclib,0.316228,$k_{S}$,0.04149949751041064,2.6030975372533973e-09
HCC70,LEE011_Ribociclib,0.316228,$k_{G2}$,0.028670876674376126,2.6030975372533973e-09
HCC70,LEE011_Ribociclib,0.316228,$k_{M}$$k_{G1}$,0.09327288913249385,2.6030975372533973e-09
HCC70,LEE011_Ribociclib,0.316228,$k_{\phi}$,0.4402411508090191,2.6030975372533973e-09
HCC70,LEE011_Ribociclib,3.162278,$k_{S}$,0.037632025165762945,2.3938563288895694e-09
HCC70,LEE011_Ribociclib,3.162278,$k_{G2}$,0.027915215552622552,2.3938563288895694e-09
HCC70,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.0828557391511997,2.3938563288895694e-09
HCC70,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.41630285998852695,2.3938563288895694e-09
HCC70,LEE011_Ribociclib,3.162278,$k_{S}$,0.03949145675262726,2.2919549572980016e-09
HCC70,LEE011_Ribociclib,3.162278,$k_{G2}$,0.027974833122853583,2.2919549572980016e-09
HCC70,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.09303206521266687,2.2919549572980016e-09
HCC70,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.48117085556179257,2.2919549572980016e-09
HCC70,LEE011_Ribociclib,3.162278,$k_{S}$,0.04288029106526049,3.082818529795202e-06
HCC70,LEE011_Ribociclib,3.162278,$k_{G2}$,0.03405569553442609,3.082818529795202e-06
HCC70,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.10350712627460468,3.082818529795202e-06
HCC70,LEE011_Ribociclib,3.162278,$k_{\phi}$,0.7057198663178631,3.082818529795202e-06
HCC70,LEE011_Ribociclib,0.001,$k_{S}$,0.03664842174243146,3.059293703652324e-09
HCC70,LEE011_Ribociclib,0.001,$k_{G2}$,0.027589069819862536,3.059293703652324e-09
HCC70,LEE011_Ribociclib,0.001,$k_{M}$$k_{G1}$,0.08970116036737047,3.059293703652324e-09
HCC70,LEE011_Ribociclib,0.001,$k_{\phi}$,0.4285727510156308,3.059293703652324e-09
HCC70,LEE011_Ribociclib,0.001,$k_{S}$,0.04310076820959902,9.677423195720319e-10
HCC70,LEE011_Ribociclib,0.001,$k_{G2}$,0.030632756480100578,9.677423195720319e-10
HCC70,LEE011_Ribociclib,0.001,$k_{M}$$k_{G1}$,0.10970680884831348,9.677423195720319e-10
HCC70,LEE011_Ribociclib,0.001,$k_{\phi}$,0.45127398509636224,9.677423195720319e-10
HCC70,LEE011_Ribociclib,0.001,$k_{S}$,0.043868373628413566,2.7491343938695913e-09
HCC70,LEE011_Ribociclib,0.001,$k_{G2}$,0.030061780910401716,2.7491343938695913e-09
HCC70,LEE011_Ribociclib,0.001,$k_{M}$$k_{G1}$,0.09283236114430643,2.7491343938695913e-09
HCC70,LEE011_Ribociclib,0.001,$k_{\phi}$,0.7954230626483771,2.7491343938695913e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{S}$,0.03928143581700516,3.1523555029495593e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{G2}$,0.03134959171837017,3.1523555029495593e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{M}$$k_{G1}$,0.10579753997504567,3.1523555029495593e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{\phi}$,0.5824021559716446,3.1523555029495593e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{S}$,0.04040767603758003,2.5018225707204255e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{G2}$,0.02636212063587909,2.5018225707204255e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{M}$$k_{G1}$,0.1037962632267944,2.5018225707204255e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{\phi}$,0.45229611100969214,2.5018225707204255e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{S}$,0.0452970032270193,3.76713737938544e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{G2}$,0.03044542390415739,3.76713737938544e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{M}$$k_{G1}$,0.09763132262452578,3.76713737938544e-09
HCC70,LEE011_Ribociclib,0.031623,$k_{\phi}$,0.5562540329324935,3.76713737938544e-09
HCC70,LEE011_Ribociclib,0.1,$k_{S}$,0.04094754073119689,2.6825112025259354e-09
HCC70,LEE011_Ribociclib,0.1,$k_{G2}$,0.03080911568238707,2.6825112025259354e-09
HCC70,LEE011_Ribociclib,0.1,$k_{M}$$k_{G1}$,0.1076331309458805,2.6825112025259354e-09
HCC70,LEE011_Ribociclib,0.1,$k_{\phi}$,0.5118485977200303,2.6825112025259354e-09
HCC70,LEE011_Ribociclib,0.1,$k_{S}$,0.03787515819103998,2.896235435689191e-07
HCC70,LEE011_Ribociclib,0.1,$k_{G2}$,0.02677043588082908,2.896235435689191e-07
HCC70,LEE011_Ribociclib,0.1,$k_{M}$$k_{G1}$,0.08650632778846039,2.896235435689191e-07
HCC70,LEE011_Ribociclib,0.1,$k_{\phi}$,0.5335184247835604,2.896235435689191e-07
HCC70,LEE011_Ribociclib,0.1,$k_{S}$,0.04285502932175655,2.3616989230694323e-09
HCC70,LEE011_Ribociclib,0.1,$k_{G2}$,0.031376016866723984,2.3616989230694323e-09
HCC70,LEE011_Ribociclib,0.1,$k_{M}$$k_{G1}$,0.10571445045972727,2.3616989230694323e-09
HCC70,LEE011_Ribociclib,0.1,$k_{\phi}$,0.8534265598396038,2.3616989230694323e-09
HCC70,LEE011_Ribociclib,0.01,$k_{S}$,0.0351866424722374,2.5406111782018953e-09
HCC70,LEE011_Ribociclib,0.01,$k_{G2}$,0.024922442237522806,2.5406111782018953e-09
HCC70,LEE011_Ribociclib,0.01,$k_{M}$$k_{G1}$,0.08263621194203168,2.5406111782018953e-09
HCC70,LEE011_Ribociclib,0.01,$k_{\phi}$,0.3285091079493853,2.5406111782018953e-09
HCC70,LEE011_Ribociclib,0.01,$k_{S}$,0.04138729083954765,1.8049388378867347e-09
HCC70,LEE011_Ribociclib,0.01,$k_{G2}$,0.028090426187635815,1.8049388378867347e-09
HCC70,LEE011_Ribociclib,0.01,$k_{M}$$k_{G1}$,0.09647449118288134,1.8049388378867347e-09
HCC70,LEE011_Ribociclib,0.01,$k_{\phi}$,0.7633432889869605,1.8049388378867347e-09
HCC70,LEE011_Ribociclib,0.01,$k_{S}$,0.04163375020799069,1.2762545441034236e-09
HCC70,LEE011_Ribociclib,0.01,$k_{G2}$,0.031059676240670443,1.2762545441034236e-09
HCC70,LEE011_Ribociclib,0.01,$k_{M}$$k_{G1}$,0.10776130520559185,1.2762545441034236e-09
HCC70,LEE011_Ribociclib,0.01,$k_{\phi}$,0.5839759832113411,1.2762545441034236e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{S}$,0.044212139240835405,3.813644526331605e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{G2}$,0.030205070753611854,3.813644526331605e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{M}$$k_{G1}$,0.10309197355675308,3.813644526331605e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{\phi}$,0.8735617180645932,3.813644526331605e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{S}$,0.03841343624313106,3.203762283610017e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{G2}$,0.02728778693976804,3.203762283610017e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{M}$$k_{G1}$,0.08383253849816821,3.203762283610017e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{\phi}$,0.8265065715647456,3.203762283610017e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{S}$,0.05141529069361887,2.4895064085147637e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{G2}$,0.033267065629702955,2.4895064085147637e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{M}$$k_{G1}$,0.10322126970015932,2.4895064085147637e-09
HCC70,LEE011_Ribociclib,0.003162,$k_{\phi}$,0.8851711003675171,2.4895064085147637e-09
HCC70,LEE011_Ribociclib,10.0,$k_{S}$,0.04355014909842549,1.7972179723900705e-09
HCC70,LEE011_Ribociclib,10.0,$k_{G2}$,0.026494206368312623,1.7972179723900705e-09
HCC70,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.08278858363996978,1.7972179723900705e-09
HCC70,LEE011_Ribociclib,10.0,$k_{\phi}$,0.4637676476492913,1.7972179723900705e-09
HCC70,LEE011_Ribociclib,10.0,$k_{S}$,0.0433485006087703,2.052421370170126e-09
HCC70,LEE011_Ribociclib,10.0,$k_{G2}$,0.028429484941340243,2.052421370170126e-09
HCC70,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.09778562962356124,2.052421370170126e-09
HCC70,LEE011_Ribociclib,10.0,$k_{\phi}$,0.6675574529935725,2.052421370170126e-09
HCC70,LEE011_Ribociclib,10.0,$k_{S}$,0.04858995446658439,1.4080809291917364e-09
HCC70,LEE011_Ribociclib,10.0,$k_{G2}$,0.030324076056500497,1.4080809291917364e-09
HCC70,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.08990700084524496,1.4080809291917364e-09
HCC70,LEE011_Ribociclib,10.0,$k_{\phi}$,0.49817545719284656,1.4080809291917364e-09
HCC70,LEE011_Ribociclib,1.0,$k_{S}$,0.035669790110030346,2.0340914602654057e-09
HCC70,LEE011_Ribociclib,1.0,$k_{G2}$,0.022857913777123755,2.0340914602654057e-09
HCC70,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.09058927063305133,2.0340914602654057e-09
HCC70,LEE011_Ribociclib,1.0,$k_{\phi}$,0.35386025947522753,2.0340914602654057e-09
HCC70,LEE011_Ribociclib,1.0,$k_{S}$,0.04318092651811871,4.3120676282550455e-09
HCC70,LEE011_Ribociclib,1.0,$k_{G2}$,0.032149336253187485,4.3120676282550455e-09
HCC70,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.10486069556988607,4.3120676282550455e-09
HCC70,LEE011_Ribociclib,1.0,$k_{\phi}$,0.8662061550659299,4.3120676282550455e-09
HCC70,LEE011_Ribociclib,1.0,$k_{S}$,0.04344367778007136,2.739744866706722e-09
HCC70,LEE011_Ribociclib,1.0,$k_{G2}$,0.03301902123040774,2.739744866706722e-09
HCC70,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.09869624919668492,2.739744866706722e-09
HCC70,LEE011_Ribociclib,1.0,$k_{\phi}$,0.3929459667109056,2.739744866706722e-09
