cell_line,agent,concentration,parameter,rate,obj_func
HS578T,AZD1775,3.162278,$k_{S}$,1e-07,2023.288555018058
HS578T,AZD1775,3.162278,$k_{G2}$,0.015826440400686634,2023.288555018058
HS578T,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.04627886823356739,2023.288555018058
HS578T,AZD1775,3.162278,$k_{\phi}$,0.005168711141387389,2023.288555018058
HS578T,AZD1775,3.162278,$k_{S}$,1e-07,4779.514829350821
HS578T,AZD1775,3.162278,$k_{G2}$,0.019892278546944888,4779.514829350821
HS578T,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.030774443556844486,4779.514829350821
HS578T,AZD1775,3.162278,$k_{\phi}$,0.020777339754766387,4779.514829350821
HS578T,AZD1775,3.162278,$k_{S}$,0.01643990168696125,2.7894393168382155e-11
HS578T,AZD1775,3.162278,$k_{G2}$,0.018157482501707872,2.7894393168382155e-11
HS578T,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.06933284938857545,2.7894393168382155e-11
HS578T,AZD1775,3.162278,$k_{\phi}$,0.021993218177811184,2.7894393168382155e-11
HS578T,AZD1775,10.0,$k_{S}$,1e-07,20942.77743641228
HS578T,AZD1775,10.0,$k_{G2}$,0.019835488277333644,20942.77743641228
HS578T,AZD1775,10.0,$k_{M}$$k_{G1}$,0.027808487052787486,20942.77743641228
HS578T,AZD1775,10.0,$k_{\phi}$,0.004000176125072703,20942.77743641228
HS578T,AZD1775,10.0,$k_{S}$,1e-07,28807.507194490743
HS578T,AZD1775,10.0,$k_{G2}$,0.018495552382916735,28807.507194490743
HS578T,AZD1775,10.0,$k_{M}$$k_{G1}$,0.018339696968778584,28807.507194490743
HS578T,AZD1775,10.0,$k_{\phi}$,0.005085387832266956,28807.507194490743
HS578T,AZD1775,10.0,$k_{S}$,1e-07,13006.285649793519
HS578T,AZD1775,10.0,$k_{G2}$,0.02346386212488167,13006.285649793519
HS578T,AZD1775,10.0,$k_{M}$$k_{G1}$,0.024776245637185352,13006.285649793519
HS578T,AZD1775,10.0,$k_{\phi}$,0.0020704282344645745,13006.285649793519
HS578T,AZD1775,0.001,$k_{S}$,0.03816998599865221,6.878208466170547e-10
HS578T,AZD1775,0.001,$k_{G2}$,0.12108160019230077,6.878208466170547e-10
HS578T,AZD1775,0.001,$k_{M}$$k_{G1}$,0.14940649829755365,6.878208466170547e-10
HS578T,AZD1775,0.001,$k_{\phi}$,1.0065750263254396,6.878208466170547e-10
HS578T,AZD1775,0.001,$k_{S}$,0.03429118516536153,1.887183792327882e-10
HS578T,AZD1775,0.001,$k_{G2}$,0.09392626418067407,1.887183792327882e-10
HS578T,AZD1775,0.001,$k_{M}$$k_{G1}$,0.14677004565714702,1.887183792327882e-10
HS578T,AZD1775,0.001,$k_{\phi}$,1.0140197392435881,1.887183792327882e-10
HS578T,AZD1775,0.001,$k_{S}$,0.040999079973810124,4.170997559772422e-10
HS578T,AZD1775,0.001,$k_{G2}$,0.09036839012461004,4.170997559772422e-10
HS578T,AZD1775,0.001,$k_{M}$$k_{G1}$,0.13283834463562938,4.170997559772422e-10
HS578T,AZD1775,0.001,$k_{\phi}$,0.5016979453795987,4.170997559772422e-10
HS578T,AZD1775,0.1,$k_{S}$,0.035664488941760684,1.4678451847844333e-11
HS578T,AZD1775,0.1,$k_{G2}$,0.025261508150869846,1.4678451847844333e-11
HS578T,AZD1775,0.1,$k_{M}$$k_{G1}$,0.098215351100602,1.4678451847844333e-11
HS578T,AZD1775,0.1,$k_{\phi}$,0.041135835278771564,1.4678451847844333e-11
HS578T,AZD1775,0.1,$k_{S}$,0.0377626273818546,5.8096286854783914e-11
