cell_line,agent,concentration,parameter,rate,obj_func
HS578T,BSJ-01-175,1.0,$k_{S}$,1e-07,29856.21472461648
HS578T,BSJ-01-175,1.0,$k_{G2}$,0.020382680794457125,29856.21472461648
HS578T,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.031740438627694406,29856.21472461648
HS578T,BSJ-01-175,1.0,$k_{\phi}$,0.013461694865566616,29856.21472461648
HS578T,BSJ-01-175,1.0,$k_{S}$,1e-07,26394.398461434695
HS578T,BSJ-01-175,1.0,$k_{G2}$,0.01986178500576241,26394.398461434695
HS578T,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.025768301145437957,26394.398461434695
HS578T,BSJ-01-175,1.0,$k_{\phi}$,0.009590741674402247,26394.398461434695
HS578T,BSJ-01-175,1.0,$k_{S}$,1e-07,18366.72753251024
HS578T,BSJ-01-175,1.0,$k_{G2}$,0.01882414920533755,18366.72753251024
HS578T,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.02696201098324455,18366.72753251024
HS578T,BSJ-01-175,1.0,$k_{\phi}$,1e-07,18366.72753251024
HS578T,BSJ-01-175,0.031623,$k_{S}$,0.031875646904299816,1.9459995791437366e-11
HS578T,BSJ-01-175,0.031623,$k_{G2}$,0.041593245518011135,1.9459995791437366e-11
HS578T,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.07806196831094321,1.9459995791437366e-11
HS578T,BSJ-01-175,0.031623,$k_{\phi}$,0.015397151729429747,1.9459995791437366e-11
HS578T,BSJ-01-175,0.031623,$k_{S}$,1e-07,15827.853379802189
HS578T,BSJ-01-175,0.031623,$k_{G2}$,0.021860111864890865,15827.853379802189
HS578T,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.015415620416816031,15827.853379802189
HS578T,BSJ-01-175,0.031623,$k_{\phi}$,0.0004452418051045431,15827.853379802189
HS578T,BSJ-01-175,0.031623,$k_{S}$,1e-07,10742.513034351763
HS578T,BSJ-01-175,0.031623,$k_{G2}$,0.02659964493557251,10742.513034351763
HS578T,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.014927888597179202,10742.513034351763
HS578T,BSJ-01-175,0.031623,$k_{\phi}$,0.0009081355367521898,10742.513034351763
HS578T,BSJ-01-175,3.162278,$k_{S}$,1e-07,23360.542152621045
HS578T,BSJ-01-175,3.162278,$k_{G2}$,0.021399261899871066,23360.542152621045
HS578T,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.022324324233715304,23360.542152621045
HS578T,BSJ-01-175,3.162278,$k_{\phi}$,0.011384475349274401,23360.542152621045
HS578T,BSJ-01-175,3.162278,$k_{S}$,1e-07,55071.972987606154
HS578T,BSJ-01-175,3.162278,$k_{G2}$,0.011110137979940512,55071.972987606154
HS578T,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.01809496796125312,55071.972987606154
HS578T,BSJ-01-175,3.162278,$k_{\phi}$,1e-07,55071.972987606154
HS578T,BSJ-01-175,3.162278,$k_{S}$,1e-07,4305.5172478561335
HS578T,BSJ-01-175,3.162278,$k_{G2}$,0.021840651271268895,4305.5172478561335
HS578T,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.00711177310514492,4305.5172478561335
HS578T,BSJ-01-175,3.162278,$k_{\phi}$,0.007566045512717835,4305.5172478561335
HS578T,BSJ-01-175,0.01,$k_{S}$,0.022930359104052184,7.232878137659637e-11
HS578T,BSJ-01-175,0.01,$k_{G2}$,0.04766924702064379,7.232878137659637e-11
HS578T,BSJ-01-175,0.01,$k_{M}$$k_{G1}$,0.03068485169257929,7.232878137659637e-11
HS578T,BSJ-01-175,0.01,$k_{\phi}$,0.03508505808338583,7.232878137659637e-11
HS578T,BSJ-01-175,0.01,$k_{S}$,0.002790441513132768,8.922549495072713e-11
