cell_line,agent,concentration,parameter,rate,obj_func
HS578T,LY2606368,0.001,$k_{S}$,1e-07,18208.88563358395
HS578T,LY2606368,0.001,$k_{G2}$,0.02174495674993691,18208.88563358395
HS578T,LY2606368,0.001,$k_{M}$$k_{G1}$,0.03523929273654927,18208.88563358395
HS578T,LY2606368,0.001,$k_{\phi}$,0.003050017728010971,18208.88563358395
HS578T,LY2606368,0.001,$k_{S}$,1e-07,9193.850603208322
HS578T,LY2606368,0.001,$k_{G2}$,0.012689084166244133,9193.850603208322
HS578T,LY2606368,0.001,$k_{M}$$k_{G1}$,0.04267784282453931,9193.850603208322
HS578T,LY2606368,0.001,$k_{\phi}$,0.0011423460053257195,9193.850603208322
HS578T,LY2606368,0.001,$k_{S}$,1e-07,20000.100338855056
HS578T,LY2606368,0.001,$k_{G2}$,0.022184701611544774,20000.100338855056
HS578T,LY2606368,0.001,$k_{M}$$k_{G1}$,0.03724036140549034,20000.100338855056
HS578T,LY2606368,0.001,$k_{\phi}$,1e-07,20000.100338855056
HS578T,LY2606368,0.316228,$k_{S}$,1e-07,17948.041010790028
HS578T,LY2606368,0.316228,$k_{G2}$,0.0234181744151047,17948.041010790028
HS578T,LY2606368,0.316228,$k_{M}$$k_{G1}$,0.02750109548140484,17948.041010790028
HS578T,LY2606368,0.316228,$k_{\phi}$,0.008363366508770046,17948.041010790028
HS578T,LY2606368,0.316228,$k_{S}$,1e-07,10875.947855681381
HS578T,LY2606368,0.316228,$k_{G2}$,0.019036674784631107,10875.947855681381
HS578T,LY2606368,0.316228,$k_{M}$$k_{G1}$,0.03814412954436535,10875.947855681381
HS578T,LY2606368,0.316228,$k_{\phi}$,0.013254024243348619,10875.947855681381
HS578T,LY2606368,0.316228,$k_{S}$,1e-07,16140.667114570902
HS578T,LY2606368,0.316228,$k_{G2}$,0.02278563274495349,16140.667114570902
HS578T,LY2606368,0.316228,$k_{M}$$k_{G1}$,0.030750650619192205,16140.667114570902
HS578T,LY2606368,0.316228,$k_{\phi}$,0.010776346708360812,16140.667114570902
HS578T,LY2606368,1.0,$k_{S}$,1e-07,40217.559091707975
HS578T,LY2606368,1.0,$k_{G2}$,0.016173425778129333,40217.559091707975
HS578T,LY2606368,1.0,$k_{M}$$k_{G1}$,0.0232026802983502,40217.559091707975
HS578T,LY2606368,1.0,$k_{\phi}$,0.0008333354006402962,40217.559091707975
HS578T,LY2606368,1.0,$k_{S}$,1e-07,45121.70435709138
HS578T,LY2606368,1.0,$k_{G2}$,0.016299162262492294,45121.70435709138
HS578T,LY2606368,1.0,$k_{M}$$k_{G1}$,0.02274757128752935,45121.70435709138
HS578T,LY2606368,1.0,$k_{\phi}$,0.005090245049364618,45121.70435709138
HS578T,LY2606368,1.0,$k_{S}$,1e-07,28078.445519968114
HS578T,LY2606368,1.0,$k_{G2}$,0.018477621696151438,28078.445519968114
HS578T,LY2606368,1.0,$k_{M}$$k_{G1}$,0.02819886310142617,28078.445519968114
HS578T,LY2606368,1.0,$k_{\phi}$,0.0007578561236092176,28078.445519968114
HS578T,LY2606368,0.003162,$k_{S}$,1e-07,11669.871774292504
HS578T,LY2606368,0.003162,$k_{G2}$,0.023751650972229865,11669.871774292504
HS578T,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.04350488943703964,11669.871774292504
HS578T,LY2606368,0.003162,$k_{\phi}$,0.001782539096137267,11669.871774292504
HS578T,LY2606368,0.003162,$k_{S}$,1e-07,18729.169621434983
HS578T,LY2606368,0.003162,$k_{G2}$,0.022866259880163203,18729.169621434983
HS578T,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.028734477326798787,18729.169621434983
HS578T,LY2606368,0.003162,$k_{\phi}$,0.015048004991685404,18729.169621434983
HS578T,LY2606368,0.003162,$k_{S}$,1e-07,28620.16935818889
HS578T,LY2606368,0.003162,$k_{G2}$,0.020994007063354306,28620.16935818889
HS578T,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.02513543189600771,28620.16935818889
HS578T,LY2606368,0.003162,$k_{\phi}$,0.02894279243373868,28620.16935818889
HS578T,LY2606368,3.162278,$k_{S}$,1e-07,23176.92278100358
HS578T,LY2606368,3.162278,$k_{G2}$,0.022492259975046003,23176.92278100358
HS578T,LY2606368,3.162278,$k_{M}$$k_{G1}$,0.0284476730438257,23176.92278100358
HS578T,LY2606368,3.162278,$k_{\phi}$,0.01446430455938333,23176.92278100358
HS578T,LY2606368,3.162278,$k_{S}$,1e-07,24329.04957279959
HS578T,LY2606368,3.162278,$k_{G2}$,0.020109544790784355,24329.04957279959
HS578T,LY2606368,3.162278,$k_{M}$$k_{G1}$,0.02636684866608762,24329.04957279959
HS578T,LY2606368,3.162278,$k_{\phi}$,0.006273382014461288,24329.04957279959
HS578T,LY2606368,3.162278,$k_{S}$,1e-07,15576.453752887526
HS578T,LY2606368,3.162278,$k_{G2}$,0.02173486892372219,15576.453752887526
HS578T,LY2606368,3.162278,$k_{M}$$k_{G1}$,0.03369044201704695,15576.453752887526
HS578T,LY2606368,3.162278,$k_{\phi}$,0.011308686643714741,15576.453752887526
HS578T,LY2606368,0.01,$k_{S}$,1e-07,29820.3088737762
HS578T,LY2606368,0.01,$k_{G2}$,0.019314753091169475,29820.3088737762
HS578T,LY2606368,0.01,$k_{M}$$k_{G1}$,0.029894710967216895,29820.3088737762
HS578T,LY2606368,0.01,$k_{\phi}$,0.003050992872571744,29820.3088737762
HS578T,LY2606368,0.01,$k_{S}$,1e-07,10956.951337002023
HS578T,LY2606368,0.01,$k_{G2}$,0.018386266706973846,10956.951337002023
HS578T,LY2606368,0.01,$k_{M}$$k_{G1}$,0.04545063612480103,10956.951337002023
HS578T,LY2606368,0.01,$k_{\phi}$,0.0024602745909195582,10956.951337002023
HS578T,LY2606368,0.01,$k_{S}$,0.0002104888423486284,15861.758453156923
HS578T,LY2606368,0.01,$k_{G2}$,0.025128984653875773,15861.758453156923
HS578T,LY2606368,0.01,$k_{M}$$k_{G1}$,0.04483208354352725,15861.758453156923
HS578T,LY2606368,0.01,$k_{\phi}$,1e-07,15861.758453156923
HS578T,LY2606368,0.031623,$k_{S}$,1e-07,19104.855420506363
HS578T,LY2606368,0.031623,$k_{G2}$,0.022158622597807008,19104.855420506363
HS578T,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.028588359316342522,19104.855420506363
HS578T,LY2606368,0.031623,$k_{\phi}$,0.007046780079573543,19104.855420506363
HS578T,LY2606368,0.031623,$k_{S}$,1e-07,8817.548602056208
HS578T,LY2606368,0.031623,$k_{G2}$,0.012160257519804712,8817.548602056208
HS578T,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.033108567223105505,8817.548602056208
HS578T,LY2606368,0.031623,$k_{\phi}$,0.0011158830160803194,8817.548602056208
HS578T,LY2606368,0.031623,$k_{S}$,1e-07,18495.289577284577
HS578T,LY2606368,0.031623,$k_{G2}$,0.019509986538458965,18495.289577284577
HS578T,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.029257675638042296,18495.289577284577
HS578T,LY2606368,0.031623,$k_{\phi}$,0.0022986503693701718,18495.289577284577
HS578T,LY2606368,10.0,$k_{S}$,1e-07,4934.34163248387
HS578T,LY2606368,10.0,$k_{G2}$,0.012840228338933508,4934.34163248387
HS578T,LY2606368,10.0,$k_{M}$$k_{G1}$,0.025948279459041795,4934.34163248387
HS578T,LY2606368,10.0,$k_{\phi}$,0.01633790238794378,4934.34163248387
HS578T,LY2606368,10.0,$k_{S}$,1e-07,13385.555151904473
HS578T,LY2606368,10.0,$k_{G2}$,0.009527719653408599,13385.555151904473
HS578T,LY2606368,10.0,$k_{M}$$k_{G1}$,0.02186398807833589,13385.555151904473
HS578T,LY2606368,10.0,$k_{\phi}$,0.008468264120740898,13385.555151904473
HS578T,LY2606368,10.0,$k_{S}$,1e-07,27002.623053634277
HS578T,LY2606368,10.0,$k_{G2}$,0.014525127046924598,27002.623053634277
HS578T,LY2606368,10.0,$k_{M}$$k_{G1}$,0.018947330034478935,27002.623053634277
HS578T,LY2606368,10.0,$k_{\phi}$,1e-07,27002.623053634277
HS578T,LY2606368,0.1,$k_{S}$,1e-07,18717.611199621828
HS578T,LY2606368,0.1,$k_{G2}$,0.02132798860878276,18717.611199621828
HS578T,LY2606368,0.1,$k_{M}$$k_{G1}$,0.03067705240681953,18717.611199621828
HS578T,LY2606368,0.1,$k_{\phi}$,0.006987344004001559,18717.611199621828
HS578T,LY2606368,0.1,$k_{S}$,1e-07,25337.36050722825
HS578T,LY2606368,0.1,$k_{G2}$,0.01850246094186127,25337.36050722825
HS578T,LY2606368,0.1,$k_{M}$$k_{G1}$,0.027511204381057867,25337.36050722825
HS578T,LY2606368,0.1,$k_{\phi}$,0.002823045347669342,25337.36050722825
HS578T,LY2606368,0.1,$k_{S}$,1e-07,6553.920986455366
HS578T,LY2606368,0.1,$k_{G2}$,0.01976581436984008,6553.920986455366
HS578T,LY2606368,0.1,$k_{M}$$k_{G1}$,0.03990073050801101,6553.920986455366
HS578T,LY2606368,0.1,$k_{\phi}$,0.004066393068555913,6553.920986455366
