cell_line,agent,concentration,parameter,rate,obj_func
HS578T,MFH-2-90,10.0,$k_{S}$,1e-07,19253.809478925985
HS578T,MFH-2-90,10.0,$k_{G2}$,0.020114597226906096,19253.809478925985
HS578T,MFH-2-90,10.0,$k_{M}$$k_{G1}$,0.00625525790450809,19253.809478925985
HS578T,MFH-2-90,10.0,$k_{\phi}$,1e-07,19253.809478925985
HS578T,MFH-2-90,10.0,$k_{S}$,1e-07,14314.691120312598
HS578T,MFH-2-90,10.0,$k_{G2}$,0.016487328358292034,14314.691120312598
HS578T,MFH-2-90,10.0,$k_{M}$$k_{G1}$,0.010795214856523435,14314.691120312598
HS578T,MFH-2-90,10.0,$k_{\phi}$,0.002218065520517361,14314.691120312598
HS578T,MFH-2-90,10.0,$k_{S}$,1e-07,10940.054225459737
HS578T,MFH-2-90,10.0,$k_{G2}$,0.02619999529506836,10940.054225459737
HS578T,MFH-2-90,10.0,$k_{M}$$k_{G1}$,0.010173908443503231,10940.054225459737
HS578T,MFH-2-90,10.0,$k_{\phi}$,0.007253307936840907,10940.054225459737
HS578T,MFH-2-90,0.003162,$k_{S}$,1e-07,4449.578435841503
HS578T,MFH-2-90,0.003162,$k_{G2}$,0.012423482523526737,4449.578435841503
HS578T,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,0.006997788603714994,4449.578435841503
HS578T,MFH-2-90,0.003162,$k_{\phi}$,0.0032627383441040684,4449.578435841503
HS578T,MFH-2-90,0.003162,$k_{S}$,1e-07,7256.9998384446935
HS578T,MFH-2-90,0.003162,$k_{G2}$,0.013883939547744284,7256.9998384446935
HS578T,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,0.007079605279257361,7256.9998384446935
HS578T,MFH-2-90,0.003162,$k_{\phi}$,0.0016802199526124355,7256.9998384446935
HS578T,MFH-2-90,0.003162,$k_{S}$,1e-07,5475.928862142488
HS578T,MFH-2-90,0.003162,$k_{G2}$,0.01997615332708898,5475.928862142488
HS578T,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,0.00861891208517591,5475.928862142488
HS578T,MFH-2-90,0.003162,$k_{\phi}$,0.007349656784116398,5475.928862142488
HS578T,MFH-2-90,1.0,$k_{S}$,1e-07,34230.3594451393
HS578T,MFH-2-90,1.0,$k_{G2}$,0.017874512985523137,34230.3594451393
HS578T,MFH-2-90,1.0,$k_{M}$$k_{G1}$,0.02357932767104053,34230.3594451393
HS578T,MFH-2-90,1.0,$k_{\phi}$,0.01139311941982448,34230.3594451393
HS578T,MFH-2-90,1.0,$k_{S}$,1e-07,8187.701061031726
HS578T,MFH-2-90,1.0,$k_{G2}$,0.025247268038030905,8187.701061031726
HS578T,MFH-2-90,1.0,$k_{M}$$k_{G1}$,0.005415174442604353,8187.701061031726
HS578T,MFH-2-90,1.0,$k_{\phi}$,0.008105188885908086,8187.701061031726
HS578T,MFH-2-90,1.0,$k_{S}$,1e-07,33002.759426892
HS578T,MFH-2-90,1.0,$k_{G2}$,0.0165313190106927,33002.759426892
