cell_line,agent,concentration,parameter,rate,obj_func
HS578T_PR,BSJ-01-175,0.1,$k_{S}$,0.005273593808504036,4483.2826871671605
HS578T_PR,BSJ-01-175,0.1,$k_{G2}$,0.029453416259137347,4483.2826871671605
HS578T_PR,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.024111143679283527,4483.2826871671605
HS578T_PR,BSJ-01-175,0.1,$k_{\phi}$,1e-07,4483.2826871671605
HS578T_PR,BSJ-01-175,0.1,$k_{S}$,0.007714743858359087,7739.835436518026
HS578T_PR,BSJ-01-175,0.1,$k_{G2}$,0.028654348518440245,7739.835436518026
HS578T_PR,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.016313698997088226,7739.835436518026
HS578T_PR,BSJ-01-175,0.1,$k_{\phi}$,1e-07,7739.835436518026
HS578T_PR,BSJ-01-175,0.1,$k_{S}$,0.005560450450171174,7818.724604771208
HS578T_PR,BSJ-01-175,0.1,$k_{G2}$,0.02773072661584458,7818.724604771208
HS578T_PR,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.016603634174506953,7818.724604771208
HS578T_PR,BSJ-01-175,0.1,$k_{\phi}$,1e-07,7818.724604771208
HS578T_PR,BSJ-01-175,10.0,$k_{S}$,0.0020205121375884193,5626.065192225366
HS578T_PR,BSJ-01-175,10.0,$k_{G2}$,0.020570433817570052,5626.065192225366
HS578T_PR,BSJ-01-175,10.0,$k_{M}$$k_{G1}$,0.014840078261566754,5626.065192225366
HS578T_PR,BSJ-01-175,10.0,$k_{\phi}$,1e-07,5626.065192225366
HS578T_PR,BSJ-01-175,10.0,$k_{S}$,1e-07,3859.6050650592406
HS578T_PR,BSJ-01-175,10.0,$k_{G2}$,0.019053552727897348,3859.6050650592406
HS578T_PR,BSJ-01-175,10.0,$k_{M}$$k_{G1}$,0.014255953376125851,3859.6050650592406
HS578T_PR,BSJ-01-175,10.0,$k_{\phi}$,1e-07,3859.6050650592406
HS578T_PR,BSJ-01-175,10.0,$k_{S}$,0.0038626916240732927,11397.53901788752
HS578T_PR,BSJ-01-175,10.0,$k_{G2}$,0.01787065125046045,11397.53901788752
HS578T_PR,BSJ-01-175,10.0,$k_{M}$$k_{G1}$,0.013592253448964926,11397.53901788752
HS578T_PR,BSJ-01-175,10.0,$k_{\phi}$,1e-07,11397.53901788752
HS578T_PR,BSJ-01-175,1.0,$k_{S}$,0.005048090482600848,7047.842131995922
HS578T_PR,BSJ-01-175,1.0,$k_{G2}$,0.025025267437283276,7047.842131995922
HS578T_PR,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.024045271540198664,7047.842131995922
HS578T_PR,BSJ-01-175,1.0,$k_{\phi}$,1e-07,7047.842131995922
HS578T_PR,BSJ-01-175,1.0,$k_{S}$,0.004247701928294733,7047.840651488052
HS578T_PR,BSJ-01-175,1.0,$k_{G2}$,0.023574136773016282,7047.840651488052
HS578T_PR,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.02344126106780936,7047.840651488052
HS578T_PR,BSJ-01-175,1.0,$k_{\phi}$,1e-07,7047.840651488052
HS578T_PR,BSJ-01-175,1.0,$k_{S}$,0.004827188546224759,5492.690702819484
HS578T_PR,BSJ-01-175,1.0,$k_{G2}$,0.024481426399543704,5492.690702819484
HS578T_PR,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.01715948806388504,5492.690702819484
HS578T_PR,BSJ-01-175,1.0,$k_{\phi}$,1e-07,5492.690702819484
HS578T_PR,BSJ-01-175,0.003162,$k_{S}$,0.04996542257706923,1.851117341347182e-10
HS578T_PR,BSJ-01-175,0.003162,$k_{G2}$,0.07844308231315672,1.851117341347182e-10
HS578T_PR,BSJ-01-175,0.003162,$k_{M}$$k_{G1}$,0.16545210667048013,1.851117341347182e-10
HS578T_PR,BSJ-01-175,0.003162,$k_{\phi}$,0.9474407160881061,1.851117341347182e-10
HS578T_PR,BSJ-01-175,0.003162,$k_{S}$,0.04521141875667202,5.993355332112521e-11
HS578T_PR,BSJ-01-175,0.003162,$k_{G2}$,0.07813646757335786,5.993355332112521e-11
HS578T_PR,BSJ-01-175,0.003162,$k_{M}$$k_{G1}$,0.14999790656476378,5.993355332112521e-11
HS578T_PR,BSJ-01-175,0.003162,$k_{\phi}$,0.47036971434835334,5.993355332112521e-11
HS578T_PR,BSJ-01-175,0.003162,$k_{S}$,0.04434851612159825,9.257575364558221e-11
HS578T_PR,BSJ-01-175,0.003162,$k_{G2}$,0.07093419222741974,9.257575364558221e-11
HS578T_PR,BSJ-01-175,0.003162,$k_{M}$$k_{G1}$,0.13030267848066213,9.257575364558221e-11
HS578T_PR,BSJ-01-175,0.003162,$k_{\phi}$,0.5476206262646648,9.257575364558221e-11
HS578T_PR,BSJ-01-175,0.316228,$k_{S}$,0.004816781057010407,4787.721185849945
HS578T_PR,BSJ-01-175,0.316228,$k_{G2}$,0.028498192599559255,4787.721185849945
HS578T_PR,BSJ-01-175,0.316228,$k_{M}$$k_{G1}$,0.017820326445246764,4787.721185849945
