cell_line,agent,concentration,parameter,rate,obj_func
HS578T_PR,CDK1_2iIII,0.1,$k_{S}$,0.010077878479598453,2586.489424026908
HS578T_PR,CDK1_2iIII,0.1,$k_{G2}$,0.027290161277479952,2586.489424026908
HS578T_PR,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.006524042814851122,2586.489424026908
HS578T_PR,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,2586.489424026908
HS578T_PR,CDK1_2iIII,0.1,$k_{S}$,0.0002742984870582353,2407.7358258462673
HS578T_PR,CDK1_2iIII,0.1,$k_{G2}$,0.012306050054054482,2407.7358258462673
HS578T_PR,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.010368026804640083,2407.7358258462673
HS578T_PR,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,2407.7358258462673
HS578T_PR,CDK1_2iIII,0.1,$k_{S}$,0.006765174224119573,142.80080190862932
HS578T_PR,CDK1_2iIII,0.1,$k_{G2}$,0.018149345672367725,142.80080190862932
HS578T_PR,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.003551707872011816,142.80080190862932
HS578T_PR,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,142.80080190862932
HS578T_PR,CDK1_2iIII,0.1,$k_{S}$,0.005367621338342846,666.3396131287618
HS578T_PR,CDK1_2iIII,0.1,$k_{G2}$,0.028448445841516023,666.3396131287618
HS578T_PR,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.0037686264260884945,666.3396131287618
HS578T_PR,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,666.3396131287618
HS578T_PR,CDK1_2iIII,0.1,$k_{S}$,0.0071221312220468335,7.605685977789654e-12
HS578T_PR,CDK1_2iIII,0.1,$k_{G2}$,0.029223140187359796,7.605685977789654e-12
HS578T_PR,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.010529053084068932,7.605685977789654e-12
HS578T_PR,CDK1_2iIII,0.1,$k_{\phi}$,0.02640407612955667,7.605685977789654e-12
HS578T_PR,CDK1_2iIII,0.1,$k_{S}$,0.012008172757520752,1335.6603714255875
HS578T_PR,CDK1_2iIII,0.1,$k_{G2}$,0.01605722803234933,1335.6603714255875
HS578T_PR,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.006214163515769139,1335.6603714255875
HS578T_PR,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,1335.6603714255875
