cell_line,agent,concentration,parameter,rate,obj_func
HS578T_PR,E17,3.162278,$k_{S}$,0.0044717449149054575,7351.389421933525
HS578T_PR,E17,3.162278,$k_{G2}$,0.021922067230586737,7351.389421933525
HS578T_PR,E17,3.162278,$k_{M}$$k_{G1}$,0.018310710707458534,7351.389421933525
HS578T_PR,E17,3.162278,$k_{\phi}$,1e-07,7351.389421933525
HS578T_PR,E17,3.162278,$k_{S}$,0.005067270345366361,8300.453882992104
HS578T_PR,E17,3.162278,$k_{G2}$,0.024561833545037368,8300.453882992104
HS578T_PR,E17,3.162278,$k_{M}$$k_{G1}$,0.0184816053330475,8300.453882992104
HS578T_PR,E17,3.162278,$k_{\phi}$,1e-07,8300.453882992104
HS578T_PR,E17,3.162278,$k_{S}$,0.00829225202031188,12273.149441232834
HS578T_PR,E17,3.162278,$k_{G2}$,0.02336781317446011,12273.149441232834
HS578T_PR,E17,3.162278,$k_{M}$$k_{G1}$,0.024597895075514017,12273.149441232834
HS578T_PR,E17,3.162278,$k_{\phi}$,1e-07,12273.149441232834
HS578T_PR,E17,0.1,$k_{S}$,0.007000057237777823,12472.127764490262
HS578T_PR,E17,0.1,$k_{G2}$,0.02255310291669041,12472.127764490262
HS578T_PR,E17,0.1,$k_{M}$$k_{G1}$,0.02710352845460204,12472.127764490262
HS578T_PR,E17,0.1,$k_{\phi}$,1e-07,12472.127764490262
HS578T_PR,E17,0.1,$k_{S}$,0.005432874765548924,14657.974026033664
HS578T_PR,E17,0.1,$k_{G2}$,0.01901629455422187,14657.974026033664
HS578T_PR,E17,0.1,$k_{M}$$k_{G1}$,0.018202229164976005,14657.974026033664
HS578T_PR,E17,0.1,$k_{\phi}$,1e-07,14657.974026033664
HS578T_PR,E17,0.1,$k_{S}$,0.006722136814358911,12572.2129951724
HS578T_PR,E17,0.1,$k_{G2}$,0.023662324602746466,12572.2129951724
HS578T_PR,E17,0.1,$k_{M}$$k_{G1}$,0.02046649196117192,12572.2129951724
HS578T_PR,E17,0.1,$k_{\phi}$,1e-07,12572.2129951724
HS578T_PR,E17,0.003162,$k_{S}$,0.004620256358186584,5559.177518939809
HS578T_PR,E17,0.003162,$k_{G2}$,0.02606589509400049,5559.177518939809
HS578T_PR,E17,0.003162,$k_{M}$$k_{G1}$,0.012755654241123753,5559.177518939809
HS578T_PR,E17,0.003162,$k_{\phi}$,1e-07,5559.177518939809
HS578T_PR,E17,0.003162,$k_{S}$,0.003789510539187093,8965.159472234202
HS578T_PR,E17,0.003162,$k_{G2}$,0.0204482805137678,8965.159472234202
HS578T_PR,E17,0.003162,$k_{M}$$k_{G1}$,0.021022383422876014,8965.159472234202
HS578T_PR,E17,0.003162,$k_{\phi}$,1e-07,8965.159472234202
HS578T_PR,E17,0.003162,$k_{S}$,0.0076512196355362095,10099.924173420834
HS578T_PR,E17,0.003162,$k_{G2}$,0.02606424821689012,10099.924173420834
HS578T_PR,E17,0.003162,$k_{M}$$k_{G1}$,0.03385272669678012,10099.924173420834
HS578T_PR,E17,0.003162,$k_{\phi}$,1e-07,10099.924173420834
HS578T_PR,E17,0.001,$k_{S}$,0.0029702586553740206,399.9939730515158
HS578T_PR,E17,0.001,$k_{G2}$,0.018081168834133955,399.9939730515158
HS578T_PR,E17,0.001,$k_{M}$$k_{G1}$,0.02070726438431588,399.9939730515158
HS578T_PR,E17,0.001,$k_{\phi}$,1e-07,399.9939730515158
HS578T_PR,E17,0.001,$k_{S}$,0.012348038175167353,2.7745849304953157e-11
HS578T_PR,E17,0.001,$k_{G2}$,0.023307396960052164,2.7745849304953157e-11
HS578T_PR,E17,0.001,$k_{M}$$k_{G1}$,0.04838313126861397,2.7745849304953157e-11
HS578T_PR,E17,0.001,$k_{\phi}$,0.010543781135091489,2.7745849304953157e-11
HS578T_PR,E17,0.001,$k_{S}$,0.006359421103117802,3738.530075787543
HS578T_PR,E17,0.001,$k_{G2}$,0.03062865964180569,3738.530075787543
HS578T_PR,E17,0.001,$k_{M}$$k_{G1}$,0.015741550909238757,3738.530075787543
HS578T_PR,E17,0.001,$k_{\phi}$,1e-07,3738.530075787543
HS578T_PR,E17,10.0,$k_{S}$,0.0018035040377597142,6898.459278249356
HS578T_PR,E17,10.0,$k_{G2}$,0.018391549846905345,6898.459278249356
HS578T_PR,E17,10.0,$k_{M}$$k_{G1}$,0.022620921410689908,6898.459278249356
HS578T_PR,E17,10.0,$k_{\phi}$,1e-07,6898.459278249356
HS578T_PR,E17,10.0,$k_{S}$,0.003045782582371742,5038.468623298793
HS578T_PR,E17,10.0,$k_{G2}$,0.02295093556849492,5038.468623298793
HS578T_PR,E17,10.0,$k_{M}$$k_{G1}$,0.012556911631322824,5038.468623298793
HS578T_PR,E17,10.0,$k_{\phi}$,1e-07,5038.468623298793
HS578T_PR,E17,10.0,$k_{S}$,0.003996347297095992,3793.4156596934436
HS578T_PR,E17,10.0,$k_{G2}$,0.026375572884662066,3793.4156596934436
HS578T_PR,E17,10.0,$k_{M}$$k_{G1}$,0.01745253567791599,3793.4156596934436
HS578T_PR,E17,10.0,$k_{\phi}$,1e-07,3793.4156596934436
HS578T_PR,E17,0.01,$k_{S}$,0.003492779274111573,9307.11250580493
HS578T_PR,E17,0.01,$k_{G2}$,0.019637467822558922,9307.11250580493
HS578T_PR,E17,0.01,$k_{M}$$k_{G1}$,0.020909831889540712,9307.11250580493
HS578T_PR,E17,0.01,$k_{\phi}$,1e-07,9307.11250580493
HS578T_PR,E17,0.01,$k_{S}$,0.007503674508390715,3576.2633455768982
HS578T_PR,E17,0.01,$k_{G2}$,0.03258370683016472,3576.2633455768982
HS578T_PR,E17,0.01,$k_{M}$$k_{G1}$,0.013314157198186693,3576.2633455768982
HS578T_PR,E17,0.01,$k_{\phi}$,1e-07,3576.2633455768982
HS578T_PR,E17,0.01,$k_{S}$,0.00532684736873342,8880.6820278811
HS578T_PR,E17,0.01,$k_{G2}$,0.0244988262722108,8880.6820278811
HS578T_PR,E17,0.01,$k_{M}$$k_{G1}$,0.03170053110867351,8880.6820278811
HS578T_PR,E17,0.01,$k_{\phi}$,1e-07,8880.6820278811
HS578T_PR,E17,0.031623,$k_{S}$,0.008547972923423427,13078.661031269396
HS578T_PR,E17,0.031623,$k_{G2}$,0.023477587225752727,13078.661031269396
HS578T_PR,E17,0.031623,$k_{M}$$k_{G1}$,0.028794092012100474,13078.661031269396
HS578T_PR,E17,0.031623,$k_{\phi}$,1e-07,13078.661031269396
HS578T_PR,E17,0.031623,$k_{S}$,0.005707164634139733,14984.639651695334
HS578T_PR,E17,0.031623,$k_{G2}$,0.01768340305231685,14984.639651695334
HS578T_PR,E17,0.031623,$k_{M}$$k_{G1}$,0.019085163856913296,14984.639651695334
HS578T_PR,E17,0.031623,$k_{\phi}$,1e-07,14984.639651695334
HS578T_PR,E17,0.031623,$k_{S}$,0.005161798918824461,8712.8953063766
HS578T_PR,E17,0.031623,$k_{G2}$,0.023742556206829975,8712.8953063766
HS578T_PR,E17,0.031623,$k_{M}$$k_{G1}$,0.018491928417783056,8712.8953063766
HS578T_PR,E17,0.031623,$k_{\phi}$,1e-07,8712.8953063766
HS578T_PR,E17,0.316228,$k_{S}$,0.002239414765642128,6532.018656381306
HS578T_PR,E17,0.316228,$k_{G2}$,0.022609466134851104,6532.018656381306
HS578T_PR,E17,0.316228,$k_{M}$$k_{G1}$,0.017878255668919152,6532.018656381306
HS578T_PR,E17,0.316228,$k_{\phi}$,1e-07,6532.018656381306
HS578T_PR,E17,0.316228,$k_{S}$,0.005935190212643911,13699.580900424444
HS578T_PR,E17,0.316228,$k_{G2}$,0.022130743140853774,13699.580900424444
HS578T_PR,E17,0.316228,$k_{M}$$k_{G1}$,0.016817559315410336,13699.580900424444
HS578T_PR,E17,0.316228,$k_{\phi}$,1e-07,13699.580900424444
HS578T_PR,E17,0.316228,$k_{S}$,0.007006021532784195,14334.920198841326
HS578T_PR,E17,0.316228,$k_{G2}$,0.02203295936887573,14334.920198841326
HS578T_PR,E17,0.316228,$k_{M}$$k_{G1}$,0.02674175584399003,14334.920198841326
HS578T_PR,E17,0.316228,$k_{\phi}$,1e-07,14334.920198841326
HS578T_PR,E17,1.0,$k_{S}$,0.005135230193210853,8057.788609527057
HS578T_PR,E17,1.0,$k_{G2}$,0.025122401339523006,8057.788609527057
HS578T_PR,E17,1.0,$k_{M}$$k_{G1}$,0.018002021457442015,8057.788609527057
HS578T_PR,E17,1.0,$k_{\phi}$,1e-07,8057.788609527057
HS578T_PR,E17,1.0,$k_{S}$,0.0031068837073494056,11018.793341899696
HS578T_PR,E17,1.0,$k_{G2}$,0.019073169370802934,11018.793341899696
HS578T_PR,E17,1.0,$k_{M}$$k_{G1}$,0.021038776631216092,11018.793341899696
HS578T_PR,E17,1.0,$k_{\phi}$,1e-07,11018.793341899696
HS578T_PR,E17,1.0,$k_{S}$,0.003211319286835483,9393.597231744541
HS578T_PR,E17,1.0,$k_{G2}$,0.020644618481680983,9393.597231744541
HS578T_PR,E17,1.0,$k_{M}$$k_{G1}$,0.01396639440473572,9393.597231744541
HS578T_PR,E17,1.0,$k_{\phi}$,1e-07,9393.597231744541
