cell_line,agent,concentration,parameter,rate,obj_func
HS578T_PR,R0-3306,0.001,$k_{S}$,0.061129116972478637,2.5784168312254463e-05
HS578T_PR,R0-3306,0.001,$k_{G2}$,0.0926635824462987,2.5784168312254463e-05
HS578T_PR,R0-3306,0.001,$k_{M}$$k_{G1}$,0.2174920607815531,2.5784168312254463e-05
HS578T_PR,R0-3306,0.001,$k_{\phi}$,1.162966338478485,2.5784168312254463e-05
HS578T_PR,R0-3306,0.001,$k_{S}$,0.060120226152476315,1.2595346398383975e-09
HS578T_PR,R0-3306,0.001,$k_{G2}$,0.0772684585073634,1.2595346398383975e-09
HS578T_PR,R0-3306,0.001,$k_{M}$$k_{G1}$,0.24090091119044174,1.2595346398383975e-09
HS578T_PR,R0-3306,0.001,$k_{\phi}$,1.123209095963184,1.2595346398383975e-09
HS578T_PR,R0-3306,0.001,$k_{S}$,0.05129807225787655,5.736108373226894e-10
HS578T_PR,R0-3306,0.001,$k_{G2}$,0.0785768559672432,5.736108373226894e-10
HS578T_PR,R0-3306,0.001,$k_{M}$$k_{G1}$,0.2276214070260574,5.736108373226894e-10
HS578T_PR,R0-3306,0.001,$k_{\phi}$,1.2780387882911441,5.736108373226894e-10
HS578T_PR,R0-3306,0.003162,$k_{S}$,0.05729017655351615,82.63050650083049
HS578T_PR,R0-3306,0.003162,$k_{G2}$,0.08231902208615874,82.63050650083049
HS578T_PR,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.19655904228268578,82.63050650083049
HS578T_PR,R0-3306,0.003162,$k_{\phi}$,1.4321734795581182,82.63050650083049
HS578T_PR,R0-3306,0.003162,$k_{S}$,0.05823083052722177,3.4756949161280214e-10
HS578T_PR,R0-3306,0.003162,$k_{G2}$,0.08417116124550149,3.4756949161280214e-10
HS578T_PR,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.18839104969738021,3.4756949161280214e-10
HS578T_PR,R0-3306,0.003162,$k_{\phi}$,0.748272970135894,3.4756949161280214e-10
HS578T_PR,R0-3306,0.003162,$k_{S}$,0.06054935388089936,8.196575708400423e-11
HS578T_PR,R0-3306,0.003162,$k_{G2}$,0.08475634778305095,8.196575708400423e-11
HS578T_PR,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.23504783644094687,8.196575708400423e-11
HS578T_PR,R0-3306,0.003162,$k_{\phi}$,1.0993503913497165,8.196575708400423e-11
HS578T_PR,R0-3306,1.0,$k_{S}$,0.05488622099628195,3.091843940819811e-10
