cell_line,agent,concentration,parameter,rate,obj_func
HS578T_PR,THZ531,0.0001,$k_{S}$,0.05430501622542167,5.558395756303839e-10
HS578T_PR,THZ531,0.0001,$k_{G2}$,0.09791080396086109,5.558395756303839e-10
HS578T_PR,THZ531,0.0001,$k_{M}$$k_{G1}$,0.17981564415428838,5.558395756303839e-10
HS578T_PR,THZ531,0.0001,$k_{\phi}$,1.2181002038841944,5.558395756303839e-10
HS578T_PR,THZ531,0.0001,$k_{S}$,0.061440288676190065,16.724722061410052
HS578T_PR,THZ531,0.0001,$k_{G2}$,0.07987124100166015,16.724722061410052
HS578T_PR,THZ531,0.0001,$k_{M}$$k_{G1}$,0.14701015100020953,16.724722061410052
HS578T_PR,THZ531,0.0001,$k_{\phi}$,0.5941268523659246,16.724722061410052
HS578T_PR,THZ531,0.0001,$k_{S}$,0.06429048286591962,2.0855085781748964e-10
HS578T_PR,THZ531,0.0001,$k_{G2}$,0.06552242243026646,2.0855085781748964e-10
HS578T_PR,THZ531,0.0001,$k_{M}$$k_{G1}$,0.17047401962130318,2.0855085781748964e-10
HS578T_PR,THZ531,0.0001,$k_{\phi}$,0.7903748944920742,2.0855085781748964e-10
HS578T_PR,THZ531,0.000316,$k_{S}$,0.06002258531876878,3.8837342992353596e-05
HS578T_PR,THZ531,0.000316,$k_{G2}$,0.08635582011435744,3.8837342992353596e-05
HS578T_PR,THZ531,0.000316,$k_{M}$$k_{G1}$,0.19230112736475835,3.8837342992353596e-05
HS578T_PR,THZ531,0.000316,$k_{\phi}$,1.059253840951779,3.8837342992353596e-05
HS578T_PR,THZ531,0.000316,$k_{S}$,0.06461817929868308,0.004365629534130154
HS578T_PR,THZ531,0.000316,$k_{G2}$,0.08497831807441236,0.004365629534130154
HS578T_PR,THZ531,0.000316,$k_{M}$$k_{G1}$,0.19570304347481332,0.004365629534130154
HS578T_PR,THZ531,0.000316,$k_{\phi}$,1.0588054665345625,0.004365629534130154
HS578T_PR,THZ531,0.000316,$k_{S}$,0.06326340777358187,4.891226241524398e-10
HS578T_PR,THZ531,0.000316,$k_{G2}$,0.09804691778919258,4.891226241524398e-10
HS578T_PR,THZ531,0.000316,$k_{M}$$k_{G1}$,0.1741107235683701,4.891226241524398e-10
HS578T_PR,THZ531,0.000316,$k_{\phi}$,0.9613568015386762,4.891226241524398e-10
HS578T_PR,THZ531,0.031623,$k_{S}$,0.054018837316670586,9.426089157269777e-11
HS578T_PR,THZ531,0.031623,$k_{G2}$,0.08846895791695059,9.426089157269777e-11
HS578T_PR,THZ531,0.031623,$k_{M}$$k_{G1}$,0.177082170860988,9.426089157269777e-11
HS578T_PR,THZ531,0.031623,$k_{\phi}$,0.47982179452323986,9.426089157269777e-11
HS578T_PR,THZ531,0.031623,$k_{S}$,0.05461318934609415,1.2149878234861923e-10
HS578T_PR,THZ531,0.031623,$k_{G2}$,0.0538560671380262,1.2149878234861923e-10
HS578T_PR,THZ531,0.031623,$k_{M}$$k_{G1}$,0.1386248548955952,1.2149878234861923e-10
HS578T_PR,THZ531,0.031623,$k_{\phi}$,0.6553989779593027,1.2149878234861923e-10
HS578T_PR,THZ531,0.031623,$k_{S}$,0.058944027688948006,7.664934857437429e-11
HS578T_PR,THZ531,0.031623,$k_{G2}$,0.07664760393491668,7.664934857437429e-11
HS578T_PR,THZ531,0.031623,$k_{M}$$k_{G1}$,0.12256933699680105,7.664934857437429e-11
HS578T_PR,THZ531,0.031623,$k_{\phi}$,0.3240745961611077,7.664934857437429e-11
HS578T_PR,THZ531,0.316228,$k_{S}$,0.007298407336767901,8546.729482485624
HS578T_PR,THZ531,0.316228,$k_{G2}$,0.026237640097873608,8546.729482485624
HS578T_PR,THZ531,0.316228,$k_{M}$$k_{G1}$,0.03272347883353653,8546.729482485624
HS578T_PR,THZ531,0.316228,$k_{\phi}$,1e-07,8546.729482485624
HS578T_PR,THZ531,0.316228,$k_{S}$,0.005042713425461752,4246.921290941628
HS578T_PR,THZ531,0.316228,$k_{G2}$,0.02975570327691681,4246.921290941628
HS578T_PR,THZ531,0.316228,$k_{M}$$k_{G1}$,0.010577886266419116,4246.921290941628
HS578T_PR,THZ531,0.316228,$k_{\phi}$,1e-07,4246.921290941628
HS578T_PR,THZ531,0.316228,$k_{S}$,0.003315477166797788,5897.6237581726955
HS578T_PR,THZ531,0.316228,$k_{G2}$,0.025599713833766982,5897.6237581726955
HS578T_PR,THZ531,0.316228,$k_{M}$$k_{G1}$,0.017127744662385664,5897.6237581726955
HS578T_PR,THZ531,0.316228,$k_{\phi}$,1e-07,5897.6237581726955
HS578T_PR,THZ531,0.01,$k_{S}$,0.052911625647525315,7.204534292862894e-11
HS578T_PR,THZ531,0.01,$k_{G2}$,0.08366309230485672,7.204534292862894e-11
HS578T_PR,THZ531,0.01,$k_{M}$$k_{G1}$,0.16111527918191096,7.204534292862894e-11
HS578T_PR,THZ531,0.01,$k_{\phi}$,0.6241490629077742,7.204534292862894e-11
HS578T_PR,THZ531,0.01,$k_{S}$,0.05995421561808614,4.365310116891377e-10
HS578T_PR,THZ531,0.01,$k_{G2}$,0.08531911957951935,4.365310116891377e-10
HS578T_PR,THZ531,0.01,$k_{M}$$k_{G1}$,0.16926796521275236,4.365310116891377e-10
HS578T_PR,THZ531,0.01,$k_{\phi}$,1.4264332616790318,4.365310116891377e-10
HS578T_PR,THZ531,0.01,$k_{S}$,0.055050508317714485,6.254798728605091e-10
HS578T_PR,THZ531,0.01,$k_{G2}$,0.07737861386744697,6.254798728605091e-10
HS578T_PR,THZ531,0.01,$k_{M}$$k_{G1}$,0.2041847474516288,6.254798728605091e-10
HS578T_PR,THZ531,0.01,$k_{\phi}$,1.2607372438161402,6.254798728605091e-10
HS578T_PR,THZ531,0.003162,$k_{S}$,0.06305762855981767,101.80861881317396
HS578T_PR,THZ531,0.003162,$k_{G2}$,0.06823242706313225,101.80861881317396
HS578T_PR,THZ531,0.003162,$k_{M}$$k_{G1}$,0.22267594788248357,101.80861881317396
HS578T_PR,THZ531,0.003162,$k_{\phi}$,1.4437673284714823,101.80861881317396
HS578T_PR,THZ531,0.003162,$k_{S}$,0.05155047268768632,2.0628398737664024e-10
HS578T_PR,THZ531,0.003162,$k_{G2}$,0.07671969623927095,2.0628398737664024e-10
HS578T_PR,THZ531,0.003162,$k_{M}$$k_{G1}$,0.18935420587878427,2.0628398737664024e-10
HS578T_PR,THZ531,0.003162,$k_{\phi}$,0.8672518775848563,2.0628398737664024e-10
HS578T_PR,THZ531,0.003162,$k_{S}$,0.05139785985769016,1.6802811672111343e-10
HS578T_PR,THZ531,0.003162,$k_{G2}$,0.08860318442425638,1.6802811672111343e-10
HS578T_PR,THZ531,0.003162,$k_{M}$$k_{G1}$,0.19022701428087116,1.6802811672111343e-10
HS578T_PR,THZ531,0.003162,$k_{\phi}$,1.3023743854698318,1.6802811672111343e-10
HS578T_PR,THZ531,0.1,$k_{S}$,0.032407538452398986,7.611653940670668e-12
HS578T_PR,THZ531,0.1,$k_{G2}$,0.05149407092386423,7.611653940670668e-12
HS578T_PR,THZ531,0.1,$k_{M}$$k_{G1}$,0.061740737291385024,7.611653940670668e-12
HS578T_PR,THZ531,0.1,$k_{\phi}$,0.028571591770237208,7.611653940670668e-12
HS578T_PR,THZ531,0.1,$k_{S}$,0.035100932287700344,6.047974137150094e-12
HS578T_PR,THZ531,0.1,$k_{G2}$,0.046096170517302436,6.047974137150094e-12
HS578T_PR,THZ531,0.1,$k_{M}$$k_{G1}$,0.10831231310210808,6.047974137150094e-12
HS578T_PR,THZ531,0.1,$k_{\phi}$,0.04044783103927049,6.047974137150094e-12
HS578T_PR,THZ531,0.1,$k_{S}$,0.009083557108923081,1435.5372800006107
HS578T_PR,THZ531,0.1,$k_{G2}$,0.028289476572868254,1435.5372800006107
HS578T_PR,THZ531,0.1,$k_{M}$$k_{G1}$,0.03169044386206267,1435.5372800006107
HS578T_PR,THZ531,0.1,$k_{\phi}$,1e-07,1435.5372800006107
HS578T_PR,THZ531,1.0,$k_{S}$,0.005989009453727648,9307.118535402962
HS578T_PR,THZ531,1.0,$k_{G2}$,0.02432795311903801,9307.118535402962
HS578T_PR,THZ531,1.0,$k_{M}$$k_{G1}$,0.02316676220847406,9307.118535402962
HS578T_PR,THZ531,1.0,$k_{\phi}$,1e-07,9307.118535402962
HS578T_PR,THZ531,1.0,$k_{S}$,0.0046002073379167565,4664.739449129627
HS578T_PR,THZ531,1.0,$k_{G2}$,0.028430443489639193,4664.739449129627
HS578T_PR,THZ531,1.0,$k_{M}$$k_{G1}$,0.011042309700908498,4664.739449129627
HS578T_PR,THZ531,1.0,$k_{\phi}$,1e-07,4664.739449129627
HS578T_PR,THZ531,1.0,$k_{S}$,0.008245909728813701,10371.3849305129
HS578T_PR,THZ531,1.0,$k_{G2}$,0.02610397590382356,10371.3849305129
HS578T_PR,THZ531,1.0,$k_{M}$$k_{G1}$,0.026799063453422527,10371.3849305129
HS578T_PR,THZ531,1.0,$k_{\phi}$,1e-07,10371.3849305129
HS578T_PR,THZ531,0.001,$k_{S}$,0.05900018023428655,3.550540833318112e-10
HS578T_PR,THZ531,0.001,$k_{G2}$,0.08387314423955465,3.550540833318112e-10
HS578T_PR,THZ531,0.001,$k_{M}$$k_{G1}$,0.21637869874311366,3.550540833318112e-10
HS578T_PR,THZ531,0.001,$k_{\phi}$,0.7957679860419882,3.550540833318112e-10
HS578T_PR,THZ531,0.001,$k_{S}$,0.05521892246370891,4.369110033535984
HS578T_PR,THZ531,0.001,$k_{G2}$,0.091238092273179,4.369110033535984
HS578T_PR,THZ531,0.001,$k_{M}$$k_{G1}$,0.21124112582292698,4.369110033535984
HS578T_PR,THZ531,0.001,$k_{\phi}$,0.8665272320917096,4.369110033535984
HS578T_PR,THZ531,0.001,$k_{S}$,0.06056937439735859,2.337320897876927e-10
HS578T_PR,THZ531,0.001,$k_{G2}$,0.07799215180926616,2.337320897876927e-10
HS578T_PR,THZ531,0.001,$k_{M}$$k_{G1}$,0.19688477047253414,2.337320897876927e-10
HS578T_PR,THZ531,0.001,$k_{\phi}$,1.2974161855058413,2.337320897876927e-10
