cell_line,agent,concentration,parameter,rate,obj_func
HS578T_PR,Torin2,0.1,$k_{S}$,0.0022687914336372342,1.0535225665969723e-11
HS578T_PR,Torin2,0.1,$k_{G2}$,0.06828013132408937,1.0535225665969723e-11
HS578T_PR,Torin2,0.1,$k_{M}$$k_{G1}$,0.034090906745255,1.0535225665969723e-11
HS578T_PR,Torin2,0.1,$k_{\phi}$,0.2235129375708883,1.0535225665969723e-11
HS578T_PR,Torin2,0.1,$k_{S}$,1e-07,1509.40393207738
HS578T_PR,Torin2,0.1,$k_{G2}$,0.021321806919220705,1509.40393207738
HS578T_PR,Torin2,0.1,$k_{M}$$k_{G1}$,0.027383585411593712,1509.40393207738
HS578T_PR,Torin2,0.1,$k_{\phi}$,0.044448308886631795,1509.40393207738
HS578T_PR,Torin2,0.1,$k_{S}$,0.002192257511605826,2.162048265516979e-11
HS578T_PR,Torin2,0.1,$k_{G2}$,0.032546518273554065,2.162048265516979e-11
HS578T_PR,Torin2,0.1,$k_{M}$$k_{G1}$,0.03540419521272658,2.162048265516979e-11
HS578T_PR,Torin2,0.1,$k_{\phi}$,0.286673446522184,2.162048265516979e-11
HS578T_PR,Torin2,0.1,$k_{S}$,1e-07,1150.8336075374455
HS578T_PR,Torin2,0.1,$k_{G2}$,0.018406771076445904,1150.8336075374455
HS578T_PR,Torin2,0.1,$k_{M}$$k_{G1}$,0.021423017978936032,1150.8336075374455
HS578T_PR,Torin2,0.1,$k_{\phi}$,0.04175686444115224,1150.8336075374455
HS578T_PR,Torin2,0.1,$k_{S}$,1e-07,495.92637861698324
HS578T_PR,Torin2,0.1,$k_{G2}$,0.020014036606278506,495.92637861698324
HS578T_PR,Torin2,0.1,$k_{M}$$k_{G1}$,0.017881417349544352,495.92637861698324
HS578T_PR,Torin2,0.1,$k_{\phi}$,0.028562819057945422,495.92637861698324
HS578T_PR,Torin2,0.1,$k_{S}$,0.002276179542492507,6.919343447859737e-12
HS578T_PR,Torin2,0.1,$k_{G2}$,0.05966400835471381,6.919343447859737e-12
HS578T_PR,Torin2,0.1,$k_{M}$$k_{G1}$,0.0467863448061718,6.919343447859737e-12
HS578T_PR,Torin2,0.1,$k_{\phi}$,0.09338618373657856,6.919343447859737e-12
