cell_line,agent,concentration,parameter,rate,obj_func
HS578T,senexinb,0.031623,$k_{S}$,0.07728925516365807,4.571375096767024e-09
HS578T,senexinb,0.031623,$k_{G2}$,0.0860055762083049,4.571375096767024e-09
HS578T,senexinb,0.031623,$k_{M}$$k_{G1}$,0.1208751481297507,4.571375096767024e-09
HS578T,senexinb,0.031623,$k_{\phi}$,0.8051583715447389,4.571375096767024e-09
HS578T,senexinb,0.031623,$k_{S}$,0.06037572981536922,3.7146166468810693e-06
HS578T,senexinb,0.031623,$k_{G2}$,0.108521507945067,3.7146166468810693e-06
HS578T,senexinb,0.031623,$k_{M}$$k_{G1}$,0.1316856513752049,3.7146166468810693e-06
HS578T,senexinb,0.031623,$k_{\phi}$,1.2105588789741155,3.7146166468810693e-06
HS578T,senexinb,0.031623,$k_{S}$,0.05053493083573971,4.506284429040461e-10
HS578T,senexinb,0.031623,$k_{G2}$,0.0848084885841398,4.506284429040461e-10
HS578T,senexinb,0.031623,$k_{M}$$k_{G1}$,0.12952436645388593,4.506284429040461e-10
HS578T,senexinb,0.031623,$k_{\phi}$,0.5669472083402473,4.506284429040461e-10
HS578T,senexinb,0.003162,$k_{S}$,0.06014751608317067,9.065373593882105e-10
HS578T,senexinb,0.003162,$k_{G2}$,0.09967636829753913,9.065373593882105e-10
HS578T,senexinb,0.003162,$k_{M}$$k_{G1}$,0.14521503919541068,9.065373593882105e-10
HS578T,senexinb,0.003162,$k_{\phi}$,0.991540259612951,9.065373593882105e-10
HS578T,senexinb,0.003162,$k_{S}$,0.05451618015759234,1.0313962133036364e-09
HS578T,senexinb,0.003162,$k_{G2}$,0.11022362355380572,1.0313962133036364e-09
HS578T,senexinb,0.003162,$k_{M}$$k_{G1}$,0.14296738228934233,1.0313962133036364e-09
HS578T,senexinb,0.003162,$k_{\phi}$,1.1525635671869048,1.0313962133036364e-09
HS578T,senexinb,0.003162,$k_{S}$,0.0625777030658931,1.0919645798963474e-09
HS578T,senexinb,0.003162,$k_{G2}$,0.11639610403987243,1.0919645798963474e-09
