cell_line,agent,concentration,parameter,rate,obj_func
HTERT_HME,AZD5363,10.0,$k_{S}$,0.043558398108521766,6227.618740512693
HTERT_HME,AZD5363,10.0,$k_{G2}$,0.07558848223626284,6227.618740512693
HTERT_HME,AZD5363,10.0,$k_{M}$$k_{G1}$,0.08838347497087382,6227.618740512693
HTERT_HME,AZD5363,10.0,$k_{\phi}$,1.3625090182492896,6227.618740512693
HTERT_HME,AZD5363,10.0,$k_{S}$,0.04432217920935058,4.0081623623593294e-10
HTERT_HME,AZD5363,10.0,$k_{G2}$,0.11734504258744084,4.0081623623593294e-10
HTERT_HME,AZD5363,10.0,$k_{M}$$k_{G1}$,0.09719810749830173,4.0081623623593294e-10
HTERT_HME,AZD5363,10.0,$k_{\phi}$,37.305474029668474,4.0081623623593294e-10
HTERT_HME,AZD5363,10.0,$k_{S}$,0.038546786007838466,4.983948248652566e-10
HTERT_HME,AZD5363,10.0,$k_{G2}$,0.09159383430532812,4.983948248652566e-10
HTERT_HME,AZD5363,10.0,$k_{M}$$k_{G1}$,0.10229343574216342,4.983948248652566e-10
HTERT_HME,AZD5363,10.0,$k_{\phi}$,2.189717720195885,4.983948248652566e-10
HTERT_HME,AZD5363,0.01,$k_{S}$,0.07779971071869367,2491.976527382081
HTERT_HME,AZD5363,0.01,$k_{G2}$,0.09320253034531273,2491.976527382081
HTERT_HME,AZD5363,0.01,$k_{M}$$k_{G1}$,0.19262021699980528,2491.976527382081
HTERT_HME,AZD5363,0.01,$k_{\phi}$,2.3212225909616553,2491.976527382081
HTERT_HME,AZD5363,0.01,$k_{S}$,0.07404735021897094,10387.374786436603
HTERT_HME,AZD5363,0.01,$k_{G2}$,0.08901905809952561,10387.374786436603
HTERT_HME,AZD5363,0.01,$k_{M}$$k_{G1}$,0.15747674673451567,10387.374786436603
HTERT_HME,AZD5363,0.01,$k_{\phi}$,1.8496080166550244,10387.374786436603
HTERT_HME,AZD5363,0.01,$k_{S}$,0.07155250646295767,321.0753126073667
HTERT_HME,AZD5363,0.01,$k_{G2}$,0.08926022525962349,321.0753126073667
HTERT_HME,AZD5363,0.01,$k_{M}$$k_{G1}$,0.16757726189190475,321.0753126073667
HTERT_HME,AZD5363,0.01,$k_{\phi}$,1.9689476649628244,321.0753126073667
HTERT_HME,AZD5363,0.001,$k_{S}$,0.09091643187470272,0.8452720224123822
HTERT_HME,AZD5363,0.001,$k_{G2}$,0.07959129407454106,0.8452720224123822
HTERT_HME,AZD5363,0.001,$k_{M}$$k_{G1}$,0.17987253781457013,0.8452720224123822
HTERT_HME,AZD5363,0.001,$k_{\phi}$,3.33948845806865,0.8452720224123822
HTERT_HME,AZD5363,0.001,$k_{S}$,0.07439978396352714,23079.49651506506
