cell_line,agent,concentration,parameter,rate,obj_func
HTERT_HME,BMS-265246,3.162278,$k_{S}$,1e-07,4679.065754018804
HTERT_HME,BMS-265246,3.162278,$k_{G2}$,0.01940527961497421,4679.065754018804
HTERT_HME,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.002667437744032468,4679.065754018804
HTERT_HME,BMS-265246,3.162278,$k_{\phi}$,1e-07,4679.065754018804
HTERT_HME,BMS-265246,3.162278,$k_{S}$,0.001372952091421884,1629.460227280762
HTERT_HME,BMS-265246,3.162278,$k_{G2}$,0.021030907819408026,1629.460227280762
HTERT_HME,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.0018803175663587065,1629.460227280762
HTERT_HME,BMS-265246,3.162278,$k_{\phi}$,1e-07,1629.460227280762
HTERT_HME,BMS-265246,3.162278,$k_{S}$,0.0007624059618492802,7458.826501355763
HTERT_HME,BMS-265246,3.162278,$k_{G2}$,0.02000347771652726,7458.826501355763
HTERT_HME,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.001746965866124723,7458.826501355763
HTERT_HME,BMS-265246,3.162278,$k_{\phi}$,1e-07,7458.826501355763
HTERT_HME,BMS-265246,0.316228,$k_{S}$,0.0023404346795062613,1193.8956337653017
HTERT_HME,BMS-265246,0.316228,$k_{G2}$,0.014701817696531325,1193.8956337653017
HTERT_HME,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.001829903979882442,1193.8956337653017
HTERT_HME,BMS-265246,0.316228,$k_{\phi}$,1e-07,1193.8956337653017
HTERT_HME,BMS-265246,0.316228,$k_{S}$,0.0033679366444644434,1814.9850456136357
HTERT_HME,BMS-265246,0.316228,$k_{G2}$,0.027024956747078905,1814.9850456136357
HTERT_HME,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.0015873586806134693,1814.9850456136357
HTERT_HME,BMS-265246,0.316228,$k_{\phi}$,1e-07,1814.9850456136357
HTERT_HME,BMS-265246,0.316228,$k_{S}$,0.003331941734088517,10095.875992721369
HTERT_HME,BMS-265246,0.316228,$k_{G2}$,0.01461757475568934,10095.875992721369
HTERT_HME,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.0030417149445322897,10095.875992721369
HTERT_HME,BMS-265246,0.316228,$k_{\phi}$,1e-07,10095.875992721369
HTERT_HME,BMS-265246,10.0,$k_{S}$,1e-07,1121.755746150053
HTERT_HME,BMS-265246,10.0,$k_{G2}$,0.017400039087744318,1121.755746150053
HTERT_HME,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.0024762353537016333,1121.755746150053
HTERT_HME,BMS-265246,10.0,$k_{\phi}$,0.026624796176547096,1121.755746150053
HTERT_HME,BMS-265246,10.0,$k_{S}$,1e-07,79.78287793715904
HTERT_HME,BMS-265246,10.0,$k_{G2}$,0.019885952367864754,79.78287793715904
HTERT_HME,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.002650075290277152,79.78287793715904
HTERT_HME,BMS-265246,10.0,$k_{\phi}$,0.026505427369001997,79.78287793715904
HTERT_HME,BMS-265246,10.0,$k_{S}$,0.006032372785835939,4.9041882465265733e-11
HTERT_HME,BMS-265246,10.0,$k_{G2}$,0.04262390635442865,4.9041882465265733e-11
HTERT_HME,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.0052614407147783164,4.9041882465265733e-11
HTERT_HME,BMS-265246,10.0,$k_{\phi}$,0.094191696384959,4.9041882465265733e-11
HTERT_HME,BMS-265246,0.1,$k_{S}$,1e-07,1114.7692070373068
HTERT_HME,BMS-265246,0.1,$k_{G2}$,0.017951568299872298,1114.7692070373068
HTERT_HME,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.005061199214261616,1114.7692070373068
