cell_line,agent,concentration,parameter,rate,obj_func
HTERT_HME,BSJ-01-175,0.1,$k_{S}$,0.002067965506508169,13756.322784249667
HTERT_HME,BSJ-01-175,0.1,$k_{G2}$,0.019019113623794767,13756.322784249667
HTERT_HME,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.003919921148284408,13756.322784249667
HTERT_HME,BSJ-01-175,0.1,$k_{\phi}$,1e-07,13756.322784249667
HTERT_HME,BSJ-01-175,0.1,$k_{S}$,1e-07,12050.029725499578
HTERT_HME,BSJ-01-175,0.1,$k_{G2}$,0.018343302833851865,12050.029725499578
HTERT_HME,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.003915510634066208,12050.029725499578
HTERT_HME,BSJ-01-175,0.1,$k_{\phi}$,1e-07,12050.029725499578
HTERT_HME,BSJ-01-175,0.1,$k_{S}$,0.008147267084914816,27567.17725098664
HTERT_HME,BSJ-01-175,0.1,$k_{G2}$,0.02110039954695543,27567.17725098664
HTERT_HME,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.0053362381847744805,27567.17725098664
HTERT_HME,BSJ-01-175,0.1,$k_{\phi}$,1e-07,27567.17725098664
HTERT_HME,BSJ-01-175,10.0,$k_{S}$,1e-07,30468.89325447898
HTERT_HME,BSJ-01-175,10.0,$k_{G2}$,0.010300242963270565,30468.89325447898
HTERT_HME,BSJ-01-175,10.0,$k_{M}$$k_{G1}$,0.010116322454356112,30468.89325447898
HTERT_HME,BSJ-01-175,10.0,$k_{\phi}$,1e-07,30468.89325447898
HTERT_HME,BSJ-01-175,10.0,$k_{S}$,0.0008883189527993797,29839.761423887176
HTERT_HME,BSJ-01-175,10.0,$k_{G2}$,0.008216374808977465,29839.761423887176
HTERT_HME,BSJ-01-175,10.0,$k_{M}$$k_{G1}$,0.011490723398367833,29839.761423887176
HTERT_HME,BSJ-01-175,10.0,$k_{\phi}$,1e-07,29839.761423887176
HTERT_HME,BSJ-01-175,10.0,$k_{S}$,1e-07,18252.562082337565
HTERT_HME,BSJ-01-175,10.0,$k_{G2}$,0.013447292506943848,18252.562082337565
HTERT_HME,BSJ-01-175,10.0,$k_{M}$$k_{G1}$,0.006669583467874602,18252.562082337565
HTERT_HME,BSJ-01-175,10.0,$k_{\phi}$,1e-07,18252.562082337565
HTERT_HME,BSJ-01-175,1.0,$k_{S}$,0.0002041465226591202,15597.509185430245
HTERT_HME,BSJ-01-175,1.0,$k_{G2}$,0.015086394232310882,15597.509185430245
HTERT_HME,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.004748016871550954,15597.509185430245
HTERT_HME,BSJ-01-175,1.0,$k_{\phi}$,1e-07,15597.509185430245
HTERT_HME,BSJ-01-175,1.0,$k_{S}$,0.0007497892266527594,14934.480134427575
HTERT_HME,BSJ-01-175,1.0,$k_{G2}$,0.0173247918106026,14934.480134427575
HTERT_HME,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.005031069808534271,14934.480134427575
HTERT_HME,BSJ-01-175,1.0,$k_{\phi}$,1e-07,14934.480134427575
HTERT_HME,BSJ-01-175,1.0,$k_{S}$,0.0008023479367032999,21551.25858385135
HTERT_HME,BSJ-01-175,1.0,$k_{G2}$,0.016226287751865506,21551.25858385135
HTERT_HME,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.005325910711126772,21551.25858385135
HTERT_HME,BSJ-01-175,1.0,$k_{\phi}$,1e-07,21551.25858385135
HTERT_HME,BSJ-01-175,0.003162,$k_{S}$,0.06588983690043931,1437.8314423121562
HTERT_HME,BSJ-01-175,0.003162,$k_{G2}$,0.10077763653218193,1437.8314423121562
HTERT_HME,BSJ-01-175,0.003162,$k_{M}$$k_{G1}$,0.1683504100408679,1437.8314423121562
HTERT_HME,BSJ-01-175,0.003162,$k_{\phi}$,1.8308469785945192,1437.8314423121562
HTERT_HME,BSJ-01-175,0.003162,$k_{S}$,0.0830935949263214,7554.981710092516
