cell_line,agent,concentration,parameter,rate,obj_func
HTERT_HME,CDK1_2iIII,0.1,$k_{S}$,0.007549777308137948,5934.87655657181
HTERT_HME,CDK1_2iIII,0.1,$k_{G2}$,0.024402691654630958,5934.87655657181
HTERT_HME,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.00451534127588573,5934.87655657181
HTERT_HME,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,5934.87655657181
HTERT_HME,CDK1_2iIII,0.1,$k_{S}$,0.0037594344883204664,1044.3738114780717
HTERT_HME,CDK1_2iIII,0.1,$k_{G2}$,0.021506034793578755,1044.3738114780717
HTERT_HME,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.004113131063382344,1044.3738114780717
HTERT_HME,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,1044.3738114780717
HTERT_HME,CDK1_2iIII,0.1,$k_{S}$,0.00443644078280436,6914.923307298099
HTERT_HME,CDK1_2iIII,0.1,$k_{G2}$,0.02641015602068991,6914.923307298099
HTERT_HME,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.0055212795098788835,6914.923307298099
HTERT_HME,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,6914.923307298099
HTERT_HME,CDK1_2iIII,0.1,$k_{S}$,0.009380427088069559,148.64846473830465
HTERT_HME,CDK1_2iIII,0.1,$k_{G2}$,0.02549985740825641,148.64846473830465
HTERT_HME,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.0032888243847111354,148.64846473830465
HTERT_HME,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,148.64846473830465
HTERT_HME,CDK1_2iIII,0.1,$k_{S}$,0.0037259170456019172,7066.239645574925
HTERT_HME,CDK1_2iIII,0.1,$k_{G2}$,0.03235896856083423,7066.239645574925
HTERT_HME,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.003818654555994967,7066.239645574925
HTERT_HME,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,7066.239645574925
HTERT_HME,CDK1_2iIII,0.1,$k_{S}$,0.006958557142703252,3239.150282410021
HTERT_HME,CDK1_2iIII,0.1,$k_{G2}$,0.02656855754638511,3239.150282410021
HTERT_HME,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.004467957692676959,3239.150282410021
HTERT_HME,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,3239.150282410021
