cell_line,agent,concentration,parameter,rate,obj_func
HTERT_HME,Flavopiridol,0.003162,$k_{S}$,0.07702647213503105,5612.731116670646
HTERT_HME,Flavopiridol,0.003162,$k_{G2}$,0.07665839293370974,5612.731116670646
HTERT_HME,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.17813131577091887,5612.731116670646
HTERT_HME,Flavopiridol,0.003162,$k_{\phi}$,1.2166383874429267,5612.731116670646
HTERT_HME,Flavopiridol,0.003162,$k_{S}$,0.07654385083489888,166.9090516093704
HTERT_HME,Flavopiridol,0.003162,$k_{G2}$,0.09407088029291356,166.9090516093704
HTERT_HME,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.1797840811706629,166.9090516093704
HTERT_HME,Flavopiridol,0.003162,$k_{\phi}$,1.8559045015114024,166.9090516093704
HTERT_HME,Flavopiridol,0.003162,$k_{S}$,0.07233604832620034,7211.0670441499615
HTERT_HME,Flavopiridol,0.003162,$k_{G2}$,0.08041378659893977,7211.0670441499615
HTERT_HME,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.16314815689203913,7211.0670441499615
HTERT_HME,Flavopiridol,0.003162,$k_{\phi}$,1.5336089905452588,7211.0670441499615
HTERT_HME,Flavopiridol,1.0,$k_{S}$,0.0029646931993608586,21814.668813837223
HTERT_HME,Flavopiridol,1.0,$k_{G2}$,0.01790317440630491,21814.668813837223
HTERT_HME,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.005520783049223991,21814.668813837223
HTERT_HME,Flavopiridol,1.0,$k_{\phi}$,1e-07,21814.668813837223
HTERT_HME,Flavopiridol,1.0,$k_{S}$,1e-07,49905.567323167
HTERT_HME,Flavopiridol,1.0,$k_{G2}$,0.009542968147702396,49905.567323167
HTERT_HME,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.01132561645721395,49905.567323167
HTERT_HME,Flavopiridol,1.0,$k_{\phi}$,1e-07,49905.567323167
HTERT_HME,Flavopiridol,1.0,$k_{S}$,0.0021177507980622333,42798.45565410404
HTERT_HME,Flavopiridol,1.0,$k_{G2}$,0.014516203759987214,42798.45565410404
HTERT_HME,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.007468942818574447,42798.45565410404
HTERT_HME,Flavopiridol,1.0,$k_{\phi}$,1e-07,42798.45565410404
HTERT_HME,Flavopiridol,0.001,$k_{S}$,0.07859169183841742,4.0741184980649875e-09
HTERT_HME,Flavopiridol,0.001,$k_{G2}$,0.07890709249650636,4.0741184980649875e-09
HTERT_HME,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.19764733643743246,4.0741184980649875e-09
HTERT_HME,Flavopiridol,0.001,$k_{\phi}$,2.2694258871289614,4.0741184980649875e-09
HTERT_HME,Flavopiridol,0.001,$k_{S}$,0.07177946742822683,5463.972840169109
HTERT_HME,Flavopiridol,0.001,$k_{G2}$,0.0878149554129046,5463.972840169109
HTERT_HME,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.1757303227794463,5463.972840169109
HTERT_HME,Flavopiridol,0.001,$k_{\phi}$,2.121805344692921,5463.972840169109
HTERT_HME,Flavopiridol,0.001,$k_{S}$,0.07865477244878379,2491.9274342679
HTERT_HME,Flavopiridol,0.001,$k_{G2}$,0.08606114906450826,2491.9274342679
HTERT_HME,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.18655840255126127,2491.9274342679
HTERT_HME,Flavopiridol,0.001,$k_{\phi}$,2.330450444577457,2491.9274342679
HTERT_HME,Flavopiridol,0.0001,$k_{S}$,0.09044349257957149,8449.296236121423
HTERT_HME,Flavopiridol,0.0001,$k_{G2}$,0.09143013087465339,8449.296236121423
