cell_line,agent,concentration,parameter,rate,obj_func
HTERT_HME,R0-3306,0.001,$k_{S}$,0.08656943118995601,4.028124214774614e-09
HTERT_HME,R0-3306,0.001,$k_{G2}$,0.08502252511110447,4.028124214774614e-09
HTERT_HME,R0-3306,0.001,$k_{M}$$k_{G1}$,0.22188463425239283,4.028124214774614e-09
HTERT_HME,R0-3306,0.001,$k_{\phi}$,2.4077881687168103,4.028124214774614e-09
HTERT_HME,R0-3306,0.001,$k_{S}$,0.08014301335697778,6228.565501430279
HTERT_HME,R0-3306,0.001,$k_{G2}$,0.1021193671335057,6228.565501430279
HTERT_HME,R0-3306,0.001,$k_{M}$$k_{G1}$,0.2328833111306878,6228.565501430279
HTERT_HME,R0-3306,0.001,$k_{\phi}$,2.7804823981612667,6228.565501430279
HTERT_HME,R0-3306,0.001,$k_{S}$,0.07325528706304835,2907.348697987513
HTERT_HME,R0-3306,0.001,$k_{G2}$,0.0997778005852367,2907.348697987513
HTERT_HME,R0-3306,0.001,$k_{M}$$k_{G1}$,0.1951420993056729,2907.348697987513
HTERT_HME,R0-3306,0.001,$k_{\phi}$,2.4757291766065994,2907.348697987513
HTERT_HME,R0-3306,0.003162,$k_{S}$,0.08554446584573874,5.678500672529601e-09
HTERT_HME,R0-3306,0.003162,$k_{G2}$,0.08914338301751748,5.678500672529601e-09
HTERT_HME,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.22032169393115242,5.678500672529601e-09
HTERT_HME,R0-3306,0.003162,$k_{\phi}$,2.107244344302319,5.678500672529601e-09
HTERT_HME,R0-3306,0.003162,$k_{S}$,0.07567010611465674,16108.416106168615
HTERT_HME,R0-3306,0.003162,$k_{G2}$,0.09176613341158275,16108.416106168615
HTERT_HME,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.16882098028587572,16108.416106168615
HTERT_HME,R0-3306,0.003162,$k_{\phi}$,1.865164531531967,16108.416106168615
HTERT_HME,R0-3306,0.003162,$k_{S}$,0.08110750716231568,166.9291536547677
HTERT_HME,R0-3306,0.003162,$k_{G2}$,0.09039221994194199,166.9291536547677
HTERT_HME,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.2196178066344115,166.9291536547677
HTERT_HME,R0-3306,0.003162,$k_{\phi}$,1.8164187007136459,166.9291536547677
HTERT_HME,R0-3306,1.0,$k_{S}$,0.08601059942728598,2.0582280423898255e-09
HTERT_HME,R0-3306,1.0,$k_{G2}$,0.08652389801288952,2.0582280423898255e-09
HTERT_HME,R0-3306,1.0,$k_{M}$$k_{G1}$,0.20993586876320616,2.0582280423898255e-09
HTERT_HME,R0-3306,1.0,$k_{\phi}$,1.8213363056201526,2.0582280423898255e-09
HTERT_HME,R0-3306,1.0,$k_{S}$,0.08054864871549604,724.6354399593133
HTERT_HME,R0-3306,1.0,$k_{G2}$,0.08669863526179954,724.6354399593133
HTERT_HME,R0-3306,1.0,$k_{M}$$k_{G1}$,0.1712058544574788,724.6354399593133
HTERT_HME,R0-3306,1.0,$k_{\phi}$,2.3385518904378726,724.6354399593133
HTERT_HME,R0-3306,1.0,$k_{S}$,0.08655758406659503,2492.014166538677
HTERT_HME,R0-3306,1.0,$k_{G2}$,0.09494785118141429,2492.014166538677
HTERT_HME,R0-3306,1.0,$k_{M}$$k_{G1}$,0.19200507882130022,2492.014166538677
HTERT_HME,R0-3306,1.0,$k_{\phi}$,1.390918004526085,2492.014166538677
HTERT_HME,R0-3306,0.031623,$k_{S}$,0.0868479754544676,1593.6520267762062
HTERT_HME,R0-3306,0.031623,$k_{G2}$,0.09426556010453511,1593.6520267762062
HTERT_HME,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.19891557421172718,1593.6520267762062
