cell_line,agent,concentration,parameter,rate,obj_func
HCC70,LY3023414,0.031623,$k_{S}$,0.005803754962640661,1.341856109014425e-09
HCC70,LY3023414,0.031623,$k_{G2}$,0.005392021122744724,1.341856109014425e-09
HCC70,LY3023414,0.031623,$k_{M}$$k_{G1}$,0.02741171537940656,1.341856109014425e-09
HCC70,LY3023414,0.031623,$k_{\phi}$,0.08980813047271187,1.341856109014425e-09
HCC70,LY3023414,0.031623,$k_{S}$,0.010428653299243168,2.0830605014001887e-09
HCC70,LY3023414,0.031623,$k_{G2}$,0.013000426549842035,2.0830605014001887e-09
HCC70,LY3023414,0.031623,$k_{M}$$k_{G1}$,0.041888379467705475,2.0830605014001887e-09
HCC70,LY3023414,0.031623,$k_{\phi}$,0.15171837641103006,2.0830605014001887e-09
HCC70,LY3023414,0.031623,$k_{S}$,0.009640686245020897,1.8547079132381694e-09
HCC70,LY3023414,0.031623,$k_{G2}$,0.01010822845747546,1.8547079132381694e-09
HCC70,LY3023414,0.031623,$k_{M}$$k_{G1}$,0.03496520967256079,1.8547079132381694e-09
HCC70,LY3023414,0.031623,$k_{\phi}$,0.13860774522979422,1.8547079132381694e-09
HCC70,LY3023414,0.316228,$k_{S}$,0.009419205667935518,1.843574184714673e-09
HCC70,LY3023414,0.316228,$k_{G2}$,0.009232143045686562,1.843574184714673e-09
HCC70,LY3023414,0.316228,$k_{M}$$k_{G1}$,0.05140942332929086,1.843574184714673e-09
HCC70,LY3023414,0.316228,$k_{\phi}$,0.2314686525605356,1.843574184714673e-09
HCC70,LY3023414,0.316228,$k_{S}$,0.007946045246620136,1.6800090999361718e-09
HCC70,LY3023414,0.316228,$k_{G2}$,0.009450425488029537,1.6800090999361718e-09
HCC70,LY3023414,0.316228,$k_{M}$$k_{G1}$,0.04650666667801839,1.6800090999361718e-09
HCC70,LY3023414,0.316228,$k_{\phi}$,0.3540526696771139,1.6800090999361718e-09
