cell_line,agent,concentration,parameter,rate,obj_func
MCF10A,BMS-265246,3.162278,$k_{S}$,0.08425824119251055,3.265384666453192e-10
MCF10A,BMS-265246,3.162278,$k_{G2}$,0.10327420634699641,3.265384666453192e-10
MCF10A,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.07118971998166627,3.265384666453192e-10
MCF10A,BMS-265246,3.162278,$k_{\phi}$,0.4109077338342605,3.265384666453192e-10
MCF10A,BMS-265246,3.162278,$k_{S}$,0.04429304877546854,1.3982481545721137e-10
MCF10A,BMS-265246,3.162278,$k_{G2}$,0.0383588293179647,1.3982481545721137e-10
MCF10A,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.032641898255494885,1.3982481545721137e-10
MCF10A,BMS-265246,3.162278,$k_{\phi}$,0.16018366203186635,1.3982481545721137e-10
MCF10A,BMS-265246,3.162278,$k_{S}$,0.0650096894871776,1.791355421556277e-10
MCF10A,BMS-265246,3.162278,$k_{G2}$,0.11040775146103413,1.791355421556277e-10
MCF10A,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.04089997262673851,1.791355421556277e-10
MCF10A,BMS-265246,3.162278,$k_{\phi}$,0.31055163447234774,1.791355421556277e-10
MCF10A,BMS-265246,0.316228,$k_{S}$,0.11216661622340797,1.9396440336261572e-09
MCF10A,BMS-265246,0.316228,$k_{G2}$,0.1343747282215854,1.9396440336261572e-09
MCF10A,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.09454054141725511,1.9396440336261572e-09
MCF10A,BMS-265246,0.316228,$k_{\phi}$,0.6484695379536501,1.9396440336261572e-09
MCF10A,BMS-265246,0.316228,$k_{S}$,0.10002082209583227,1.7090002071157991e-09
MCF10A,BMS-265246,0.316228,$k_{G2}$,0.08811810320041641,1.7090002071157991e-09
MCF10A,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.0854214689912988,1.7090002071157991e-09
MCF10A,BMS-265246,0.316228,$k_{\phi}$,0.8591240928436984,1.7090002071157991e-09
MCF10A,BMS-265246,0.316228,$k_{S}$,0.10769005326319306,1.3463801859105471e-09
MCF10A,BMS-265246,0.316228,$k_{G2}$,0.11013272542712228,1.3463801859105471e-09
MCF10A,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.0800334292632655,1.3463801859105471e-09
MCF10A,BMS-265246,0.316228,$k_{\phi}$,2.5556086633667094,1.3463801859105471e-09
MCF10A,BMS-265246,10.0,$k_{S}$,0.03773246361651417,8.373846199448003e-11
MCF10A,BMS-265246,10.0,$k_{G2}$,0.06536344025061325,8.373846199448003e-11
MCF10A,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.020087443408879916,8.373846199448003e-11
MCF10A,BMS-265246,10.0,$k_{\phi}$,0.160838916341309,8.373846199448003e-11
MCF10A,BMS-265246,10.0,$k_{S}$,0.038067060607110764,5.2694433338540424e-11
MCF10A,BMS-265246,10.0,$k_{G2}$,0.05608034059803643,5.2694433338540424e-11
MCF10A,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.020193298447231913,5.2694433338540424e-11
MCF10A,BMS-265246,10.0,$k_{\phi}$,0.38104099613401304,5.2694433338540424e-11
MCF10A,BMS-265246,10.0,$k_{S}$,0.059693281672119125,1.1603862703058663e-10
MCF10A,BMS-265246,10.0,$k_{G2}$,0.09515516773265488,1.1603862703058663e-10
MCF10A,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.027750054452817786,1.1603862703058663e-10
MCF10A,BMS-265246,10.0,$k_{\phi}$,0.2149550891040171,1.1603862703058663e-10
MCF10A,BMS-265246,0.1,$k_{S}$,0.09504554517568727,1.2521443472708685e-08
MCF10A,BMS-265246,0.1,$k_{G2}$,0.13549424839471433,1.2521443472708685e-08
MCF10A,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.12513340700434283,1.2521443472708685e-08
MCF10A,BMS-265246,0.1,$k_{\phi}$,6.589177531601508,1.2521443472708685e-08
MCF10A,BMS-265246,0.1,$k_{S}$,0.098211327459895,4.5784878512571984e-09
MCF10A,BMS-265246,0.1,$k_{G2}$,0.12417705232918412,4.5784878512571984e-09
MCF10A,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.12084514562137681,4.5784878512571984e-09
MCF10A,BMS-265246,0.1,$k_{\phi}$,0.9651800100699923,4.5784878512571984e-09
MCF10A,BMS-265246,0.1,$k_{S}$,0.10644367480842043,1.0889862988842948e-08
MCF10A,BMS-265246,0.1,$k_{G2}$,0.12782527750215575,1.0889862988842948e-08
MCF10A,BMS-265246,0.1,$k_{M}$$k_{G1}$,0.15532209208145076,1.0889862988842948e-08
MCF10A,BMS-265246,0.1,$k_{\phi}$,1.081116119644053,1.0889862988842948e-08
MCF10A,BMS-265246,1.0,$k_{S}$,0.11162644128535924,3.376319185267469e-09
MCF10A,BMS-265246,1.0,$k_{G2}$,0.11345070298484856,3.376319185267469e-09
MCF10A,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.09378506773575973,3.376319185267469e-09
MCF10A,BMS-265246,1.0,$k_{\phi}$,0.8625991745765322,3.376319185267469e-09
MCF10A,BMS-265246,1.0,$k_{S}$,0.10338010118898919,9.444702167578626e-10
MCF10A,BMS-265246,1.0,$k_{G2}$,0.05807004984779976,9.444702167578626e-10
MCF10A,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.093460105252588,9.444702167578626e-10
MCF10A,BMS-265246,1.0,$k_{\phi}$,2.9596848539266345,9.444702167578626e-10
MCF10A,BMS-265246,1.0,$k_{S}$,0.09253528270952605,1.309695661916625e-09
MCF10A,BMS-265246,1.0,$k_{G2}$,0.09680032028181337,1.309695661916625e-09
MCF10A,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.08747677563351984,1.309695661916625e-09
MCF10A,BMS-265246,1.0,$k_{\phi}$,0.6268189406902145,1.309695661916625e-09
MCF10A,BMS-265246,0.001,$k_{S}$,0.11039863604797664,1.0821237346231183e-07
MCF10A,BMS-265246,0.001,$k_{G2}$,0.148322662138803,1.0821237346231183e-07
MCF10A,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.17848678665446527,1.0821237346231183e-07
MCF10A,BMS-265246,0.001,$k_{\phi}$,80.03722252412858,1.0821237346231183e-07
MCF10A,BMS-265246,0.001,$k_{S}$,0.10954682674273693,5.501309516602322e-08
MCF10A,BMS-265246,0.001,$k_{G2}$,0.1373252232090748,5.501309516602322e-08
MCF10A,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.19968678518393493,5.501309516602322e-08
MCF10A,BMS-265246,0.001,$k_{\phi}$,1.946212302120474,5.501309516602322e-08
MCF10A,BMS-265246,0.001,$k_{S}$,0.1160414540967684,5.312280601114631e-08
MCF10A,BMS-265246,0.001,$k_{G2}$,0.14867976070982153,5.312280601114631e-08
MCF10A,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.19934103971751382,5.312280601114631e-08
MCF10A,BMS-265246,0.001,$k_{\phi}$,1.5456337795440898,5.312280601114631e-08
MCF10A,BMS-265246,0.003162,$k_{S}$,0.10680869583480036,1.1979253111723914e-07
MCF10A,BMS-265246,0.003162,$k_{G2}$,0.18801468150157585,1.1979253111723914e-07
MCF10A,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.2101289930943091,1.1979253111723914e-07
MCF10A,BMS-265246,0.003162,$k_{\phi}$,2.12115882446243,1.1979253111723914e-07
MCF10A,BMS-265246,0.003162,$k_{S}$,0.11776480216732986,3.877289222729334e-08
MCF10A,BMS-265246,0.003162,$k_{G2}$,0.13360140235676884,3.877289222729334e-08
MCF10A,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.18675173688277888,3.877289222729334e-08
MCF10A,BMS-265246,0.003162,$k_{\phi}$,1.9972905189642023,3.877289222729334e-08
MCF10A,BMS-265246,0.003162,$k_{S}$,0.11479601544381857,5.8222889912578374e-08
MCF10A,BMS-265246,0.003162,$k_{G2}$,0.14110826967166404,5.8222889912578374e-08
MCF10A,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.19599884342522042,5.8222889912578374e-08
MCF10A,BMS-265246,0.003162,$k_{\phi}$,1.8713408838289947,5.8222889912578374e-08
MCF10A,BMS-265246,0.031623,$k_{S}$,0.09797551741104397,0.006012051131505101
MCF10A,BMS-265246,0.031623,$k_{G2}$,0.15115253717407673,0.006012051131505101
MCF10A,BMS-265246,0.031623,$k_{M}$$k_{G1}$,0.15565313446686493,0.006012051131505101
MCF10A,BMS-265246,0.031623,$k_{\phi}$,27.742928937849747,0.006012051131505101
MCF10A,BMS-265246,0.031623,$k_{S}$,0.09897759028312837,1.2762149223325648e-08
MCF10A,BMS-265246,0.031623,$k_{G2}$,0.12641750412021682,1.2762149223325648e-08
MCF10A,BMS-265246,0.031623,$k_{M}$$k_{G1}$,0.14231324825639957,1.2762149223325648e-08
MCF10A,BMS-265246,0.031623,$k_{\phi}$,1.5032387967201952,1.2762149223325648e-08
MCF10A,BMS-265246,0.031623,$k_{S}$,0.09832040268997219,1.7066262329202938e-08
MCF10A,BMS-265246,0.031623,$k_{G2}$,0.13280956435682795,1.7066262329202938e-08
MCF10A,BMS-265246,0.031623,$k_{M}$$k_{G1}$,0.13417888392552427,1.7066262329202938e-08
MCF10A,BMS-265246,0.031623,$k_{\phi}$,7.686932753830455,1.7066262329202938e-08
MCF10A,BMS-265246,0.01,$k_{S}$,0.11882339121472679,2.1812207786040527e-08
MCF10A,BMS-265246,0.01,$k_{G2}$,0.12649924451959535,2.1812207786040527e-08
MCF10A,BMS-265246,0.01,$k_{M}$$k_{G1}$,0.16873189229637278,2.1812207786040527e-08
MCF10A,BMS-265246,0.01,$k_{\phi}$,1.7945469667088445,2.1812207786040527e-08
MCF10A,BMS-265246,0.01,$k_{S}$,0.10875706026567811,2.6223810850713722e-08
MCF10A,BMS-265246,0.01,$k_{G2}$,0.11673121803759287,2.6223810850713722e-08
MCF10A,BMS-265246,0.01,$k_{M}$$k_{G1}$,0.17164329989340504,2.6223810850713722e-08
MCF10A,BMS-265246,0.01,$k_{\phi}$,92.48723336588336,2.6223810850713722e-08
MCF10A,BMS-265246,0.01,$k_{S}$,0.10624595980816304,1.3634271611119674e-08
MCF10A,BMS-265246,0.01,$k_{G2}$,0.12716699353767763,1.3634271611119674e-08
MCF10A,BMS-265246,0.01,$k_{M}$$k_{G1}$,0.16529567824720892,1.3634271611119674e-08
MCF10A,BMS-265246,0.01,$k_{\phi}$,1.471233097448744,1.3634271611119674e-08
