cell_line,agent,concentration,parameter,rate,obj_func
MCF10A,Flavopiridol,0.003162,$k_{S}$,0.09060923149595863,7.110572451511972e-08
MCF10A,Flavopiridol,0.003162,$k_{G2}$,0.2079474759762414,7.110572451511972e-08
MCF10A,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.23411081239495132,7.110572451511972e-08
MCF10A,Flavopiridol,0.003162,$k_{\phi}$,82.06858836096795,7.110572451511972e-08
MCF10A,Flavopiridol,0.003162,$k_{S}$,0.09710372498248324,2.3974930556315783e-07
MCF10A,Flavopiridol,0.003162,$k_{G2}$,0.1692901823108788,2.3974930556315783e-07
MCF10A,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.25155856727941317,2.3974930556315783e-07
MCF10A,Flavopiridol,0.003162,$k_{\phi}$,60.84067626738411,2.3974930556315783e-07
MCF10A,Flavopiridol,0.003162,$k_{S}$,0.0956412688400503,1.8012045389861186e-07
MCF10A,Flavopiridol,0.003162,$k_{G2}$,0.1948429564975412,1.8012045389861186e-07
MCF10A,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.2513690908784912,1.8012045389861186e-07
MCF10A,Flavopiridol,0.003162,$k_{\phi}$,2.3702291137438904,1.8012045389861186e-07
MCF10A,Flavopiridol,1.0,$k_{S}$,0.005201366878102093,58166.63760696489
MCF10A,Flavopiridol,1.0,$k_{G2}$,0.012895284768031548,58166.63760696489
MCF10A,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.009864635739410795,58166.63760696489
MCF10A,Flavopiridol,1.0,$k_{\phi}$,1e-07,58166.63760696489
MCF10A,Flavopiridol,1.0,$k_{S}$,0.001470715215600189,20261.62329672696
MCF10A,Flavopiridol,1.0,$k_{G2}$,0.012366048690929799,20261.62329672696
MCF10A,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.006702493788888689,20261.62329672696
MCF10A,Flavopiridol,1.0,$k_{\phi}$,1e-07,20261.62329672696
MCF10A,Flavopiridol,1.0,$k_{S}$,0.006784157934752095,81738.2353107268
MCF10A,Flavopiridol,1.0,$k_{G2}$,0.012222632975258054,81738.2353107268
MCF10A,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.011341394381126378,81738.2353107268
MCF10A,Flavopiridol,1.0,$k_{\phi}$,1e-07,81738.2353107268
MCF10A,Flavopiridol,0.001,$k_{S}$,0.08912752581456085,0.0035036822928676565
MCF10A,Flavopiridol,0.001,$k_{G2}$,0.22150021119100982,0.0035036822928676565
MCF10A,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.24582853278155511,0.0035036822928676565
MCF10A,Flavopiridol,0.001,$k_{\phi}$,4.022249770124315,0.0035036822928676565
MCF10A,Flavopiridol,0.001,$k_{S}$,0.09607677747036741,4.3023461799650936e-08
MCF10A,Flavopiridol,0.001,$k_{G2}$,0.15601602779003879,4.3023461799650936e-08
MCF10A,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.2515792968657991,4.3023461799650936e-08
MCF10A,Flavopiridol,0.001,$k_{\phi}$,3.515900527957609,4.3023461799650936e-08
MCF10A,Flavopiridol,0.001,$k_{S}$,0.09293339101440433,2.9948544057340665e-07
MCF10A,Flavopiridol,0.001,$k_{G2}$,0.19604380154149526,2.9948544057340665e-07
MCF10A,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.2393436481049918,2.9948544057340665e-07
MCF10A,Flavopiridol,0.001,$k_{\phi}$,44.27741835245516,2.9948544057340665e-07
MCF10A,Flavopiridol,0.0001,$k_{S}$,0.09591036560492297,175.17301214844312
MCF10A,Flavopiridol,0.0001,$k_{G2}$,0.18569292042739072,175.17301214844312
MCF10A,Flavopiridol,0.0001,$k_{M}$$k_{G1}$,0.2584815230237466,175.17301214844312
MCF10A,Flavopiridol,0.0001,$k_{\phi}$,2.766939121677518,175.17301214844312
MCF10A,Flavopiridol,0.0001,$k_{S}$,0.0972933535888607,1.8613712834095703e-07
MCF10A,Flavopiridol,0.0001,$k_{G2}$,0.17760306647731589,1.8613712834095703e-07
MCF10A,Flavopiridol,0.0001,$k_{M}$$k_{G1}$,0.26259203335803477,1.8613712834095703e-07
MCF10A,Flavopiridol,0.0001,$k_{\phi}$,3.7369356613553237,1.8613712834095703e-07
MCF10A,Flavopiridol,0.0001,$k_{S}$,0.09130425270293356,0.1100380163197353
MCF10A,Flavopiridol,0.0001,$k_{G2}$,0.2069027087767577,0.1100380163197353
MCF10A,Flavopiridol,0.0001,$k_{M}$$k_{G1}$,0.2819521936462406,0.1100380163197353
MCF10A,Flavopiridol,0.0001,$k_{\phi}$,2.830814117329351,0.1100380163197353
MCF10A,Flavopiridol,0.01,$k_{S}$,0.10614351501678118,5.404964709747802e-08
MCF10A,Flavopiridol,0.01,$k_{G2}$,0.1465712873451991,5.404964709747802e-08
MCF10A,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.23434803453398506,5.404964709747802e-08
