cell_line,agent,concentration,parameter,rate,obj_func
MCF10A,LEE011_Ribociclib,10.0,$k_{S}$,0.042755125934455,6.763305331822338e-05
MCF10A,LEE011_Ribociclib,10.0,$k_{G2}$,0.18444331340255807,6.763305331822338e-05
MCF10A,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.19025623615913317,6.763305331822338e-05
MCF10A,LEE011_Ribociclib,10.0,$k_{\phi}$,2.229755260707501,6.763305331822338e-05
MCF10A,LEE011_Ribociclib,10.0,$k_{S}$,0.03835835108585523,1.914192754963679e-09
MCF10A,LEE011_Ribociclib,10.0,$k_{G2}$,0.1719923204367053,1.914192754963679e-09
MCF10A,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.1740789995541386,1.914192754963679e-09
MCF10A,LEE011_Ribociclib,10.0,$k_{\phi}$,2.1709202678159762,1.914192754963679e-09
MCF10A,LEE011_Ribociclib,10.0,$k_{S}$,0.04414330004271681,0.0019328187325735394
MCF10A,LEE011_Ribociclib,10.0,$k_{G2}$,0.16115555821156516,0.0019328187325735394
MCF10A,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.1843747381686284,0.0019328187325735394
MCF10A,LEE011_Ribociclib,10.0,$k_{\phi}$,1.5537244895013016,0.0019328187325735394
MCF10A,LEE011_Ribociclib,1.0,$k_{S}$,0.073926378681747,2.690371201377719e-08
MCF10A,LEE011_Ribociclib,1.0,$k_{G2}$,0.1757438667052105,2.690371201377719e-08
MCF10A,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.23389323651650282,2.690371201377719e-08
MCF10A,LEE011_Ribociclib,1.0,$k_{\phi}$,2.8150277271691575,2.690371201377719e-08
MCF10A,LEE011_Ribociclib,1.0,$k_{S}$,0.07081675726091871,4.687375300253607
MCF10A,LEE011_Ribociclib,1.0,$k_{G2}$,0.1730058940431302,4.687375300253607
MCF10A,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.2394926352859632,4.687375300253607
MCF10A,LEE011_Ribociclib,1.0,$k_{\phi}$,100.0,4.687375300253607
MCF10A,LEE011_Ribociclib,1.0,$k_{S}$,0.07639656937247946,4.957206484348106
MCF10A,LEE011_Ribociclib,1.0,$k_{G2}$,0.15965705332425226,4.957206484348106
MCF10A,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.22962980822668289,4.957206484348106
MCF10A,LEE011_Ribociclib,1.0,$k_{\phi}$,2.978824356885774,4.957206484348106
MCF10A,LEE011_Ribociclib,3.162278,$k_{S}$,0.07191650213802178,3.756808713483695e-08
MCF10A,LEE011_Ribociclib,3.162278,$k_{G2}$,0.16025424863163462,3.756808713483695e-08
MCF10A,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.22368074283678555,3.756808713483695e-08
MCF10A,LEE011_Ribociclib,3.162278,$k_{\phi}$,2.376310544510803,3.756808713483695e-08
MCF10A,LEE011_Ribociclib,3.162278,$k_{S}$,0.06664937343401887,1.872076751777424e-08
MCF10A,LEE011_Ribociclib,3.162278,$k_{G2}$,0.16327560995372475,1.872076751777424e-08
MCF10A,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.2261277811991423,1.872076751777424e-08
MCF10A,LEE011_Ribociclib,3.162278,$k_{\phi}$,3.693234001916298,1.872076751777424e-08
MCF10A,LEE011_Ribociclib,3.162278,$k_{S}$,0.06897070931795266,3.0996380948156224e-08
MCF10A,LEE011_Ribociclib,3.162278,$k_{G2}$,0.15625780904246847,3.0996380948156224e-08
MCF10A,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.23806872245590238,3.0996380948156224e-08
MCF10A,LEE011_Ribociclib,3.162278,$k_{\phi}$,2.3673718635957255,3.0996380948156224e-08
MCF10A,LEE011_Ribociclib,0.1,$k_{S}$,0.08134984313574328,8.119858265349287e-08
MCF10A,LEE011_Ribociclib,0.1,$k_{G2}$,0.18173037396480934,8.119858265349287e-08
MCF10A,LEE011_Ribociclib,0.1,$k_{M}$$k_{G1}$,0.2272678240201553,8.119858265349287e-08
MCF10A,LEE011_Ribociclib,0.1,$k_{\phi}$,2.5928430509895297,8.119858265349287e-08
MCF10A,LEE011_Ribociclib,0.1,$k_{S}$,0.08335969663484012,6.174637367785919e-08
MCF10A,LEE011_Ribociclib,0.1,$k_{G2}$,0.15774113571391274,6.174637367785919e-08
MCF10A,LEE011_Ribociclib,0.1,$k_{M}$$k_{G1}$,0.23557878547544356,6.174637367785919e-08
MCF10A,LEE011_Ribociclib,0.1,$k_{\phi}$,2.8274828058035895,6.174637367785919e-08
MCF10A,LEE011_Ribociclib,0.1,$k_{S}$,0.08054985809409612,91.89147476304396
MCF10A,LEE011_Ribociclib,0.1,$k_{G2}$,0.18100271286140604,91.89147476304396
MCF10A,LEE011_Ribociclib,0.1,$k_{M}$$k_{G1}$,0.2634393393407899,91.89147476304396
MCF10A,LEE011_Ribociclib,0.1,$k_{\phi}$,2.5265528312222862,91.89147476304396
MCF10A,LEE011_Ribociclib,0.316228,$k_{S}$,0.08246366914888317,3.760794923200037e-08
MCF10A,LEE011_Ribociclib,0.316228,$k_{G2}$,0.1724932647842098,3.760794923200037e-08
MCF10A,LEE011_Ribociclib,0.316228,$k_{M}$$k_{G1}$,0.22753052469780133,3.760794923200037e-08
MCF10A,LEE011_Ribociclib,0.316228,$k_{\phi}$,2.671502022961359,3.760794923200037e-08
MCF10A,LEE011_Ribociclib,0.316228,$k_{S}$,0.07789514472286459,4.163746593815476e-08
MCF10A,LEE011_Ribociclib,0.316228,$k_{G2}$,0.15688373252378388,4.163746593815476e-08
MCF10A,LEE011_Ribociclib,0.316228,$k_{M}$$k_{G1}$,0.23463707314004276,4.163746593815476e-08
MCF10A,LEE011_Ribociclib,0.316228,$k_{\phi}$,66.27642536789958,4.163746593815476e-08
MCF10A,LEE011_Ribociclib,0.316228,$k_{S}$,0.07729856719336448,149.4793830917635
MCF10A,LEE011_Ribociclib,0.316228,$k_{G2}$,0.1620318611812809,149.4793830917635
MCF10A,LEE011_Ribociclib,0.316228,$k_{M}$$k_{G1}$,0.22747005419918068,149.4793830917635
MCF10A,LEE011_Ribociclib,0.316228,$k_{\phi}$,2.096885273929423,149.4793830917635
MCF10A,LEE011_Ribociclib,0.003162,$k_{S}$,0.08730339977157943,332.4314511554494
MCF10A,LEE011_Ribociclib,0.003162,$k_{G2}$,0.2039449124853077,332.4314511554494
MCF10A,LEE011_Ribociclib,0.003162,$k_{M}$$k_{G1}$,0.23840035663542852,332.4314511554494
MCF10A,LEE011_Ribociclib,0.003162,$k_{\phi}$,2.264139051898086,332.4314511554494
MCF10A,LEE011_Ribociclib,0.003162,$k_{S}$,0.08840577475216259,1.2101251872364902e-07
MCF10A,LEE011_Ribociclib,0.003162,$k_{G2}$,0.17571945232062378,1.2101251872364902e-07
MCF10A,LEE011_Ribociclib,0.003162,$k_{M}$$k_{G1}$,0.24396310194719795,1.2101251872364902e-07
MCF10A,LEE011_Ribociclib,0.003162,$k_{\phi}$,3.350752857334989,1.2101251872364902e-07
MCF10A,LEE011_Ribociclib,0.003162,$k_{S}$,0.08719066024886443,11.664101316488187
MCF10A,LEE011_Ribociclib,0.003162,$k_{G2}$,0.20416092035810923,11.664101316488187
MCF10A,LEE011_Ribociclib,0.003162,$k_{M}$$k_{G1}$,0.244581647349388,11.664101316488187
MCF10A,LEE011_Ribociclib,0.003162,$k_{\phi}$,2.5966738524009134,11.664101316488187
MCF10A,LEE011_Ribociclib,0.01,$k_{S}$,0.07961420621336371,53.84293736564284
MCF10A,LEE011_Ribociclib,0.01,$k_{G2}$,0.19706861114579657,53.84293736564284
MCF10A,LEE011_Ribociclib,0.01,$k_{M}$$k_{G1}$,0.22902276112589792,53.84293736564284
MCF10A,LEE011_Ribociclib,0.01,$k_{\phi}$,100.0,53.84293736564284
MCF10A,LEE011_Ribociclib,0.01,$k_{S}$,0.08286887076298725,6.605457756323136e-08
MCF10A,LEE011_Ribociclib,0.01,$k_{G2}$,0.1751398175451309,6.605457756323136e-08
MCF10A,LEE011_Ribociclib,0.01,$k_{M}$$k_{G1}$,0.24878143389022528,6.605457756323136e-08
