cell_line,agent,concentration,parameter,rate,obj_func
MCF10A,SY-1365,1e-05,$k_{S}$,0.09036430324098971,62.82173007761126
MCF10A,SY-1365,1e-05,$k_{G2}$,0.20389166212574622,62.82173007761126
MCF10A,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.2500501034964994,62.82173007761126
MCF10A,SY-1365,1e-05,$k_{\phi}$,3.484831467657429,62.82173007761126
MCF10A,SY-1365,1e-05,$k_{S}$,0.09595838680856643,0.005574069645686597
MCF10A,SY-1365,1e-05,$k_{G2}$,0.18203195101162445,0.005574069645686597
MCF10A,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.2721867937170426,0.005574069645686597
MCF10A,SY-1365,1e-05,$k_{\phi}$,3.4568509182254674,0.005574069645686597
MCF10A,SY-1365,1e-05,$k_{S}$,0.09442628156139958,8.338498571407445e-08
MCF10A,SY-1365,1e-05,$k_{G2}$,0.17098695859349405,8.338498571407445e-08
MCF10A,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.2576529518946153,8.338498571407445e-08
MCF10A,SY-1365,1e-05,$k_{\phi}$,2.7419120039118514,8.338498571407445e-08
MCF10A,SY-1365,0.031623,$k_{S}$,0.00560144908210486,65732.18589762395
MCF10A,SY-1365,0.031623,$k_{G2}$,0.013798800692046536,65732.18589762395
MCF10A,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.010312065529626551,65732.18589762395
MCF10A,SY-1365,0.031623,$k_{\phi}$,1e-07,65732.18589762395
MCF10A,SY-1365,0.031623,$k_{S}$,0.004580556611386268,60343.79852597148
MCF10A,SY-1365,0.031623,$k_{G2}$,0.011726267426793145,60343.79852597148
MCF10A,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.010026105187263424,60343.79852597148
MCF10A,SY-1365,0.031623,$k_{\phi}$,1e-07,60343.79852597148
MCF10A,SY-1365,0.031623,$k_{S}$,0.00659727536760993,78949.55657683744
MCF10A,SY-1365,0.031623,$k_{G2}$,0.012780541970443827,78949.55657683744
MCF10A,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.01073525668657495,78949.55657683744
MCF10A,SY-1365,0.031623,$k_{\phi}$,1e-07,78949.55657683744
MCF10A,SY-1365,0.000316,$k_{S}$,0.09302614232476555,1.5954088251160415e-07
MCF10A,SY-1365,0.000316,$k_{G2}$,0.17853779311342122,1.5954088251160415e-07
MCF10A,SY-1365,0.000316,$k_{M}$$k_{G1}$,0.225519505215234,1.5954088251160415e-07
MCF10A,SY-1365,0.000316,$k_{\phi}$,69.81169254312094,1.5954088251160415e-07
MCF10A,SY-1365,0.000316,$k_{S}$,0.09508902056267432,10.054361657163774
MCF10A,SY-1365,0.000316,$k_{G2}$,0.18965531521627654,10.054361657163774
MCF10A,SY-1365,0.000316,$k_{M}$$k_{G1}$,0.2565816640683467,10.054361657163774
MCF10A,SY-1365,0.000316,$k_{\phi}$,100.0,10.054361657163774
MCF10A,SY-1365,0.000316,$k_{S}$,0.09667886277679506,1.0338009879415869e-07
MCF10A,SY-1365,0.000316,$k_{G2}$,0.18966707874523916,1.0338009879415869e-07
MCF10A,SY-1365,0.000316,$k_{M}$$k_{G1}$,0.24985159779182148,1.0338009879415869e-07
MCF10A,SY-1365,0.000316,$k_{\phi}$,3.5322308058284753,1.0338009879415869e-07
MCF10A,SY-1365,0.001,$k_{S}$,0.020579654542328702,8.758293255549577e-11
