cell_line,agent,concentration,parameter,rate,obj_func
MCF10A,Torin2,0.1,$k_{S}$,0.0338539621282057,3.714873035258412e-10
MCF10A,Torin2,0.1,$k_{G2}$,0.10649697333044462,3.714873035258412e-10
MCF10A,Torin2,0.1,$k_{M}$$k_{G1}$,0.07542002963000136,3.714873035258412e-10
MCF10A,Torin2,0.1,$k_{\phi}$,1.6544118256305733,3.714873035258412e-10
MCF10A,Torin2,0.1,$k_{S}$,0.029399774841450777,2.483125746248059e-10
MCF10A,Torin2,0.1,$k_{G2}$,0.08830278098623241,2.483125746248059e-10
MCF10A,Torin2,0.1,$k_{M}$$k_{G1}$,0.06165420245022309,2.483125746248059e-10
MCF10A,Torin2,0.1,$k_{\phi}$,1.392285836251073,2.483125746248059e-10
MCF10A,Torin2,0.1,$k_{S}$,0.03090407882888671,3.2690540823193984e-10
MCF10A,Torin2,0.1,$k_{G2}$,0.08240182756669201,3.2690540823193984e-10
MCF10A,Torin2,0.1,$k_{M}$$k_{G1}$,0.07147312339437141,3.2690540823193984e-10
MCF10A,Torin2,0.1,$k_{\phi}$,3.6136968205105817,3.2690540823193984e-10
MCF10A,Torin2,0.1,$k_{S}$,0.02727798483914571,3.8663754372060227e-10
MCF10A,Torin2,0.1,$k_{G2}$,0.07207426108436228,3.8663754372060227e-10
MCF10A,Torin2,0.1,$k_{M}$$k_{G1}$,0.051520066560471214,3.8663754372060227e-10
MCF10A,Torin2,0.1,$k_{\phi}$,1.36268759870477,3.8663754372060227e-10
MCF10A,Torin2,0.1,$k_{S}$,0.02324291107614361,17.726930024940145
MCF10A,Torin2,0.1,$k_{G2}$,0.08293823276070648,17.726930024940145
MCF10A,Torin2,0.1,$k_{M}$$k_{G1}$,0.05401747339229287,17.726930024940145
MCF10A,Torin2,0.1,$k_{\phi}$,0.8442003595253272,17.726930024940145
MCF10A,Torin2,0.1,$k_{S}$,0.029813081880805774,174.5255668003173
MCF10A,Torin2,0.1,$k_{G2}$,0.07849554559607014,174.5255668003173
MCF10A,Torin2,0.1,$k_{M}$$k_{G1}$,0.05697090462645967,174.5255668003173
MCF10A,Torin2,0.1,$k_{\phi}$,2.052879731930457,174.5255668003173
