cell_line,agent,concentration,parameter,rate,obj_func
MCF10A,senexinb,0.031623,$k_{S}$,0.10291245063247625,1.049999278356303
MCF10A,senexinb,0.031623,$k_{G2}$,0.16556248647988892,1.049999278356303
MCF10A,senexinb,0.031623,$k_{M}$$k_{G1}$,0.2180755026074142,1.049999278356303
MCF10A,senexinb,0.031623,$k_{\phi}$,100.0,1.049999278356303
MCF10A,senexinb,0.031623,$k_{S}$,0.10209217022052024,1.1170682334927025e-07
MCF10A,senexinb,0.031623,$k_{G2}$,0.16456585914881705,1.1170682334927025e-07
MCF10A,senexinb,0.031623,$k_{M}$$k_{G1}$,0.2656320905819132,1.1170682334927025e-07
MCF10A,senexinb,0.031623,$k_{\phi}$,2.7666145831701874,1.1170682334927025e-07
MCF10A,senexinb,0.031623,$k_{S}$,0.10439369513812412,1.2470815036731935e-07
MCF10A,senexinb,0.031623,$k_{G2}$,0.16032690541159525,1.2470815036731935e-07
MCF10A,senexinb,0.031623,$k_{M}$$k_{G1}$,0.22564153095511064,1.2470815036731935e-07
MCF10A,senexinb,0.031623,$k_{\phi}$,86.64696230796388,1.2470815036731935e-07
MCF10A,senexinb,0.001,$k_{S}$,0.10475315704165811,2.399876335886515e-07
MCF10A,senexinb,0.001,$k_{G2}$,0.17446724308091432,2.399876335886515e-07
MCF10A,senexinb,0.001,$k_{M}$$k_{G1}$,0.2529271216431422,2.399876335886515e-07
MCF10A,senexinb,0.001,$k_{\phi}$,3.9814589577418498,2.399876335886515e-07
MCF10A,senexinb,0.001,$k_{S}$,0.10020354525678395,1.0410275480586643e-07
MCF10A,senexinb,0.001,$k_{G2}$,0.1568602958003524,1.0410275480586643e-07
MCF10A,senexinb,0.001,$k_{M}$$k_{G1}$,0.2600474445430351,1.0410275480586643e-07
MCF10A,senexinb,0.001,$k_{\phi}$,60.40882595405013,1.0410275480586643e-07
MCF10A,senexinb,0.001,$k_{S}$,0.10305976155369519,1.7237362534505192e-07
MCF10A,senexinb,0.001,$k_{G2}$,0.16192006910669768,1.7237362534505192e-07
MCF10A,senexinb,0.001,$k_{M}$$k_{G1}$,0.2718777986512727,1.7237362534505192e-07
MCF10A,senexinb,0.001,$k_{\phi}$,2.978246738784012,1.7237362534505192e-07
MCF10A,senexinb,0.01,$k_{S}$,0.10303989805632954,4.997742890905881e-08
