cell_line,agent,concentration,parameter,rate,obj_func
MCF12A,AZD5363,3.162278,$k_{S}$,0.1627504495878074,4.607550444032285e-10
MCF12A,AZD5363,3.162278,$k_{G2}$,0.08013144184636765,4.607550444032285e-10
MCF12A,AZD5363,3.162278,$k_{M}$$k_{G1}$,0.15319419178610622,4.607550444032285e-10
MCF12A,AZD5363,3.162278,$k_{\phi}$,2.42703072947328,4.607550444032285e-10
MCF12A,AZD5363,3.162278,$k_{S}$,0.15014140924444827,1445.3825075747616
MCF12A,AZD5363,3.162278,$k_{G2}$,0.07988007871928589,1445.3825075747616
MCF12A,AZD5363,3.162278,$k_{M}$$k_{G1}$,0.14798183904339357,1445.3825075747616
MCF12A,AZD5363,3.162278,$k_{\phi}$,1.956851468588583,1445.3825075747616
MCF12A,AZD5363,3.162278,$k_{S}$,0.16700570846927862,1.360620917505335e-09
MCF12A,AZD5363,3.162278,$k_{G2}$,0.08676061872004248,1.360620917505335e-09
MCF12A,AZD5363,3.162278,$k_{M}$$k_{G1}$,0.16299477613682628,1.360620917505335e-09
MCF12A,AZD5363,3.162278,$k_{\phi}$,2.5028477129124487,1.360620917505335e-09
MCF12A,AZD5363,1.0,$k_{S}$,0.17748334051405934,3.862644871872127e-06
MCF12A,AZD5363,1.0,$k_{G2}$,0.07681925560317986,3.862644871872127e-06
MCF12A,AZD5363,1.0,$k_{M}$$k_{G1}$,0.15386793074125418,3.862644871872127e-06
MCF12A,AZD5363,1.0,$k_{\phi}$,2.5431383226955,3.862644871872127e-06
MCF12A,AZD5363,1.0,$k_{S}$,0.12255579345376945,842.0644308221703
MCF12A,AZD5363,1.0,$k_{G2}$,0.08755604493591077,842.0644308221703
MCF12A,AZD5363,1.0,$k_{M}$$k_{G1}$,0.1648282519226701,842.0644308221703
MCF12A,AZD5363,1.0,$k_{\phi}$,2.327788843368966,842.0644308221703
MCF12A,AZD5363,1.0,$k_{S}$,0.165300420558791,9.452797350723949e-10
MCF12A,AZD5363,1.0,$k_{G2}$,0.08920485768006703,9.452797350723949e-10
MCF12A,AZD5363,1.0,$k_{M}$$k_{G1}$,0.17661661912569665,9.452797350723949e-10
MCF12A,AZD5363,1.0,$k_{\phi}$,1.5342700113421763,9.452797350723949e-10
MCF12A,AZD5363,0.003162,$k_{S}$,0.18396771404390225,3.0620688599814913e-09
MCF12A,AZD5363,0.003162,$k_{G2}$,0.09089162300779562,3.0620688599814913e-09
MCF12A,AZD5363,0.003162,$k_{M}$$k_{G1}$,0.1835422450069106,3.0620688599814913e-09
MCF12A,AZD5363,0.003162,$k_{\phi}$,2.534309660551401,3.0620688599814913e-09
MCF12A,AZD5363,0.003162,$k_{S}$,0.17308744665570722,529.8668557618424
MCF12A,AZD5363,0.003162,$k_{G2}$,0.08962805869924068,529.8668557618424
MCF12A,AZD5363,0.003162,$k_{M}$$k_{G1}$,0.14974038417665061,529.8668557618424
MCF12A,AZD5363,0.003162,$k_{\phi}$,1.6635254084344784,529.8668557618424
MCF12A,AZD5363,0.003162,$k_{S}$,0.2233565144335135,1.0889754275523258e-09
MCF12A,AZD5363,0.003162,$k_{G2}$,0.08957918325136963,1.0889754275523258e-09
MCF12A,AZD5363,0.003162,$k_{M}$$k_{G1}$,0.21077818631211498,1.0889754275523258e-09
MCF12A,AZD5363,0.003162,$k_{\phi}$,3.2859502064533235,1.0889754275523258e-09
MCF12A,AZD5363,10.0,$k_{S}$,0.10914896590660583,4.0903974134584136e-10
MCF12A,AZD5363,10.0,$k_{G2}$,0.06838033495333139,4.0903974134584136e-10
MCF12A,AZD5363,10.0,$k_{M}$$k_{G1}$,0.1514753815145499,4.0903974134584136e-10
MCF12A,AZD5363,10.0,$k_{\phi}$,3.2614011670094625,4.0903974134584136e-10
MCF12A,AZD5363,10.0,$k_{S}$,0.11012546001900002,1297.252321784112
MCF12A,AZD5363,10.0,$k_{G2}$,0.07016911659276973,1297.252321784112
MCF12A,AZD5363,10.0,$k_{M}$$k_{G1}$,0.14554076594611198,1297.252321784112
MCF12A,AZD5363,10.0,$k_{\phi}$,2.812387170535532,1297.252321784112
MCF12A,AZD5363,10.0,$k_{S}$,0.09862490467732085,5.396713730597029e-10
MCF12A,AZD5363,10.0,$k_{G2}$,0.06757541710160378,5.396713730597029e-10
MCF12A,AZD5363,10.0,$k_{M}$$k_{G1}$,0.19682484604904724,5.396713730597029e-10
MCF12A,AZD5363,10.0,$k_{\phi}$,5.648921548614352,5.396713730597029e-10
MCF12A,AZD5363,0.1,$k_{S}$,0.1615952801214363,1.2321048852073678e-09
MCF12A,AZD5363,0.1,$k_{G2}$,0.0863855639804733,1.2321048852073678e-09
MCF12A,AZD5363,0.1,$k_{M}$$k_{G1}$,0.16527789694757397,1.2321048852073678e-09
MCF12A,AZD5363,0.1,$k_{\phi}$,1.532110325984954,1.2321048852073678e-09
MCF12A,AZD5363,0.1,$k_{S}$,0.1598687284649974,676.9799352943209
MCF12A,AZD5363,0.1,$k_{G2}$,0.08622036021772815,676.9799352943209
MCF12A,AZD5363,0.1,$k_{M}$$k_{G1}$,0.16477671815734213,676.9799352943209
MCF12A,AZD5363,0.1,$k_{\phi}$,1.995169293147708,676.9799352943209
MCF12A,AZD5363,0.1,$k_{S}$,0.175756148231232,2.095136027793701e-09
MCF12A,AZD5363,0.1,$k_{G2}$,0.08066314192352997,2.095136027793701e-09
MCF12A,AZD5363,0.1,$k_{M}$$k_{G1}$,0.18497919317353173,2.095136027793701e-09
MCF12A,AZD5363,0.1,$k_{\phi}$,2.2285621960693076,2.095136027793701e-09
MCF12A,AZD5363,0.316228,$k_{S}$,0.16790037157994656,1.6246672607729553e-09
MCF12A,AZD5363,0.316228,$k_{G2}$,0.08448284131976055,1.6246672607729553e-09
MCF12A,AZD5363,0.316228,$k_{M}$$k_{G1}$,0.15666316259890323,1.6246672607729553e-09
MCF12A,AZD5363,0.316228,$k_{\phi}$,2.4325091555638085,1.6246672607729553e-09
MCF12A,AZD5363,0.316228,$k_{S}$,0.16738126442092888,169.4784956995205
MCF12A,AZD5363,0.316228,$k_{G2}$,0.07498209969206697,169.4784956995205
MCF12A,AZD5363,0.316228,$k_{M}$$k_{G1}$,0.14741102535761016,169.4784956995205
MCF12A,AZD5363,0.316228,$k_{\phi}$,54.96446080418763,169.4784956995205
MCF12A,AZD5363,0.316228,$k_{S}$,0.1749962521793002,529.8960830368875
MCF12A,AZD5363,0.316228,$k_{G2}$,0.08852548700587425,529.8960830368875
MCF12A,AZD5363,0.316228,$k_{M}$$k_{G1}$,0.18265644627005162,529.8960830368875
MCF12A,AZD5363,0.316228,$k_{\phi}$,1.7010715004551653,529.8960830368875
MCF12A,AZD5363,0.01,$k_{S}$,0.18426706278644162,2.2895562525647837e-09
MCF12A,AZD5363,0.01,$k_{G2}$,0.0961405693644274,2.2895562525647837e-09
MCF12A,AZD5363,0.01,$k_{M}$$k_{G1}$,0.1783026936853872,2.2895562525647837e-09
MCF12A,AZD5363,0.01,$k_{\phi}$,2.608881514376728,2.2895562525647837e-09
MCF12A,AZD5363,0.01,$k_{S}$,0.2088266871228235,625.9930152742191
MCF12A,AZD5363,0.01,$k_{G2}$,0.08835098225076521,625.9930152742191
MCF12A,AZD5363,0.01,$k_{M}$$k_{G1}$,0.18374061369308,625.9930152742191
MCF12A,AZD5363,0.01,$k_{\phi}$,1.6246075523545396,625.9930152742191
MCF12A,AZD5363,0.01,$k_{S}$,0.2074475064465238,3.95897072453257e-09
MCF12A,AZD5363,0.01,$k_{G2}$,0.08081698915080385,3.95897072453257e-09
