cell_line,agent,concentration,parameter,rate,obj_func
MCF12A,Abemaciclib_LY2835219,10.0,$k_{S}$,0.044071226123815845,4.064106770400587
MCF12A,Abemaciclib_LY2835219,10.0,$k_{G2}$,0.09106809106965277,4.064106770400587
MCF12A,Abemaciclib_LY2835219,10.0,$k_{M}$$k_{G1}$,0.06974316110922739,4.064106770400587
MCF12A,Abemaciclib_LY2835219,10.0,$k_{\phi}$,1.8320266541971424,4.064106770400587
MCF12A,Abemaciclib_LY2835219,10.0,$k_{S}$,0.03917359580743756,1157.0979287563698
MCF12A,Abemaciclib_LY2835219,10.0,$k_{G2}$,0.0991010610988128,1157.0979287563698
MCF12A,Abemaciclib_LY2835219,10.0,$k_{M}$$k_{G1}$,0.09008366418241183,1157.0979287563698
MCF12A,Abemaciclib_LY2835219,10.0,$k_{\phi}$,2.487475980229067,1157.0979287563698
MCF12A,Abemaciclib_LY2835219,10.0,$k_{S}$,0.038595820266555295,2.8234275530152835e-11
MCF12A,Abemaciclib_LY2835219,10.0,$k_{G2}$,0.08432848335984068,2.8234275530152835e-11
MCF12A,Abemaciclib_LY2835219,10.0,$k_{M}$$k_{G1}$,0.0676698831582126,2.8234275530152835e-11
MCF12A,Abemaciclib_LY2835219,10.0,$k_{\phi}$,1.5077891922340894,2.8234275530152835e-11
MCF12A,Abemaciclib_LY2835219,10.0,$k_{S}$,0.04354396985105391,361.6097455204246
MCF12A,Abemaciclib_LY2835219,10.0,$k_{G2}$,0.0886472830497432,361.6097455204246
MCF12A,Abemaciclib_LY2835219,10.0,$k_{M}$$k_{G1}$,0.07672116734299715,361.6097455204246
MCF12A,Abemaciclib_LY2835219,10.0,$k_{\phi}$,3.8962638883993557,361.6097455204246
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{S}$,0.07869386070109007,5.012598684239823e-10
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{G2}$,0.09655184947844282,5.012598684239823e-10
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{M}$$k_{G1}$,0.14390823435788444,5.012598684239823e-10
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{\phi}$,3.0486318002577772,5.012598684239823e-10
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{S}$,0.0666509589765605,361.64624040644713
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{G2}$,0.09612766203056582,361.64624040644713
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{M}$$k_{G1}$,0.12429587380893968,361.64624040644713
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{\phi}$,2.3498291634071693,361.64624040644713
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{S}$,0.07032688668231211,16.136025448899243
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{G2}$,0.09335483263046247,16.136025448899243
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{M}$$k_{G1}$,0.11674268026765312,16.136025448899243
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{\phi}$,2.8436086398439375,16.136025448899243
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{S}$,0.08356891395188985,0.00030813492351983016
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{G2}$,0.09382009767431967,0.00030813492351983016
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{M}$$k_{G1}$,0.1474802116481475,0.00030813492351983016
MCF12A,Abemaciclib_LY2835219,3.1623,$k_{\phi}$,2.259782938512305,0.00030813492351983016
MCF12A,Abemaciclib_LY2835219,1.0,$k_{S}$,0.09249151185625935,441.7562321886803
MCF12A,Abemaciclib_LY2835219,1.0,$k_{G2}$,0.08804486287372518,441.7562321886803
MCF12A,Abemaciclib_LY2835219,1.0,$k_{M}$$k_{G1}$,0.1714539972188755,441.7562321886803
MCF12A,Abemaciclib_LY2835219,1.0,$k_{\phi}$,22.260742561528943,441.7562321886803
MCF12A,Abemaciclib_LY2835219,1.0,$k_{S}$,0.0956938861463196,361.6763132969411
MCF12A,Abemaciclib_LY2835219,1.0,$k_{G2}$,0.08345954039423342,361.6763132969411
MCF12A,Abemaciclib_LY2835219,1.0,$k_{M}$$k_{G1}$,0.16479265966985857,361.6763132969411
MCF12A,Abemaciclib_LY2835219,1.0,$k_{\phi}$,4.076091616833528,361.6763132969411
MCF12A,Abemaciclib_LY2835219,1.0,$k_{S}$,0.11389162837300071,4.455125782923825e-10
MCF12A,Abemaciclib_LY2835219,1.0,$k_{G2}$,0.08742517292474693,4.455125782923825e-10
MCF12A,Abemaciclib_LY2835219,1.0,$k_{M}$$k_{G1}$,0.15471131041700242,4.455125782923825e-10
MCF12A,Abemaciclib_LY2835219,1.0,$k_{\phi}$,2.3150816559084952,4.455125782923825e-10
MCF12A,Abemaciclib_LY2835219,1.0,$k_{S}$,0.09841854511179098,9.1073473469663
MCF12A,Abemaciclib_LY2835219,1.0,$k_{G2}$,0.08915034502956189,9.1073473469663
MCF12A,Abemaciclib_LY2835219,1.0,$k_{M}$$k_{G1}$,0.15036095985232195,9.1073473469663
MCF12A,Abemaciclib_LY2835219,1.0,$k_{\phi}$,3.82709018799597,9.1073473469663
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{S}$,0.12977059628855828,1.3543186006455335e-09
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{G2}$,0.09023323919120971,1.3543186006455335e-09
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{M}$$k_{G1}$,0.16219063579106927,1.3543186006455335e-09
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{\phi}$,4.535204267313496,1.3543186006455335e-09
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{S}$,0.12700996477181153,121.39523743838379
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{G2}$,0.07523692670609353,121.39523743838379
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{M}$$k_{G1}$,0.16244034549519276,121.39523743838379
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{\phi}$,2.49909151943226,121.39523743838379
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{S}$,0.13568053788973625,0.00034888293088623584
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{G2}$,0.08984686050822407,0.00034888293088623584
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{M}$$k_{G1}$,0.16660764914830598,0.00034888293088623584
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{\phi}$,2.276482960918198,0.00034888293088623584
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{S}$,0.12418472887724198,3.7602082635602537e-10
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{G2}$,0.0948310079953831,3.7602082635602537e-10
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{M}$$k_{G1}$,0.184780448029218,3.7602082635602537e-10
MCF12A,Abemaciclib_LY2835219,0.31623,$k_{\phi}$,3.632571989003634,3.7602082635602537e-10
MCF12A,Abemaciclib_LY2835219,0.1,$k_{S}$,0.15704009851439626,8.422622805357164e-10
MCF12A,Abemaciclib_LY2835219,0.1,$k_{G2}$,0.08868651030336637,8.422622805357164e-10
MCF12A,Abemaciclib_LY2835219,0.1,$k_{M}$$k_{G1}$,0.1793211016223978,8.422622805357164e-10
MCF12A,Abemaciclib_LY2835219,0.1,$k_{\phi}$,2.5391041633429383,8.422622805357164e-10
MCF12A,Abemaciclib_LY2835219,0.1,$k_{S}$,0.14418121678378987,576.8990723961055
MCF12A,Abemaciclib_LY2835219,0.1,$k_{G2}$,0.08369113949596214,576.8990723961055
MCF12A,Abemaciclib_LY2835219,0.1,$k_{M}$$k_{G1}$,0.17463872858831767,576.8990723961055
MCF12A,Abemaciclib_LY2835219,0.1,$k_{\phi}$,2.8342101847546766,576.8990723961055
MCF12A,Abemaciclib_LY2835219,0.1,$k_{S}$,0.14073164120747825,1.0380584401316252e-09
MCF12A,Abemaciclib_LY2835219,0.1,$k_{G2}$,0.08548470552823911,1.0380584401316252e-09
MCF12A,Abemaciclib_LY2835219,0.1,$k_{M}$$k_{G1}$,0.17516852228018998,1.0380584401316252e-09
MCF12A,Abemaciclib_LY2835219,0.1,$k_{\phi}$,3.471714782498069,1.0380584401316252e-09
MCF12A,Abemaciclib_LY2835219,0.1,$k_{S}$,0.14585742761349424,1.4170651654911156e-09
MCF12A,Abemaciclib_LY2835219,0.1,$k_{G2}$,0.08015843802953455,1.4170651654911156e-09
MCF12A,Abemaciclib_LY2835219,0.1,$k_{M}$$k_{G1}$,0.17626565090649893,1.4170651654911156e-09
MCF12A,Abemaciclib_LY2835219,0.1,$k_{\phi}$,3.28856921017238,1.4170651654911156e-09
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{S}$,0.1546065919937098,3.3014786236886268e-09
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{G2}$,0.10276521494597401,3.3014786236886268e-09
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{M}$$k_{G1}$,0.1926410807208755,3.3014786236886268e-09
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{\phi}$,4.2437726841184285,3.3014786236886268e-09
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{S}$,0.18084755029953753,1601.5523897676762
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{G2}$,0.08462106330292346,1601.5523897676762
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{M}$$k_{G1}$,0.18231240828396367,1601.5523897676762
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{\phi}$,2.4899725096490126,1601.5523897676762
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{S}$,0.14449750451961701,196.52590049510354
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{G2}$,0.09520790846541582,196.52590049510354
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{M}$$k_{G1}$,0.14980251061941924,196.52590049510354
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{\phi}$,2.468715191907116,196.52590049510354
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{S}$,0.14610405048337777,3.986495209771456e-09
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{G2}$,0.09453267818762959,3.986495209771456e-09
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{M}$$k_{G1}$,0.17257728267179892,3.986495209771456e-09
MCF12A,Abemaciclib_LY2835219,0.031623,$k_{\phi}$,2.5925143200655474,3.986495209771456e-09
MCF12A,Abemaciclib_LY2835219,0.01,$k_{S}$,0.1746182823047248,144.47955525927355
MCF12A,Abemaciclib_LY2835219,0.01,$k_{G2}$,0.08639193876456398,144.47955525927355
MCF12A,Abemaciclib_LY2835219,0.01,$k_{M}$$k_{G1}$,0.21195502724546342,144.47955525927355
MCF12A,Abemaciclib_LY2835219,0.01,$k_{\phi}$,3.4736069021747373,144.47955525927355
MCF12A,Abemaciclib_LY2835219,0.01,$k_{S}$,0.18610907277853717,576.9393047845095
MCF12A,Abemaciclib_LY2835219,0.01,$k_{G2}$,0.09376324113618771,576.9393047845095
MCF12A,Abemaciclib_LY2835219,0.01,$k_{M}$$k_{G1}$,0.15991888518907815,576.9393047845095
MCF12A,Abemaciclib_LY2835219,0.01,$k_{\phi}$,2.7304507107183116,576.9393047845095
MCF12A,Abemaciclib_LY2835219,0.01,$k_{S}$,0.16375173280682676,1.4511260997851609e-09
MCF12A,Abemaciclib_LY2835219,0.01,$k_{G2}$,0.08746555229714253,1.4511260997851609e-09
