cell_line,agent,concentration,parameter,rate,obj_func
MCF12A,BSJ-01-175,1.0,$k_{S}$,0.17450855297399617,2.9798615035670073e-09
MCF12A,BSJ-01-175,1.0,$k_{G2}$,0.08909973031638894,2.9798615035670073e-09
MCF12A,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.19377818928979726,2.9798615035670073e-09
MCF12A,BSJ-01-175,1.0,$k_{\phi}$,2.0229771411455095,2.9798615035670073e-09
MCF12A,BSJ-01-175,1.0,$k_{S}$,0.14929029961948193,1.6179422033925915e-09
MCF12A,BSJ-01-175,1.0,$k_{G2}$,0.0896287930474841,1.6179422033925915e-09
MCF12A,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.18181041669119272,1.6179422033925915e-09
MCF12A,BSJ-01-175,1.0,$k_{\phi}$,2.277819719733598,1.6179422033925915e-09
MCF12A,BSJ-01-175,1.0,$k_{S}$,0.17717525126694517,6.343875161599741e-09
MCF12A,BSJ-01-175,1.0,$k_{G2}$,0.09856184251620405,6.343875161599741e-09
MCF12A,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.2238760821692318,6.343875161599741e-09
MCF12A,BSJ-01-175,1.0,$k_{\phi}$,2.770971278652018,6.343875161599741e-09
MCF12A,BSJ-01-175,0.031623,$k_{S}$,0.1739182035304395,1.2436269775939963e-09
MCF12A,BSJ-01-175,0.031623,$k_{G2}$,0.09345630077677705,1.2436269775939963e-09
MCF12A,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.17241043143115822,1.2436269775939963e-09
MCF12A,BSJ-01-175,0.031623,$k_{\phi}$,2.5676952996892823,1.2436269775939963e-09
MCF12A,BSJ-01-175,0.031623,$k_{S}$,0.18930772163039056,4.273960300922256e-09
MCF12A,BSJ-01-175,0.031623,$k_{G2}$,0.09960524247284992,4.273960300922256e-09
MCF12A,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.1698157879319031,4.273960300922256e-09
MCF12A,BSJ-01-175,0.031623,$k_{\phi}$,3.1317288617710424,4.273960300922256e-09
MCF12A,BSJ-01-175,0.031623,$k_{S}$,0.17420398897944986,2.1051998406379803e-09
MCF12A,BSJ-01-175,0.031623,$k_{G2}$,0.09945360922642257,2.1051998406379803e-09
MCF12A,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.17912989507811783,2.1051998406379803e-09
MCF12A,BSJ-01-175,0.031623,$k_{\phi}$,2.7839979318645423,2.1051998406379803e-09
MCF12A,BSJ-01-175,3.162278,$k_{S}$,0.14693893501899913,3.891593673695907e-07
MCF12A,BSJ-01-175,3.162278,$k_{G2}$,0.07800599762473175,3.891593673695907e-07
MCF12A,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.20954850117367552,3.891593673695907e-07
MCF12A,BSJ-01-175,3.162278,$k_{\phi}$,2.939880070108734,3.891593673695907e-07
MCF12A,BSJ-01-175,3.162278,$k_{S}$,0.09840355832502232,3.6993316023422094e-10
MCF12A,BSJ-01-175,3.162278,$k_{G2}$,0.09505519422153413,3.6993316023422094e-10
MCF12A,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.1335850733413651,3.6993316023422094e-10
MCF12A,BSJ-01-175,3.162278,$k_{\phi}$,1.41779613656447,3.6993316023422094e-10
MCF12A,BSJ-01-175,3.162278,$k_{S}$,0.07879908456971137,2.692185982071214e-10
MCF12A,BSJ-01-175,3.162278,$k_{G2}$,0.11506915287648593,2.692185982071214e-10
MCF12A,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.1086093034693634,2.692185982071214e-10
MCF12A,BSJ-01-175,3.162278,$k_{\phi}$,1.9502881852235041,2.692185982071214e-10
MCF12A,BSJ-01-175,0.01,$k_{S}$,0.20777987574093898,1.2755064998662068e-09
MCF12A,BSJ-01-175,0.01,$k_{G2}$,0.09139490843994355,1.2755064998662068e-09
MCF12A,BSJ-01-175,0.01,$k_{M}$$k_{G1}$,0.1818704937803133,1.2755064998662068e-09
MCF12A,BSJ-01-175,0.01,$k_{\phi}$,2.3457411897043587,1.2755064998662068e-09
MCF12A,BSJ-01-175,0.01,$k_{S}$,0.19312338173355098,64.31953330877657
MCF12A,BSJ-01-175,0.01,$k_{G2}$,0.0919583487882245,64.31953330877657
MCF12A,BSJ-01-175,0.01,$k_{M}$$k_{G1}$,0.1860485737909684,64.31953330877657
MCF12A,BSJ-01-175,0.01,$k_{\phi}$,1.7896718028843035,64.31953330877657
MCF12A,BSJ-01-175,0.01,$k_{S}$,0.17708795823602955,3.648331214188554e-09
MCF12A,BSJ-01-175,0.01,$k_{G2}$,0.10433044110449735,3.648331214188554e-09
MCF12A,BSJ-01-175,0.01,$k_{M}$$k_{G1}$,0.16748481441660587,3.648331214188554e-09
MCF12A,BSJ-01-175,0.01,$k_{\phi}$,2.3798582274545232,3.648331214188554e-09
MCF12A,BSJ-01-175,0.1,$k_{S}$,0.17045419472608025,3.175670380038078e-09
MCF12A,BSJ-01-175,0.1,$k_{G2}$,0.0935215169071075,3.175670380038078e-09
MCF12A,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.18747725146311564,3.175670380038078e-09
MCF12A,BSJ-01-175,0.1,$k_{\phi}$,2.9080916659504585,3.175670380038078e-09
MCF12A,BSJ-01-175,0.1,$k_{S}$,0.1662273084615531,4.07808661158632
MCF12A,BSJ-01-175,0.1,$k_{G2}$,0.09587972296777139,4.07808661158632
MCF12A,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.17177099267161516,4.07808661158632
MCF12A,BSJ-01-175,0.1,$k_{\phi}$,1.6520199782720764,4.07808661158632
MCF12A,BSJ-01-175,0.1,$k_{S}$,0.21294181175964277,3.609939065397896e-09
MCF12A,BSJ-01-175,0.1,$k_{G2}$,0.09018560583744531,3.609939065397896e-09
MCF12A,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.21076485161217196,3.609939065397896e-09
MCF12A,BSJ-01-175,0.1,$k_{\phi}$,3.4300085884650975,3.609939065397896e-09
MCF12A,BSJ-01-175,10.0,$k_{S}$,0.0048664268958238405,4488.644065945652
MCF12A,BSJ-01-175,10.0,$k_{G2}$,0.012907977250270363,4488.644065945652
MCF12A,BSJ-01-175,10.0,$k_{M}$$k_{G1}$,0.010812355293073995,4488.644065945652
MCF12A,BSJ-01-175,10.0,$k_{\phi}$,1e-07,4488.644065945652
MCF12A,BSJ-01-175,10.0,$k_{S}$,0.004734945580368678,5236.53589346706
MCF12A,BSJ-01-175,10.0,$k_{G2}$,0.014860577898088865,5236.53589346706
MCF12A,BSJ-01-175,10.0,$k_{M}$$k_{G1}$,0.009537485258707925,5236.53589346706
MCF12A,BSJ-01-175,10.0,$k_{\phi}$,1e-07,5236.53589346706
MCF12A,BSJ-01-175,10.0,$k_{S}$,0.0044441856546261205,4136.29858712703
MCF12A,BSJ-01-175,10.0,$k_{G2}$,0.012875609649572583,4136.29858712703
MCF12A,BSJ-01-175,10.0,$k_{M}$$k_{G1}$,0.011061159935051862,4136.29858712703
MCF12A,BSJ-01-175,10.0,$k_{\phi}$,1e-07,4136.29858712703
MCF12A,BSJ-01-175,0.316228,$k_{S}$,0.18017457728236227,5.193647190253018e-09
MCF12A,BSJ-01-175,0.316228,$k_{G2}$,0.0967322880358097,5.193647190253018e-09
MCF12A,BSJ-01-175,0.316228,$k_{M}$$k_{G1}$,0.20476966009578904,5.193647190253018e-09
MCF12A,BSJ-01-175,0.316228,$k_{\phi}$,2.9774261055869986,5.193647190253018e-09
MCF12A,BSJ-01-175,0.316228,$k_{S}$,0.17750980307984832,324.70409916170547
MCF12A,BSJ-01-175,0.316228,$k_{G2}$,0.09253469417139609,324.70409916170547
MCF12A,BSJ-01-175,0.316228,$k_{M}$$k_{G1}$,0.1738814714302244,324.70409916170547
MCF12A,BSJ-01-175,0.316228,$k_{\phi}$,1.9550206446359644,324.70409916170547
MCF12A,BSJ-01-175,0.316228,$k_{S}$,0.1908596092895735,3.7046380537120015e-09
MCF12A,BSJ-01-175,0.316228,$k_{G2}$,0.09441651788900521,3.7046380537120015e-09
MCF12A,BSJ-01-175,0.316228,$k_{M}$$k_{G1}$,0.19522807016491794,3.7046380537120015e-09
MCF12A,BSJ-01-175,0.316228,$k_{\phi}$,2.77015831699261,3.7046380537120015e-09
MCF12A,BSJ-01-175,0.001,$k_{S}$,0.22855263088666666,6.013177599337259e-09
MCF12A,BSJ-01-175,0.001,$k_{G2}$,0.0892924094128288,6.013177599337259e-09
MCF12A,BSJ-01-175,0.001,$k_{M}$$k_{G1}$,0.18775367222492573,6.013177599337259e-09
MCF12A,BSJ-01-175,0.001,$k_{\phi}$,2.442114436342898,6.013177599337259e-09
MCF12A,BSJ-01-175,0.001,$k_{S}$,0.17474081736192085,529.9011405733879
MCF12A,BSJ-01-175,0.001,$k_{G2}$,0.09639112363770849,529.9011405733879
MCF12A,BSJ-01-175,0.001,$k_{M}$$k_{G1}$,0.16346257159199493,529.9011405733879
MCF12A,BSJ-01-175,0.001,$k_{\phi}$,2.575823918748934,529.9011405733879
MCF12A,BSJ-01-175,0.001,$k_{S}$,0.20744843758302056,3.892599848600418e-09
MCF12A,BSJ-01-175,0.001,$k_{G2}$,0.09672145726447104,3.892599848600418e-09
MCF12A,BSJ-01-175,0.001,$k_{M}$$k_{G1}$,0.1835121878552192,3.892599848600418e-09
MCF12A,BSJ-01-175,0.001,$k_{\phi}$,2.3682480817139107,3.892599848600418e-09
MCF12A,BSJ-01-175,0.003162,$k_{S}$,0.17374004608805205,1.6762979308438857e-09
MCF12A,BSJ-01-175,0.003162,$k_{G2}$,0.09577325310859013,1.6762979308438857e-09
MCF12A,BSJ-01-175,0.003162,$k_{M}$$k_{G1}$,0.17338371869955152,1.6762979308438857e-09
MCF12A,BSJ-01-175,0.003162,$k_{\phi}$,3.5780616322912056,1.6762979308438857e-09
MCF12A,BSJ-01-175,0.003162,$k_{S}$,0.2166735151237513,4.078973358176616
MCF12A,BSJ-01-175,0.003162,$k_{G2}$,0.09207436523920007,4.078973358176616
MCF12A,BSJ-01-175,0.003162,$k_{M}$$k_{G1}$,0.15685454395720433,4.078973358176616
MCF12A,BSJ-01-175,0.003162,$k_{\phi}$,1.8276021553476212,4.078973358176616
MCF12A,BSJ-01-175,0.003162,$k_{S}$,0.18535617479156374,5.442869828271297e-09
MCF12A,BSJ-01-175,0.003162,$k_{G2}$,0.10017521923771787,5.442869828271297e-09
MCF12A,BSJ-01-175,0.003162,$k_{M}$$k_{G1}$,0.2056011588483289,5.442869828271297e-09
MCF12A,BSJ-01-175,0.003162,$k_{\phi}$,2.219754189461188,5.442869828271297e-09
