cell_line,agent,concentration,parameter,rate,obj_func
MCF12A,LY2606368,0.001,$k_{S}$,0.03968401311035671,1.0520691760527371e-11
MCF12A,LY2606368,0.001,$k_{G2}$,0.04319285463862933,1.0520691760527371e-11
MCF12A,LY2606368,0.001,$k_{M}$$k_{G1}$,0.018543074117657377,1.0520691760527371e-11
MCF12A,LY2606368,0.001,$k_{\phi}$,1.9947879443319005,1.0520691760527371e-11
MCF12A,LY2606368,0.001,$k_{S}$,0.03998752615505901,1.8730352919313176e-12
MCF12A,LY2606368,0.001,$k_{G2}$,0.03767982738685807,1.8730352919313176e-12
MCF12A,LY2606368,0.001,$k_{M}$$k_{G1}$,0.022732351339591218,1.8730352919313176e-12
MCF12A,LY2606368,0.001,$k_{\phi}$,0.22855988593177567,1.8730352919313176e-12
MCF12A,LY2606368,0.001,$k_{S}$,0.07911121519601867,2.0896237598213144e-11
MCF12A,LY2606368,0.001,$k_{G2}$,0.07139159936684908,2.0896237598213144e-11
MCF12A,LY2606368,0.001,$k_{M}$$k_{G1}$,0.05262933925376677,2.0896237598213144e-11
MCF12A,LY2606368,0.001,$k_{\phi}$,0.6256464134527313,2.0896237598213144e-11
MCF12A,LY2606368,3.2e-05,$k_{S}$,0.19774846375789262,2.7084772380843612e-09
MCF12A,LY2606368,3.2e-05,$k_{G2}$,0.083074370996578,2.7084772380843612e-09
MCF12A,LY2606368,3.2e-05,$k_{M}$$k_{G1}$,0.2010291080281201,2.7084772380843612e-09
MCF12A,LY2606368,3.2e-05,$k_{\phi}$,2.8042115683381788,2.7084772380843612e-09
MCF12A,LY2606368,3.2e-05,$k_{S}$,0.193748558064766,121.4140215167195
MCF12A,LY2606368,3.2e-05,$k_{G2}$,0.08520875275807809,121.4140215167195
MCF12A,LY2606368,3.2e-05,$k_{M}$$k_{G1}$,0.1429428059119004,121.4140215167195
MCF12A,LY2606368,3.2e-05,$k_{\phi}$,2.0583308250090786,121.4140215167195
MCF12A,LY2606368,3.2e-05,$k_{S}$,0.21244630540135376,7.146530211582887e-09
MCF12A,LY2606368,3.2e-05,$k_{G2}$,0.09287497970733467,7.146530211582887e-09
MCF12A,LY2606368,3.2e-05,$k_{M}$$k_{G1}$,0.19817757712687184,7.146530211582887e-09
MCF12A,LY2606368,3.2e-05,$k_{\phi}$,2.422321046289751,7.146530211582887e-09
MCF12A,LY2606368,1e-05,$k_{S}$,0.191540681609981,4.077095653922554
MCF12A,LY2606368,1e-05,$k_{G2}$,0.053578199024339995,4.077095653922554
MCF12A,LY2606368,1e-05,$k_{M}$$k_{G1}$,0.47987528507608446,4.077095653922554
MCF12A,LY2606368,1e-05,$k_{\phi}$,4.061180310727689,4.077095653922554
MCF12A,LY2606368,1e-05,$k_{S}$,0.20800361435638062,484.8663304058351
MCF12A,LY2606368,1e-05,$k_{G2}$,0.08597522015793013,484.8663304058351
MCF12A,LY2606368,1e-05,$k_{M}$$k_{G1}$,0.17567242228241567,484.8663304058351
MCF12A,LY2606368,1e-05,$k_{\phi}$,2.2488048650176156,484.8663304058351
MCF12A,LY2606368,1e-05,$k_{S}$,0.19502476394177073,0.0005247311811935112
MCF12A,LY2606368,1e-05,$k_{G2}$,0.09535782954262281,0.0005247311811935112
MCF12A,LY2606368,1e-05,$k_{M}$$k_{G1}$,0.19976971543321073,0.0005247311811935112
MCF12A,LY2606368,1e-05,$k_{\phi}$,2.4337722460079516,0.0005247311811935112
MCF12A,LY2606368,0.003162,$k_{S}$,0.02541964441843857,3.890456732686342e-12
MCF12A,LY2606368,0.003162,$k_{G2}$,0.05447523874620005,3.890456732686342e-12
MCF12A,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.02663031160756887,3.890456732686342e-12
MCF12A,LY2606368,0.003162,$k_{\phi}$,0.30309597231361235,3.890456732686342e-12
MCF12A,LY2606368,0.003162,$k_{S}$,0.01658430094566668,1.0657039268710126e-11
MCF12A,LY2606368,0.003162,$k_{G2}$,0.02601585031544233,1.0657039268710126e-11
MCF12A,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.012241692662900988,1.0657039268710126e-11
MCF12A,LY2606368,0.003162,$k_{\phi}$,0.08131653337745746,1.0657039268710126e-11
MCF12A,LY2606368,0.003162,$k_{S}$,0.019978705907876343,2.1554482569253295e-11
MCF12A,LY2606368,0.003162,$k_{G2}$,0.038075388630080205,2.1554482569253295e-11
MCF12A,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.014151585289390823,2.1554482569253295e-11
MCF12A,LY2606368,0.003162,$k_{\phi}$,0.6095135378261345,2.1554482569253295e-11
MCF12A,LY2606368,0.000316,$k_{S}$,0.23742656062765766,0.0011821839966787654
MCF12A,LY2606368,0.000316,$k_{G2}$,0.08713229250650492,0.0011821839966787654
MCF12A,LY2606368,0.000316,$k_{M}$$k_{G1}$,0.20962751500605878,0.0011821839966787654
MCF12A,LY2606368,0.000316,$k_{\phi}$,2.8062486260274224,0.0011821839966787654
MCF12A,LY2606368,0.000316,$k_{S}$,0.20021079132789107,0.0003831576240292686
MCF12A,LY2606368,0.000316,$k_{G2}$,0.08712136340807518,0.0003831576240292686
MCF12A,LY2606368,0.000316,$k_{M}$$k_{G1}$,0.17131764762262455,0.0003831576240292686
MCF12A,LY2606368,0.000316,$k_{\phi}$,2.2943767934977384,0.0003831576240292686
MCF12A,LY2606368,0.000316,$k_{S}$,0.20808651727844596,8.068461990333513e-09
MCF12A,LY2606368,0.000316,$k_{G2}$,0.10363181871177922,8.068461990333513e-09
MCF12A,LY2606368,0.000316,$k_{M}$$k_{G1}$,0.19997980819852554,8.068461990333513e-09
MCF12A,LY2606368,0.000316,$k_{\phi}$,2.964664073003986,8.068461990333513e-09
MCF12A,LY2606368,0.01,$k_{S}$,0.006743859524584945,0.8363403667820437
MCF12A,LY2606368,0.01,$k_{G2}$,0.023012169539798878,0.8363403667820437
MCF12A,LY2606368,0.01,$k_{M}$$k_{G1}$,1e-07,0.8363403667820437
MCF12A,LY2606368,0.01,$k_{\phi}$,0.00956212813656325,0.8363403667820437
MCF12A,LY2606368,0.01,$k_{S}$,0.007288979920723955,8.94816335020212e-12
MCF12A,LY2606368,0.01,$k_{G2}$,0.02434290255040463,8.94816335020212e-12
MCF12A,LY2606368,0.01,$k_{M}$$k_{G1}$,0.006954015305986607,8.94816335020212e-12
MCF12A,LY2606368,0.01,$k_{\phi}$,0.13137539545128105,8.94816335020212e-12
MCF12A,LY2606368,0.01,$k_{S}$,0.01026965380324633,215.3064872828083
MCF12A,LY2606368,0.01,$k_{G2}$,0.022671147033206385,215.3064872828083
MCF12A,LY2606368,0.01,$k_{M}$$k_{G1}$,0.001863566831171387,215.3064872828083
MCF12A,LY2606368,0.01,$k_{\phi}$,1e-07,215.3064872828083
MCF12A,LY2606368,0.031623,$k_{S}$,0.004336214084966722,0.5439359769450693
MCF12A,LY2606368,0.031623,$k_{G2}$,0.03438309939657195,0.5439359769450693
MCF12A,LY2606368,0.031623,$k_{M}$$k_{G1}$,1e-07,0.5439359769450693
MCF12A,LY2606368,0.031623,$k_{\phi}$,0.007032074673029162,0.5439359769450693
MCF12A,LY2606368,0.031623,$k_{S}$,0.003963827125791393,316.97607731813747
MCF12A,LY2606368,0.031623,$k_{G2}$,0.011447153300265666,316.97607731813747
MCF12A,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.0022261779300748034,316.97607731813747
MCF12A,LY2606368,0.031623,$k_{\phi}$,1e-07,316.97607731813747
MCF12A,LY2606368,0.031623,$k_{S}$,0.010054760612468731,1210.8969821699536
MCF12A,LY2606368,0.031623,$k_{G2}$,0.023302773132143555,1210.8969821699536
MCF12A,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.003003220560449413,1210.8969821699536
MCF12A,LY2606368,0.031623,$k_{\phi}$,1e-07,1210.8969821699536
MCF12A,LY2606368,0.0001,$k_{S}$,0.16896826544413077,4.009853118785276e-09
MCF12A,LY2606368,0.0001,$k_{G2}$,0.10426867080773664,4.009853118785276e-09
MCF12A,LY2606368,0.0001,$k_{M}$$k_{G1}$,0.1715869246140374,4.009853118785276e-09
MCF12A,LY2606368,0.0001,$k_{\phi}$,2.235661528827344,4.009853118785276e-09
MCF12A,LY2606368,0.0001,$k_{S}$,0.1939758581484067,1.0389485720562202
MCF12A,LY2606368,0.0001,$k_{G2}$,0.08558787227233845,1.0389485720562202
MCF12A,LY2606368,0.0001,$k_{M}$$k_{G1}$,0.16870697206390167,1.0389485720562202
MCF12A,LY2606368,0.0001,$k_{\phi}$,1.8461369072727274,1.0389485720562202
MCF12A,LY2606368,0.0001,$k_{S}$,0.22465351815955437,4.05703856946676e-09
MCF12A,LY2606368,0.0001,$k_{G2}$,0.09804049524769476,4.05703856946676e-09
MCF12A,LY2606368,0.0001,$k_{M}$$k_{G1}$,0.19919935658062907,4.05703856946676e-09
MCF12A,LY2606368,0.0001,$k_{\phi}$,3.182589615656215,4.05703856946676e-09
MCF12A,LY2606368,0.1,$k_{S}$,0.00103371358201539,228.63054313226093
MCF12A,LY2606368,0.1,$k_{G2}$,0.020481340603401788,228.63054313226093
MCF12A,LY2606368,0.1,$k_{M}$$k_{G1}$,0.0025582921367175953,228.63054313226093
MCF12A,LY2606368,0.1,$k_{\phi}$,1e-07,228.63054313226093
MCF12A,LY2606368,0.1,$k_{S}$,0.0037164534278801556,3016.489522358049
MCF12A,LY2606368,0.1,$k_{G2}$,0.013918245225839017,3016.489522358049
MCF12A,LY2606368,0.1,$k_{M}$$k_{G1}$,0.0076220073155336765,3016.489522358049
MCF12A,LY2606368,0.1,$k_{\phi}$,1e-07,3016.489522358049
MCF12A,LY2606368,0.1,$k_{S}$,0.00012994048279791115,49.99460653370748
MCF12A,LY2606368,0.1,$k_{G2}$,0.013038021540749813,49.99460653370748
MCF12A,LY2606368,0.1,$k_{M}$$k_{G1}$,0.0026696835019440835,49.99460653370748
MCF12A,LY2606368,0.1,$k_{\phi}$,1e-07,49.99460653370748
