cell_line,agent,concentration,parameter,rate,obj_func
MCF12A,MFH-2-90,0.0001,$k_{S}$,0.18412077961562795,2.6510793312939334e-09
MCF12A,MFH-2-90,0.0001,$k_{G2}$,0.09985241919651754,2.6510793312939334e-09
MCF12A,MFH-2-90,0.0001,$k_{M}$$k_{G1}$,0.15861491837101566,2.6510793312939334e-09
MCF12A,MFH-2-90,0.0001,$k_{\phi}$,1.9404015589349761,2.6510793312939334e-09
MCF12A,MFH-2-90,0.0001,$k_{S}$,0.1943634990167667,361.74866649591763
MCF12A,MFH-2-90,0.0001,$k_{G2}$,0.08343952598012572,361.74866649591763
MCF12A,MFH-2-90,0.0001,$k_{M}$$k_{G1}$,0.1896850734269359,361.74866649591763
MCF12A,MFH-2-90,0.0001,$k_{\phi}$,3.0067138317270734,361.74866649591763
MCF12A,MFH-2-90,0.0001,$k_{S}$,0.22868873582531957,1.4831639711305437e-09
MCF12A,MFH-2-90,0.0001,$k_{G2}$,0.09204487447533306,1.4831639711305437e-09
MCF12A,MFH-2-90,0.0001,$k_{M}$$k_{G1}$,0.18170487338045493,1.4831639711305437e-09
MCF12A,MFH-2-90,0.0001,$k_{\phi}$,2.790662068044591,1.4831639711305437e-09
MCF12A,MFH-2-90,0.003162,$k_{S}$,0.01049375688435796,1472.690759255491
MCF12A,MFH-2-90,0.003162,$k_{G2}$,0.030441097316274566,1472.690759255491
MCF12A,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,0.0026401801743233637,1472.690759255491
MCF12A,MFH-2-90,0.003162,$k_{\phi}$,1e-07,1472.690759255491
MCF12A,MFH-2-90,0.003162,$k_{S}$,0.007518056327840408,1119.3241310614433
MCF12A,MFH-2-90,0.003162,$k_{G2}$,0.030831217957352733,1119.3241310614433
MCF12A,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,0.0017314393553757024,1119.3241310614433
MCF12A,MFH-2-90,0.003162,$k_{\phi}$,1e-07,1119.3241310614433
MCF12A,MFH-2-90,0.003162,$k_{S}$,0.015450652285158292,0.05175901418297602
MCF12A,MFH-2-90,0.003162,$k_{G2}$,0.28820164334652437,0.05175901418297602
MCF12A,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,1e-07,0.05175901418297602
MCF12A,MFH-2-90,0.003162,$k_{\phi}$,0.00932884301747471,0.05175901418297602
MCF12A,MFH-2-90,1e-05,$k_{S}$,0.21287080322442414,7.026782580201089e-08
MCF12A,MFH-2-90,1e-05,$k_{G2}$,0.09296082746146356,7.026782580201089e-08
MCF12A,MFH-2-90,1e-05,$k_{M}$$k_{G1}$,0.19163605863500713,7.026782580201089e-08
MCF12A,MFH-2-90,1e-05,$k_{\phi}$,2.143553571441215,7.026782580201089e-08
MCF12A,MFH-2-90,1e-05,$k_{S}$,0.18707158779435623,4.5724971159352896e-09
MCF12A,MFH-2-90,1e-05,$k_{G2}$,0.0906041510129729,4.5724971159352896e-09
MCF12A,MFH-2-90,1e-05,$k_{M}$$k_{G1}$,0.19389560833890104,4.5724971159352896e-09
MCF12A,MFH-2-90,1e-05,$k_{\phi}$,2.2233317004772886,4.5724971159352896e-09
MCF12A,MFH-2-90,1e-05,$k_{S}$,0.2109474360674501,1.8303180242379385e-09
MCF12A,MFH-2-90,1e-05,$k_{G2}$,0.09461735078865871,1.8303180242379385e-09
MCF12A,MFH-2-90,1e-05,$k_{M}$$k_{G1}$,0.2186308439487805,1.8303180242379385e-09
MCF12A,MFH-2-90,1e-05,$k_{\phi}$,2.6711290910936185,1.8303180242379385e-09
MCF12A,MFH-2-90,0.000316,$k_{S}$,0.19188892882028782,4.798054098775721e-10
MCF12A,MFH-2-90,0.000316,$k_{G2}$,0.09710378888256253,4.798054098775721e-10
MCF12A,MFH-2-90,0.000316,$k_{M}$$k_{G1}$,0.17579620191294548,4.798054098775721e-10
MCF12A,MFH-2-90,0.000316,$k_{\phi}$,1.6603891644496187,4.798054098775721e-10
MCF12A,MFH-2-90,0.000316,$k_{S}$,0.19209516916921937,785.085816452266
MCF12A,MFH-2-90,0.000316,$k_{G2}$,0.08718987849069004,785.085816452266
MCF12A,MFH-2-90,0.000316,$k_{M}$$k_{G1}$,0.16429721249825716,785.085816452266
MCF12A,MFH-2-90,0.000316,$k_{\phi}$,2.6604740673186216,785.085816452266
MCF12A,MFH-2-90,0.000316,$k_{S}$,0.20616042404736548,6.689190780033139e-09
MCF12A,MFH-2-90,0.000316,$k_{G2}$,0.09600654347089163,6.689190780033139e-09
MCF12A,MFH-2-90,0.000316,$k_{M}$$k_{G1}$,0.2038576450707237,6.689190780033139e-09
MCF12A,MFH-2-90,0.000316,$k_{\phi}$,3.1571339244857333,6.689190780033139e-09
MCF12A,MFH-2-90,3.2e-05,$k_{S}$,0.22561782205469247,4.599846123695044e-09
MCF12A,MFH-2-90,3.2e-05,$k_{G2}$,0.08493485380798031,4.599846123695044e-09
MCF12A,MFH-2-90,3.2e-05,$k_{M}$$k_{G1}$,0.1976736050183934,4.599846123695044e-09
MCF12A,MFH-2-90,3.2e-05,$k_{\phi}$,3.268051578672723,4.599846123695044e-09
MCF12A,MFH-2-90,3.2e-05,$k_{S}$,0.19224427168126906,36.23638001416634
MCF12A,MFH-2-90,3.2e-05,$k_{G2}$,0.08442291283249728,36.23638001416634
MCF12A,MFH-2-90,3.2e-05,$k_{M}$$k_{G1}$,0.18591263189340446,36.23638001416634
MCF12A,MFH-2-90,3.2e-05,$k_{\phi}$,3.0925886441868613,36.23638001416634
MCF12A,MFH-2-90,3.2e-05,$k_{S}$,0.1887201983805179,3.3857293711957176e-09
MCF12A,MFH-2-90,3.2e-05,$k_{G2}$,0.10256797505189702,3.3857293711957176e-09
MCF12A,MFH-2-90,3.2e-05,$k_{M}$$k_{G1}$,0.18941498042903052,3.3857293711957176e-09
MCF12A,MFH-2-90,3.2e-05,$k_{\phi}$,2.1595665086690934,3.3857293711957176e-09
MCF12A,MFH-2-90,0.001,$k_{S}$,0.10692511457934537,2.7988917296881385e-10
MCF12A,MFH-2-90,0.001,$k_{G2}$,0.0886456470928138,2.7988917296881385e-10
MCF12A,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.0993415661622867,2.7988917296881385e-10
MCF12A,MFH-2-90,0.001,$k_{\phi}$,2.5307782350432784,2.7988917296881385e-10
MCF12A,MFH-2-90,0.001,$k_{S}$,0.09276503523975177,2.4398638493029295e-10
MCF12A,MFH-2-90,0.001,$k_{G2}$,0.07624959547494989,2.4398638493029295e-10
MCF12A,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.12945597710293053,2.4398638493029295e-10
MCF12A,MFH-2-90,0.001,$k_{\phi}$,1.3934562883622157,2.4398638493029295e-10
