cell_line,agent,concentration,parameter,rate,obj_func
MCF12A,THZ531,1.0,$k_{S}$,0.008224596693199814,7.103127218613455e-12
MCF12A,THZ531,1.0,$k_{G2}$,0.06478705949241802,7.103127218613455e-12
MCF12A,THZ531,1.0,$k_{M}$$k_{G1}$,0.006515979618173406,7.103127218613455e-12
MCF12A,THZ531,1.0,$k_{\phi}$,0.13025431881861774,7.103127218613455e-12
MCF12A,THZ531,1.0,$k_{S}$,0.0035163759223586074,500.7868295715223
MCF12A,THZ531,1.0,$k_{G2}$,0.024944887869787824,500.7868295715223
MCF12A,THZ531,1.0,$k_{M}$$k_{G1}$,1e-07,500.7868295715223
MCF12A,THZ531,1.0,$k_{\phi}$,1e-07,500.7868295715223
MCF12A,THZ531,1.0,$k_{S}$,0.007684029641820516,4.6657718297674275
MCF12A,THZ531,1.0,$k_{G2}$,0.11604377636003536,4.6657718297674275
MCF12A,THZ531,1.0,$k_{M}$$k_{G1}$,1e-07,4.6657718297674275
MCF12A,THZ531,1.0,$k_{\phi}$,1e-07,4.6657718297674275
MCF12A,THZ531,0.001,$k_{S}$,0.21412683036274385,4.9207222338032955e-09
MCF12A,THZ531,0.001,$k_{G2}$,0.09797164819503255,4.9207222338032955e-09
MCF12A,THZ531,0.001,$k_{M}$$k_{G1}$,0.195721625850199,4.9207222338032955e-09
MCF12A,THZ531,0.001,$k_{\phi}$,1.998476164050611,4.9207222338032955e-09
MCF12A,THZ531,0.001,$k_{S}$,0.19550051657008116,4.080214608289058
MCF12A,THZ531,0.001,$k_{G2}$,0.0911738206311038,4.080214608289058
MCF12A,THZ531,0.001,$k_{M}$$k_{G1}$,0.18642613627713317,4.080214608289058
MCF12A,THZ531,0.001,$k_{\phi}$,1.786353135939319,4.080214608289058
MCF12A,THZ531,0.001,$k_{S}$,0.18740930223127192,3.694572319920034e-09
MCF12A,THZ531,0.001,$k_{G2}$,0.10174133167883452,3.694572319920034e-09
MCF12A,THZ531,0.001,$k_{M}$$k_{G1}$,0.17035754239349388,3.694572319920034e-09
MCF12A,THZ531,0.001,$k_{\phi}$,3.2495569030485107,3.694572319920034e-09
MCF12A,THZ531,0.1,$k_{S}$,0.17456972930170983,25.20489257670062
MCF12A,THZ531,0.1,$k_{G2}$,0.10554063416256519,25.20489257670062
MCF12A,THZ531,0.1,$k_{M}$$k_{G1}$,0.17924571683926824,25.20489257670062
MCF12A,THZ531,0.1,$k_{\phi}$,2.928276284653358,25.20489257670062
MCF12A,THZ531,0.1,$k_{S}$,0.15836678191180556,0.0003777429381002273
MCF12A,THZ531,0.1,$k_{G2}$,0.10014630713165944,0.0003777429381002273
MCF12A,THZ531,0.1,$k_{M}$$k_{G1}$,0.1659528804515509,0.0003777429381002273
MCF12A,THZ531,0.1,$k_{\phi}$,1.9296390152153964,0.0003777429381002273
MCF12A,THZ531,0.1,$k_{S}$,0.21636806438127532,6.908742031175569e-10
MCF12A,THZ531,0.1,$k_{G2}$,0.09633997912090635,6.908742031175569e-10
MCF12A,THZ531,0.1,$k_{M}$$k_{G1}$,0.19559385160548412,6.908742031175569e-10
MCF12A,THZ531,0.1,$k_{\phi}$,2.406571481022054,6.908742031175569e-10
MCF12A,THZ531,0.01,$k_{S}$,0.198338503700365,9.269487694266265e-09
MCF12A,THZ531,0.01,$k_{G2}$,0.09591128417964238,9.269487694266265e-09
MCF12A,THZ531,0.01,$k_{M}$$k_{G1}$,0.1983723426363061,9.269487694266265e-09
MCF12A,THZ531,0.01,$k_{\phi}$,2.1407429775403113,9.269487694266265e-09
MCF12A,THZ531,0.01,$k_{S}$,0.1957201082454283,289.69489313261886
MCF12A,THZ531,0.01,$k_{G2}$,0.0913215576456688,289.69489313261886
MCF12A,THZ531,0.01,$k_{M}$$k_{G1}$,0.19927051552860248,289.69489313261886
MCF12A,THZ531,0.01,$k_{\phi}$,3.26013698549238,289.69489313261886
MCF12A,THZ531,0.01,$k_{S}$,0.1792109124792588,4.445902195355962e-09
MCF12A,THZ531,0.01,$k_{G2}$,0.10645386245843451,4.445902195355962e-09
MCF12A,THZ531,0.01,$k_{M}$$k_{G1}$,0.1940425265281403,4.445902195355962e-09
MCF12A,THZ531,0.01,$k_{\phi}$,2.6513673254968975,4.445902195355962e-09
MCF12A,THZ531,0.031623,$k_{S}$,0.20240612058269924,7.211983845070866e-09
MCF12A,THZ531,0.031623,$k_{G2}$,0.09723273567240394,7.211983845070866e-09
MCF12A,THZ531,0.031623,$k_{M}$$k_{G1}$,0.1846608091331996,7.211983845070866e-09
