cell_line,agent,concentration,parameter,rate,obj_func
MCF7,AZD1775,0.1,$k_{S}$,0.028539449905904894,5.848974835990544e-10
MCF7,AZD1775,0.1,$k_{G2}$,0.0850439048025728,5.848974835990544e-10
MCF7,AZD1775,0.1,$k_{M}$$k_{G1}$,0.017346495517670743,5.848974835990544e-10
MCF7,AZD1775,0.1,$k_{\phi}$,0.24055696829935813,5.848974835990544e-10
MCF7,AZD1775,0.1,$k_{S}$,0.0319107776273854,4.997795456696189e-10
MCF7,AZD1775,0.1,$k_{G2}$,0.12714677122309437,4.997795456696189e-10
MCF7,AZD1775,0.1,$k_{M}$$k_{G1}$,0.018021384460299477,4.997795456696189e-10
MCF7,AZD1775,0.1,$k_{\phi}$,0.07890870137994152,4.997795456696189e-10
MCF7,AZD1775,0.1,$k_{S}$,0.02831300391823361,4.3427233641976474e-10
MCF7,AZD1775,0.1,$k_{G2}$,0.09573642133028835,4.3427233641976474e-10
MCF7,AZD1775,0.1,$k_{M}$$k_{G1}$,0.015170803940321154,4.3427233641976474e-10
MCF7,AZD1775,0.1,$k_{\phi}$,0.17351429615380132,4.3427233641976474e-10
MCF7,AZD1775,0.001,$k_{S}$,0.03450355128108441,1.1478696177387257e-09
MCF7,AZD1775,0.001,$k_{G2}$,0.05843470108253296,1.1478696177387257e-09
MCF7,AZD1775,0.001,$k_{M}$$k_{G1}$,0.06895902162716105,1.1478696177387257e-09
MCF7,AZD1775,0.001,$k_{\phi}$,0.5176148664624808,1.1478696177387257e-09
MCF7,AZD1775,0.001,$k_{S}$,0.04117940218093717,9.39454518188108e-10
MCF7,AZD1775,0.001,$k_{G2}$,0.07821432172118485,9.39454518188108e-10
MCF7,AZD1775,0.001,$k_{M}$$k_{G1}$,0.07473081788881862,9.39454518188108e-10
MCF7,AZD1775,0.001,$k_{\phi}$,0.3074621770460385,9.39454518188108e-10
MCF7,AZD1775,0.001,$k_{S}$,0.04172580492910903,1.3298316426411953e-10
MCF7,AZD1775,0.001,$k_{G2}$,0.0757535469425766,1.3298316426411953e-10
MCF7,AZD1775,0.001,$k_{M}$$k_{G1}$,0.07140366740451956,1.3298316426411953e-10
MCF7,AZD1775,0.001,$k_{\phi}$,0.7406215005178453,1.3298316426411953e-10
MCF7,AZD1775,0.003162,$k_{S}$,0.037461888432035316,5.197767699432563e-10
MCF7,AZD1775,0.003162,$k_{G2}$,0.08172123214239688,5.197767699432563e-10
MCF7,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.04847119973925902,5.197767699432563e-10
