cell_line,agent,concentration,parameter,rate,obj_func
MCF7,BMS-265246,10.0,$k_{S}$,0.013888388841019672,27.92129485982719
MCF7,BMS-265246,10.0,$k_{G2}$,0.027080236615962937,27.92129485982719
MCF7,BMS-265246,10.0,$k_{M}$$k_{G1}$,1e-07,27.92129485982719
MCF7,BMS-265246,10.0,$k_{\phi}$,0.020991526938224002,27.92129485982719
MCF7,BMS-265246,10.0,$k_{S}$,0.009308046605509665,1.205075045624429e-10
MCF7,BMS-265246,10.0,$k_{G2}$,0.031506239270941656,1.205075045624429e-10
MCF7,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.0003224538664733754,1.205075045624429e-10
MCF7,BMS-265246,10.0,$k_{\phi}$,0.010465524297853883,1.205075045624429e-10
MCF7,BMS-265246,10.0,$k_{S}$,0.01796541478762705,2.7370229873945916e-10
MCF7,BMS-265246,10.0,$k_{G2}$,0.1172636583353249,2.7370229873945916e-10
MCF7,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.004243931151910984,2.7370229873945916e-10
MCF7,BMS-265246,10.0,$k_{\phi}$,0.06252226471573362,2.7370229873945916e-10
MCF7,BMS-265246,0.003162,$k_{S}$,0.03856805392450724,4.878672507530867e-10
MCF7,BMS-265246,0.003162,$k_{G2}$,0.06637545860972063,4.878672507530867e-10
MCF7,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.06789583581603643,4.878672507530867e-10
MCF7,BMS-265246,0.003162,$k_{\phi}$,0.23753650957384714,4.878672507530867e-10
MCF7,BMS-265246,0.003162,$k_{S}$,0.048787827007659254,3.695997581338487e-10
MCF7,BMS-265246,0.003162,$k_{G2}$,0.08288463289218294,3.695997581338487e-10
MCF7,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.08166499090598918,3.695997581338487e-10
MCF7,BMS-265246,0.003162,$k_{\phi}$,0.16065005598203638,3.695997581338487e-10
MCF7,BMS-265246,0.003162,$k_{S}$,0.03895029223621436,6.962513265197331e-10
MCF7,BMS-265246,0.003162,$k_{G2}$,0.07019387762721964,6.962513265197331e-10
