cell_line,agent,concentration,parameter,rate,obj_func
MCF7,CDK1_2iIII,0.1,$k_{S}$,0.03577650363689959,2.71891615579784e-10
MCF7,CDK1_2iIII,0.1,$k_{G2}$,0.09516711045815608,2.71891615579784e-10
MCF7,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.016546015676379564,2.71891615579784e-10
MCF7,CDK1_2iIII,0.1,$k_{\phi}$,0.1472961859935011,2.71891615579784e-10
MCF7,CDK1_2iIII,0.1,$k_{S}$,0.0358266282086198,3.854892158657759e-10
MCF7,CDK1_2iIII,0.1,$k_{G2}$,0.10942224944400271,3.854892158657759e-10
MCF7,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.0160673759808781,3.854892158657759e-10
MCF7,CDK1_2iIII,0.1,$k_{\phi}$,0.11775837354297966,3.854892158657759e-10
MCF7,CDK1_2iIII,0.1,$k_{S}$,0.03035481861409353,4.3941604932788556e-10
MCF7,CDK1_2iIII,0.1,$k_{G2}$,0.07956624091176852,4.3941604932788556e-10
MCF7,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.017795876121909006,4.3941604932788556e-10
MCF7,CDK1_2iIII,0.1,$k_{\phi}$,0.0712875227824478,4.3941604932788556e-10
MCF7,CDK1_2iIII,0.1,$k_{S}$,0.04405363122765205,2.805472816522674e-10
MCF7,CDK1_2iIII,0.1,$k_{G2}$,0.1240752593854612,2.805472816522674e-10
MCF7,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.021490643069771616,2.805472816522674e-10
MCF7,CDK1_2iIII,0.1,$k_{\phi}$,0.11168011260223863,2.805472816522674e-10
MCF7,CDK1_2iIII,0.1,$k_{S}$,0.03856211158421776,4.85689830461056e-10
MCF7,CDK1_2iIII,0.1,$k_{G2}$,0.10433548078858182,4.85689830461056e-10
MCF7,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.015800349486617075,4.85689830461056e-10
MCF7,CDK1_2iIII,0.1,$k_{\phi}$,0.14950471499913276,4.85689830461056e-10
MCF7,CDK1_2iIII,0.1,$k_{S}$,0.038181906927516315,8.27233091629042e-10
MCF7,CDK1_2iIII,0.1,$k_{G2}$,0.1262466164333115,8.27233091629042e-10
MCF7,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.017296682363406774,8.27233091629042e-10
MCF7,CDK1_2iIII,0.1,$k_{\phi}$,0.3107682865203398,8.27233091629042e-10
