cell_line,agent,concentration,parameter,rate,obj_func
MCF7,E17,0.031623,$k_{S}$,0.0006281405486074025,142525.57022264192
MCF7,E17,0.031623,$k_{G2}$,0.010892420825249325,142525.57022264192
MCF7,E17,0.031623,$k_{M}$$k_{G1}$,0.002881473963371297,142525.57022264192
MCF7,E17,0.031623,$k_{\phi}$,1e-07,142525.57022264192
MCF7,E17,0.031623,$k_{S}$,0.0022682743342086883,162062.23761868622
MCF7,E17,0.031623,$k_{G2}$,0.011381209241001384,162062.23761868622
MCF7,E17,0.031623,$k_{M}$$k_{G1}$,0.003720202695822086,162062.23761868622
MCF7,E17,0.031623,$k_{\phi}$,1e-07,162062.23761868622
MCF7,E17,0.031623,$k_{S}$,1e-07,111669.21877079486
MCF7,E17,0.031623,$k_{G2}$,0.010782596648137854,111669.21877079486
MCF7,E17,0.031623,$k_{M}$$k_{G1}$,0.0009064801738190578,111669.21877079486
MCF7,E17,0.031623,$k_{\phi}$,1e-07,111669.21877079486
MCF7,E17,0.001,$k_{S}$,0.0014686131054673112,36666.45048537567
MCF7,E17,0.001,$k_{G2}$,0.01603468697507373,36666.45048537567
MCF7,E17,0.001,$k_{M}$$k_{G1}$,0.00847186230462971,36666.45048537567
MCF7,E17,0.001,$k_{\phi}$,1e-07,36666.45048537567
MCF7,E17,0.001,$k_{S}$,0.0011442626528154422,30447.00000624439
MCF7,E17,0.001,$k_{G2}$,0.018938683151245205,30447.00000624439
MCF7,E17,0.001,$k_{M}$$k_{G1}$,0.005863065957413444,30447.00000624439
MCF7,E17,0.001,$k_{\phi}$,1e-07,30447.00000624439
MCF7,E17,0.001,$k_{S}$,0.0023498403720540956,68018.19227060938
MCF7,E17,0.001,$k_{G2}$,0.013024518831022678,68018.19227060938
MCF7,E17,0.001,$k_{M}$$k_{G1}$,0.011133683983543979,68018.19227060938
MCF7,E17,0.001,$k_{\phi}$,1e-07,68018.19227060938
MCF7,E17,0.316228,$k_{S}$,1e-07,140247.87168334326
MCF7,E17,0.316228,$k_{G2}$,0.009684280105005872,140247.87168334326
MCF7,E17,0.316228,$k_{M}$$k_{G1}$,0.001854835274064511,140247.87168334326
MCF7,E17,0.316228,$k_{\phi}$,1e-07,140247.87168334326
MCF7,E17,0.316228,$k_{S}$,0.0012099768078684071,150397.74699901717
MCF7,E17,0.316228,$k_{G2}$,0.010014986771382513,150397.74699901717
MCF7,E17,0.316228,$k_{M}$$k_{G1}$,0.0035132445978624874,150397.74699901717
MCF7,E17,0.316228,$k_{\phi}$,1e-07,150397.74699901717
MCF7,E17,0.316228,$k_{S}$,1e-07,36667.103097531726
MCF7,E17,0.316228,$k_{G2}$,0.01952960262574301,36667.103097531726
