cell_line,agent,concentration,parameter,rate,obj_func
MCF7,LY2606368,1.0,$k_{S}$,1e-07,15811.35783813002
MCF7,LY2606368,1.0,$k_{G2}$,0.011860669490172957,15811.35783813002
MCF7,LY2606368,1.0,$k_{M}$$k_{G1}$,0.002063438183630266,15811.35783813002
MCF7,LY2606368,1.0,$k_{\phi}$,0.006773139006471051,15811.35783813002
MCF7,LY2606368,1.0,$k_{S}$,0.01777783671694529,2.3072163207052818e-10
MCF7,LY2606368,1.0,$k_{G2}$,0.0993575585442589,2.3072163207052818e-10
MCF7,LY2606368,1.0,$k_{M}$$k_{G1}$,0.010076112769985986,2.3072163207052818e-10
MCF7,LY2606368,1.0,$k_{\phi}$,0.23954723389760935,2.3072163207052818e-10
MCF7,LY2606368,0.01,$k_{S}$,0.011427000137650498,3.0218371583958293e-10
MCF7,LY2606368,0.01,$k_{G2}$,0.08353211162730116,3.0218371583958293e-10
MCF7,LY2606368,0.01,$k_{M}$$k_{G1}$,0.005231614902425987,3.0218371583958293e-10
MCF7,LY2606368,0.01,$k_{\phi}$,0.04582169614071079,3.0218371583958293e-10
MCF7,LY2606368,0.01,$k_{S}$,0.014932929586580011,2.091161811412067e-10
MCF7,LY2606368,0.01,$k_{G2}$,0.09708245844284591,2.091161811412067e-10
MCF7,LY2606368,0.01,$k_{M}$$k_{G1}$,0.00984831860555513,2.091161811412067e-10
MCF7,LY2606368,0.01,$k_{\phi}$,0.050881926028576496,2.091161811412067e-10
MCF7,LY2606368,0.01,$k_{S}$,0.013060562949107589,5.064177618498262e-10
MCF7,LY2606368,0.01,$k_{G2}$,0.10187941629731037,5.064177618498262e-10
MCF7,LY2606368,0.01,$k_{M}$$k_{G1}$,0.0055801580508675185,5.064177618498262e-10
MCF7,LY2606368,0.01,$k_{\phi}$,0.14597578631500377,5.064177618498262e-10
MCF7,LY2606368,0.1,$k_{S}$,1e-07,21593.703286775948
MCF7,LY2606368,0.1,$k_{G2}$,0.010769519771743044,21593.703286775948
MCF7,LY2606368,0.1,$k_{M}$$k_{G1}$,1e-07,21593.703286775948
MCF7,LY2606368,0.1,$k_{\phi}$,0.0002905327713248736,21593.703286775948
MCF7,LY2606368,0.1,$k_{S}$,0.017449036242804822,4.383623720350743e-10
MCF7,LY2606368,0.1,$k_{G2}$,0.1183108730697683,4.383623720350743e-10
MCF7,LY2606368,0.1,$k_{M}$$k_{G1}$,0.009227914897427242,4.383623720350743e-10
MCF7,LY2606368,0.1,$k_{\phi}$,0.09427802760107777,4.383623720350743e-10
MCF7,LY2606368,0.1,$k_{S}$,0.022245864483599248,7.596819417295905e-10
MCF7,LY2606368,0.1,$k_{G2}$,0.1453040182584339,7.596819417295905e-10
MCF7,LY2606368,0.1,$k_{M}$$k_{G1}$,0.013376136026211218,7.596819417295905e-10
MCF7,LY2606368,0.1,$k_{\phi}$,0.2040263171385576,7.596819417295905e-10
MCF7,LY2606368,0.316228,$k_{S}$,0.020061385274159196,4.3717253503167944e-10
MCF7,LY2606368,0.316228,$k_{G2}$,0.16678724397247105,4.3717253503167944e-10
MCF7,LY2606368,0.316228,$k_{M}$$k_{G1}$,0.01118266167028358,4.3717253503167944e-10
MCF7,LY2606368,0.316228,$k_{\phi}$,0.18324307224128544,4.3717253503167944e-10
MCF7,LY2606368,0.316228,$k_{S}$,0.014713284211952784,6.799406493928679e-10
MCF7,LY2606368,0.316228,$k_{G2}$,0.09651286364491421,6.799406493928679e-10
MCF7,LY2606368,0.316228,$k_{M}$$k_{G1}$,0.007574699186349598,6.799406493928679e-10
MCF7,LY2606368,0.316228,$k_{\phi}$,0.09604683784444891,6.799406493928679e-10
MCF7,LY2606368,0.316228,$k_{S}$,0.022431612569196027,7.749283259924599e-10
MCF7,LY2606368,0.316228,$k_{G2}$,0.1367063587375527,7.749283259924599e-10
MCF7,LY2606368,0.316228,$k_{M}$$k_{G1}$,0.013013252207363721,7.749283259924599e-10
MCF7,LY2606368,0.316228,$k_{\phi}$,0.15736214841542243,7.749283259924599e-10
MCF7,LY2606368,0.001,$k_{S}$,0.0053525426535667745,2.540641127334721e-10
MCF7,LY2606368,0.001,$k_{G2}$,0.0390322483357206,2.540641127334721e-10
MCF7,LY2606368,0.001,$k_{M}$$k_{G1}$,0.005397122040914501,2.540641127334721e-10
MCF7,LY2606368,0.001,$k_{\phi}$,0.023843425606630615,2.540641127334721e-10
MCF7,LY2606368,0.001,$k_{S}$,0.0070299656243626605,1.0438070292375093e-10
MCF7,LY2606368,0.001,$k_{G2}$,0.06182238323601921,1.0438070292375093e-10
MCF7,LY2606368,0.001,$k_{M}$$k_{G1}$,0.002173449801686353,1.0438070292375093e-10
MCF7,LY2606368,0.001,$k_{\phi}$,0.01775115979891574,1.0438070292375093e-10
MCF7,LY2606368,0.001,$k_{S}$,0.006265089849231441,1.23139897174829e-10
MCF7,LY2606368,0.001,$k_{G2}$,0.04508911970953894,1.23139897174829e-10
MCF7,LY2606368,0.001,$k_{M}$$k_{G1}$,0.004480959765316528,1.23139897174829e-10
MCF7,LY2606368,0.001,$k_{\phi}$,0.057208092659701455,1.23139897174829e-10
MCF7,LY2606368,0.003162,$k_{S}$,0.01484108213597172,3.881626142323771e-10
MCF7,LY2606368,0.003162,$k_{G2}$,0.09901900580150438,3.881626142323771e-10
MCF7,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.007379507892467237,3.881626142323771e-10
MCF7,LY2606368,0.003162,$k_{\phi}$,0.050841520316109036,3.881626142323771e-10
MCF7,LY2606368,0.003162,$k_{S}$,0.02203166066206715,5.077719634297198e-10
MCF7,LY2606368,0.003162,$k_{G2}$,0.15481233591374652,5.077719634297198e-10
MCF7,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.011904160266874186,5.077719634297198e-10
MCF7,LY2606368,0.003162,$k_{\phi}$,0.06414476707678782,5.077719634297198e-10
MCF7,LY2606368,0.003162,$k_{S}$,0.023103151473266373,5.009408027117759e-10
MCF7,LY2606368,0.003162,$k_{G2}$,0.1473660441214791,5.009408027117759e-10
MCF7,LY2606368,0.003162,$k_{M}$$k_{G1}$,0.009850807996726314,5.009408027117759e-10
MCF7,LY2606368,0.003162,$k_{\phi}$,0.11379833763961693,5.009408027117759e-10
MCF7,LY2606368,10.0,$k_{S}$,0.016836722971622392,4.0443868320913555e-10
MCF7,LY2606368,10.0,$k_{G2}$,0.08741625450365546,4.0443868320913555e-10
MCF7,LY2606368,10.0,$k_{M}$$k_{G1}$,0.010751988494474663,4.0443868320913555e-10
MCF7,LY2606368,10.0,$k_{\phi}$,0.19271076864692518,4.0443868320913555e-10
MCF7,LY2606368,10.0,$k_{S}$,0.0006511888347924059,1.7648819292431599e-10
MCF7,LY2606368,10.0,$k_{G2}$,0.01748584620975285,1.7648819292431599e-10
MCF7,LY2606368,10.0,$k_{M}$$k_{G1}$,0.0077598692897638145,1.7648819292431599e-10
MCF7,LY2606368,10.0,$k_{\phi}$,0.036305903482404256,1.7648819292431599e-10
MCF7,LY2606368,10.0,$k_{S}$,0.004339293280816159,4.2797447761132007e-10
MCF7,LY2606368,10.0,$k_{G2}$,0.03031971272323593,4.2797447761132007e-10
MCF7,LY2606368,10.0,$k_{M}$$k_{G1}$,0.005455841127126248,4.2797447761132007e-10
MCF7,LY2606368,10.0,$k_{\phi}$,0.06745994764780802,4.2797447761132007e-10
MCF7,LY2606368,0.031623,$k_{S}$,0.013654914780533428,4.6554959737588964e-10
MCF7,LY2606368,0.031623,$k_{G2}$,0.10010080963446528,4.6554959737588964e-10
MCF7,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.007396885436799843,4.6554959737588964e-10
MCF7,LY2606368,0.031623,$k_{\phi}$,0.0964697244667891,4.6554959737588964e-10
MCF7,LY2606368,0.031623,$k_{S}$,0.026622413335383326,6.130218352130988e-10
MCF7,LY2606368,0.031623,$k_{G2}$,0.0608028786645202,6.130218352130988e-10
MCF7,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.013685478282542577,6.130218352130988e-10
MCF7,LY2606368,0.031623,$k_{\phi}$,0.2894873119232515,6.130218352130988e-10
MCF7,LY2606368,0.031623,$k_{S}$,0.02351071673434497,5.33413300329504e-10
MCF7,LY2606368,0.031623,$k_{G2}$,0.13878627663166615,5.33413300329504e-10
MCF7,LY2606368,0.031623,$k_{M}$$k_{G1}$,0.012105763660318593,5.33413300329504e-10
MCF7,LY2606368,0.031623,$k_{\phi}$,0.22241850175390834,5.33413300329504e-10
MCF7,LY2606368,3.162278,$k_{S}$,0.014532743554424708,7.432831618547699e-10
MCF7,LY2606368,3.162278,$k_{G2}$,0.09423214491020508,7.432831618547699e-10
MCF7,LY2606368,3.162278,$k_{M}$$k_{G1}$,0.008801628259600455,7.432831618547699e-10
MCF7,LY2606368,3.162278,$k_{\phi}$,0.15818764954434028,7.432831618547699e-10
MCF7,LY2606368,3.162278,$k_{S}$,1e-07,873.6577922545247
MCF7,LY2606368,3.162278,$k_{G2}$,0.018116236606286588,873.6577922545247
MCF7,LY2606368,3.162278,$k_{M}$$k_{G1}$,0.02365596058438843,873.6577922545247
MCF7,LY2606368,3.162278,$k_{\phi}$,0.028758537175649697,873.6577922545247
MCF7,LY2606368,3.162278,$k_{S}$,0.016894910350719324,6.812506106717678e-10
MCF7,LY2606368,3.162278,$k_{G2}$,0.13303812121076083,6.812506106717678e-10
MCF7,LY2606368,3.162278,$k_{M}$$k_{G1}$,0.009734523932242901,6.812506106717678e-10
MCF7,LY2606368,3.162278,$k_{\phi}$,0.11844607258579842,6.812506106717678e-10
