cell_line,agent,concentration,parameter,rate,obj_func
MCF7,MFH-2-90,0.031623,$k_{S}$,0.0028355337176326845,135852.16505807557
MCF7,MFH-2-90,0.031623,$k_{G2}$,0.01573903208541963,135852.16505807557
MCF7,MFH-2-90,0.031623,$k_{M}$$k_{G1}$,0.0011636683190860662,135852.16505807557
MCF7,MFH-2-90,0.031623,$k_{\phi}$,1e-07,135852.16505807557
MCF7,MFH-2-90,0.031623,$k_{S}$,0.0016715460930004653,74323.70130360321
MCF7,MFH-2-90,0.031623,$k_{G2}$,0.019487872289009223,74323.70130360321
MCF7,MFH-2-90,0.031623,$k_{M}$$k_{G1}$,1e-07,74323.70130360321
MCF7,MFH-2-90,0.031623,$k_{\phi}$,1e-07,74323.70130360321
MCF7,MFH-2-90,0.031623,$k_{S}$,0.0016463800990236261,166776.9388671107
MCF7,MFH-2-90,0.031623,$k_{G2}$,0.010567933298703116,166776.9388671107
MCF7,MFH-2-90,0.031623,$k_{M}$$k_{G1}$,0.00344873326877988,166776.9388671107
MCF7,MFH-2-90,0.031623,$k_{\phi}$,1e-07,166776.9388671107
MCF7,MFH-2-90,0.01,$k_{S}$,0.0034933501762842334,99735.98544534374
MCF7,MFH-2-90,0.01,$k_{G2}$,0.013619070187665143,99735.98544534374
MCF7,MFH-2-90,0.01,$k_{M}$$k_{G1}$,1.5876701600058004e-05,99735.98544534374
MCF7,MFH-2-90,0.01,$k_{\phi}$,1e-07,99735.98544534374
MCF7,MFH-2-90,0.01,$k_{S}$,0.0010784153076997549,134536.6864438364
MCF7,MFH-2-90,0.01,$k_{G2}$,0.01156640104348239,134536.6864438364
MCF7,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.0018399494638780837,134536.6864438364
MCF7,MFH-2-90,0.01,$k_{\phi}$,1e-07,134536.6864438364
MCF7,MFH-2-90,0.01,$k_{S}$,0.001807786409127993,173789.2574711126
MCF7,MFH-2-90,0.01,$k_{G2}$,0.011085214623697612,173789.2574711126
MCF7,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.0032420678014964746,173789.2574711126
MCF7,MFH-2-90,0.01,$k_{\phi}$,1e-07,173789.2574711126
MCF7,MFH-2-90,10.0,$k_{S}$,1e-07,114780.1672529073
MCF7,MFH-2-90,10.0,$k_{G2}$,0.010361912696760019,114780.1672529073
MCF7,MFH-2-90,10.0,$k_{M}$$k_{G1}$,0.0014159924314310326,114780.1672529073
MCF7,MFH-2-90,10.0,$k_{\phi}$,1e-07,114780.1672529073
MCF7,MFH-2-90,10.0,$k_{S}$,0.0009415956781115742,122671.92184842311
MCF7,MFH-2-90,10.0,$k_{G2}$,0.012904070746692841,122671.92184842311
MCF7,MFH-2-90,10.0,$k_{M}$$k_{G1}$,0.000703852283175113,122671.92184842311
MCF7,MFH-2-90,10.0,$k_{\phi}$,1e-07,122671.92184842311
MCF7,MFH-2-90,10.0,$k_{S}$,1e-07,85084.8423739984
MCF7,MFH-2-90,10.0,$k_{G2}$,0.01278733543386291,85084.8423739984
MCF7,MFH-2-90,10.0,$k_{M}$$k_{G1}$,0.0068143389209408085,85084.8423739984
MCF7,MFH-2-90,10.0,$k_{\phi}$,1e-07,85084.8423739984
MCF7,MFH-2-90,0.316228,$k_{S}$,9.666711103708685e-05,113453.84268876901
MCF7,MFH-2-90,0.316228,$k_{G2}$,0.011172835948280262,113453.84268876901
MCF7,MFH-2-90,0.316228,$k_{M}$$k_{G1}$,0.0008965264582487501,113453.84268876901
MCF7,MFH-2-90,0.316228,$k_{\phi}$,1e-07,113453.84268876901
MCF7,MFH-2-90,0.316228,$k_{S}$,0.0014319468939283115,173044.3197770916
MCF7,MFH-2-90,0.316228,$k_{G2}$,0.00967404088718083,173044.3197770916
MCF7,MFH-2-90,0.316228,$k_{M}$$k_{G1}$,0.004260231106592004,173044.3197770916
MCF7,MFH-2-90,0.316228,$k_{\phi}$,1e-07,173044.3197770916
