cell_line,agent,concentration,parameter,rate,obj_func
MCF7_PR,AZD1775,0.003162,$k_{S}$,0.014796198124530209,1.0130588033229074e-10
MCF7_PR,AZD1775,0.003162,$k_{G2}$,0.09491312338229788,1.0130588033229074e-10
MCF7_PR,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.014856044887118692,1.0130588033229074e-10
MCF7_PR,AZD1775,0.003162,$k_{\phi}$,0.03478011277033671,1.0130588033229074e-10
MCF7_PR,AZD1775,0.003162,$k_{S}$,0.01614660280123028,47323.92592382314
MCF7_PR,AZD1775,0.003162,$k_{G2}$,0.01935405902231198,47323.92592382314
MCF7_PR,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.011822233679424093,47323.92592382314
MCF7_PR,AZD1775,0.003162,$k_{\phi}$,1e-07,47323.92592382314
MCF7_PR,AZD1775,0.003162,$k_{S}$,0.02993561021901417,3.795109260794488e-11
MCF7_PR,AZD1775,0.003162,$k_{G2}$,0.012620484890184379,3.795109260794488e-11
MCF7_PR,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.05095919898857938,3.795109260794488e-11
MCF7_PR,AZD1775,0.003162,$k_{\phi}$,0.011454640027194473,3.795109260794488e-11
MCF7_PR,AZD1775,10.0,$k_{S}$,0.009035160439941466,8.28433629862651
MCF7_PR,AZD1775,10.0,$k_{G2}$,0.027092394898338465,8.28433629862651
MCF7_PR,AZD1775,10.0,$k_{M}$$k_{G1}$,0.02263727897083508,8.28433629862651
MCF7_PR,AZD1775,10.0,$k_{\phi}$,1e-07,8.28433629862651
MCF7_PR,AZD1775,10.0,$k_{S}$,0.0046565669789916594,41.67778459220024
MCF7_PR,AZD1775,10.0,$k_{G2}$,0.07993456700568052,41.67778459220024
MCF7_PR,AZD1775,10.0,$k_{M}$$k_{G1}$,0.012376463416802706,41.67778459220024
MCF7_PR,AZD1775,10.0,$k_{\phi}$,1e-07,41.67778459220024
MCF7_PR,AZD1775,10.0,$k_{S}$,0.000456879546350035,1984.3746316661125
MCF7_PR,AZD1775,10.0,$k_{G2}$,1e-07,1984.3746316661125
MCF7_PR,AZD1775,10.0,$k_{M}$$k_{G1}$,0.003554068143880907,1984.3746316661125
MCF7_PR,AZD1775,10.0,$k_{\phi}$,0.003582689244293125,1984.3746316661125
MCF7_PR,AZD1775,0.001,$k_{S}$,0.01921048478893444,8.112289102413808e-11
MCF7_PR,AZD1775,0.001,$k_{G2}$,0.13317132754939986,8.112289102413808e-11
MCF7_PR,AZD1775,0.001,$k_{M}$$k_{G1}$,0.023964935306702906,8.112289102413808e-11
MCF7_PR,AZD1775,0.001,$k_{\phi}$,0.03672848112623339,8.112289102413808e-11
MCF7_PR,AZD1775,0.001,$k_{S}$,0.015144966678763376,7.411150700435705e-11
MCF7_PR,AZD1775,0.001,$k_{G2}$,0.13721189806523534,7.411150700435705e-11
MCF7_PR,AZD1775,0.001,$k_{M}$$k_{G1}$,0.02041368582303053,7.411150700435705e-11
MCF7_PR,AZD1775,0.001,$k_{\phi}$,0.02671921008366873,7.411150700435705e-11
MCF7_PR,AZD1775,3.162278,$k_{S}$,0.013474254324295203,8.41871685974952e-11
MCF7_PR,AZD1775,3.162278,$k_{G2}$,0.10426433463755458,8.41871685974952e-11
MCF7_PR,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.022338646603469455,8.41871685974952e-11
MCF7_PR,AZD1775,3.162278,$k_{\phi}$,0.010030885383665504,8.41871685974952e-11
MCF7_PR,AZD1775,3.162278,$k_{S}$,0.007893367750680816,2395.223112732887
MCF7_PR,AZD1775,3.162278,$k_{G2}$,0.05106266286104604,2395.223112732887
MCF7_PR,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.006290260706539183,2395.223112732887
MCF7_PR,AZD1775,3.162278,$k_{\phi}$,1e-07,2395.223112732887
MCF7_PR,AZD1775,3.162278,$k_{S}$,0.005751329977112178,1635.7292556335296
MCF7_PR,AZD1775,3.162278,$k_{G2}$,0.04567932042635585,1635.7292556335296
MCF7_PR,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.022160438173682805,1635.7292556335296
MCF7_PR,AZD1775,3.162278,$k_{\phi}$,1e-07,1635.7292556335296
MCF7_PR,AZD1775,1.0,$k_{S}$,0.02505135569414222,3.8448990317455465e-11
MCF7_PR,AZD1775,1.0,$k_{G2}$,0.014523192981721141,3.8448990317455465e-11
MCF7_PR,AZD1775,1.0,$k_{M}$$k_{G1}$,0.029084710565748885,3.8448990317455465e-11
MCF7_PR,AZD1775,1.0,$k_{\phi}$,0.005884293383740617,3.8448990317455465e-11
MCF7_PR,AZD1775,1.0,$k_{S}$,0.0086824453921451,1708.8653700386512
MCF7_PR,AZD1775,1.0,$k_{G2}$,0.0567318494766633,1708.8653700386512
MCF7_PR,AZD1775,1.0,$k_{M}$$k_{G1}$,0.007729407123017967,1708.8653700386512
