cell_line,agent,concentration,parameter,rate,obj_func
MCF7_PR,BMS-265246,3.162278,$k_{S}$,0.011296053456483747,8605.931468436047
MCF7_PR,BMS-265246,3.162278,$k_{G2}$,0.0128895883694209,8605.931468436047
MCF7_PR,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.025123635694091973,8605.931468436047
MCF7_PR,BMS-265246,3.162278,$k_{\phi}$,1e-07,8605.931468436047
MCF7_PR,BMS-265246,3.162278,$k_{S}$,0.019743539725684277,19648.453947357877
MCF7_PR,BMS-265246,3.162278,$k_{G2}$,0.0223274013409731,19648.453947357877
MCF7_PR,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.03267701171446794,19648.453947357877
MCF7_PR,BMS-265246,3.162278,$k_{\phi}$,1e-07,19648.453947357877
MCF7_PR,BMS-265246,3.162278,$k_{S}$,0.021061171639090694,8.781357791635015e-11
MCF7_PR,BMS-265246,3.162278,$k_{G2}$,0.04485369285139127,8.781357791635015e-11
MCF7_PR,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.017754276956846757,8.781357791635015e-11
MCF7_PR,BMS-265246,3.162278,$k_{\phi}$,0.021330739658730214,8.781357791635015e-11
MCF7_PR,BMS-265246,0.316228,$k_{S}$,0.009303280237693638,10898.469768909128
MCF7_PR,BMS-265246,0.316228,$k_{G2}$,0.031026873725192604,10898.469768909128
MCF7_PR,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.022683131711787093,10898.469768909128
MCF7_PR,BMS-265246,0.316228,$k_{\phi}$,1e-07,10898.469768909128
MCF7_PR,BMS-265246,0.316228,$k_{S}$,0.01665528365853102,13049.508459235729
MCF7_PR,BMS-265246,0.316228,$k_{G2}$,0.01284816204797817,13049.508459235729
MCF7_PR,BMS-265246,0.316228,$k_{M}$$k_{G1}$,0.026278537101875478,13049.508459235729
MCF7_PR,BMS-265246,0.316228,$k_{\phi}$,1e-07,13049.508459235729
MCF7_PR,BMS-265246,0.316228,$k_{S}$,0.03687138068589466,3.853779059015519e-11
