cell_line,agent,concentration,parameter,rate,obj_func
MCF7_PR,CDK1_2iIII,0.1,$k_{S}$,0.021400824185603115,17456.489327503485
MCF7_PR,CDK1_2iIII,0.1,$k_{G2}$,0.015633775067042215,17456.489327503485
MCF7_PR,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.024643540217884428,17456.489327503485
MCF7_PR,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,17456.489327503485
MCF7_PR,CDK1_2iIII,0.1,$k_{S}$,0.006743790661739971,18172.679944988264
MCF7_PR,CDK1_2iIII,0.1,$k_{G2}$,0.010362371263426049,18172.679944988264
MCF7_PR,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.011380303847194132,18172.679944988264
MCF7_PR,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,18172.679944988264
MCF7_PR,CDK1_2iIII,0.1,$k_{S}$,0.015402171357366953,50891.09900024273
MCF7_PR,CDK1_2iIII,0.1,$k_{G2}$,0.016899067492352548,50891.09900024273
MCF7_PR,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.017449105511949555,50891.09900024273
MCF7_PR,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,50891.09900024273
MCF7_PR,CDK1_2iIII,0.1,$k_{S}$,0.012795295270546105,41302.38486689777
MCF7_PR,CDK1_2iIII,0.1,$k_{G2}$,0.01709451448897195,41302.38486689777
MCF7_PR,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.018008115743649904,41302.38486689777
MCF7_PR,CDK1_2iIII,0.1,$k_{\phi}$,1e-07,41302.38486689777
MCF7_PR,CDK1_2iIII,0.1,$k_{S}$,0.021130911182257534,9.26145044624007e-11
MCF7_PR,CDK1_2iIII,0.1,$k_{G2}$,0.009307644232415875,9.26145044624007e-11
MCF7_PR,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.05774323050048227,9.26145044624007e-11
MCF7_PR,CDK1_2iIII,0.1,$k_{\phi}$,0.0040504521834390855,9.26145044624007e-11
MCF7_PR,CDK1_2iIII,0.1,$k_{S}$,0.02309391741405728,4.659318194385521e-11
MCF7_PR,CDK1_2iIII,0.1,$k_{G2}$,0.1473817138938146,4.659318194385521e-11
MCF7_PR,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.030513006468294874,4.659318194385521e-11
MCF7_PR,CDK1_2iIII,0.1,$k_{\phi}$,0.04650898622963043,4.659318194385521e-11
