cell_line,agent,concentration,parameter,rate,obj_func
MCF7_PR,MFH-2-90,0.01,$k_{S}$,0.01065915513060522,75506.21752586278
MCF7_PR,MFH-2-90,0.01,$k_{G2}$,0.015343630461474944,75506.21752586278
MCF7_PR,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.012973601846185272,75506.21752586278
MCF7_PR,MFH-2-90,0.01,$k_{\phi}$,1e-07,75506.21752586278
MCF7_PR,MFH-2-90,0.01,$k_{S}$,0.012764245737318141,79489.80833999335
MCF7_PR,MFH-2-90,0.01,$k_{G2}$,0.013393448672128043,79489.80833999335
MCF7_PR,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.013346977811007047,79489.80833999335
MCF7_PR,MFH-2-90,0.01,$k_{\phi}$,1e-07,79489.80833999335
MCF7_PR,MFH-2-90,0.01,$k_{S}$,0.006859870795851834,36029.087114699505
MCF7_PR,MFH-2-90,0.01,$k_{G2}$,0.016601956869046468,36029.087114699505
MCF7_PR,MFH-2-90,0.01,$k_{M}$$k_{G1}$,0.00886446034237663,36029.087114699505
MCF7_PR,MFH-2-90,0.01,$k_{\phi}$,1e-07,36029.087114699505
MCF7_PR,MFH-2-90,0.001,$k_{S}$,0.008213818071869763,63266.764247082
MCF7_PR,MFH-2-90,0.001,$k_{G2}$,0.016286877881674877,63266.764247082
MCF7_PR,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.013268867564376561,63266.764247082
MCF7_PR,MFH-2-90,0.001,$k_{\phi}$,1e-07,63266.764247082
MCF7_PR,MFH-2-90,0.001,$k_{S}$,0.012216629821519524,72344.95112525794
MCF7_PR,MFH-2-90,0.001,$k_{G2}$,0.016321501205241347,72344.95112525794
MCF7_PR,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.013178084421908593,72344.95112525794
MCF7_PR,MFH-2-90,0.001,$k_{\phi}$,1e-07,72344.95112525794
MCF7_PR,MFH-2-90,0.001,$k_{S}$,0.0046985081068755714,35859.513733799744
MCF7_PR,MFH-2-90,0.001,$k_{G2}$,0.013386721931836501,35859.513733799744
MCF7_PR,MFH-2-90,0.001,$k_{M}$$k_{G1}$,0.008261178049471992,35859.513733799744
MCF7_PR,MFH-2-90,0.001,$k_{\phi}$,1e-07,35859.513733799744
MCF7_PR,MFH-2-90,0.1,$k_{S}$,0.009589797820163606,63041.995867155514
MCF7_PR,MFH-2-90,0.1,$k_{G2}$,0.016826067126741295,63041.995867155514
MCF7_PR,MFH-2-90,0.1,$k_{M}$$k_{G1}$,0.01483555519830604,63041.995867155514
MCF7_PR,MFH-2-90,0.1,$k_{\phi}$,1e-07,63041.995867155514
MCF7_PR,MFH-2-90,0.1,$k_{S}$,0.01246728349510448,95616.64309504631
MCF7_PR,MFH-2-90,0.1,$k_{G2}$,0.01703139511349265,95616.64309504631
MCF7_PR,MFH-2-90,0.1,$k_{M}$$k_{G1}$,0.012616705299807946,95616.64309504631
MCF7_PR,MFH-2-90,0.1,$k_{\phi}$,1e-07,95616.64309504631
MCF7_PR,MFH-2-90,0.1,$k_{S}$,0.006909276340548798,50891.037276641175
MCF7_PR,MFH-2-90,0.1,$k_{G2}$,0.01528537201506896,50891.037276641175
MCF7_PR,MFH-2-90,0.1,$k_{M}$$k_{G1}$,0.01053209891347411,50891.037276641175
MCF7_PR,MFH-2-90,0.1,$k_{\phi}$,1e-07,50891.037276641175
MCF7_PR,MFH-2-90,0.316228,$k_{S}$,0.009508041062009968,62817.62063165906
MCF7_PR,MFH-2-90,0.316228,$k_{G2}$,0.01739409463495234,62817.62063165906
MCF7_PR,MFH-2-90,0.316228,$k_{M}$$k_{G1}$,0.014304255457805804,62817.62063165906
MCF7_PR,MFH-2-90,0.316228,$k_{\phi}$,1e-07,62817.62063165906
MCF7_PR,MFH-2-90,0.316228,$k_{S}$,0.01123533387699354,79237.83362063138
MCF7_PR,MFH-2-90,0.316228,$k_{G2}$,0.01553823564356997,79237.83362063138
MCF7_PR,MFH-2-90,0.316228,$k_{M}$$k_{G1}$,0.013198593275701043,79237.83362063138
MCF7_PR,MFH-2-90,0.316228,$k_{\phi}$,1e-07,79237.83362063138
MCF7_PR,MFH-2-90,0.316228,$k_{S}$,0.005406295582933965,14091.219940202951
