cell_line,agent,concentration,parameter,rate,obj_func
MCF7_PR,SY-1365,1.0,$k_{S}$,0.005264137663573843,33200.7237622886
MCF7_PR,SY-1365,1.0,$k_{G2}$,0.015913275766506703,33200.7237622886
MCF7_PR,SY-1365,1.0,$k_{M}$$k_{G1}$,0.007724052873579434,33200.7237622886
MCF7_PR,SY-1365,1.0,$k_{\phi}$,1e-07,33200.7237622886
MCF7_PR,SY-1365,1.0,$k_{S}$,0.00977208935954714,29558.163775390854
MCF7_PR,SY-1365,1.0,$k_{G2}$,0.015224958716207089,29558.163775390854
MCF7_PR,SY-1365,1.0,$k_{M}$$k_{G1}$,0.017882318523585922,29558.163775390854
MCF7_PR,SY-1365,1.0,$k_{\phi}$,1e-07,29558.163775390854
MCF7_PR,SY-1365,1.0,$k_{S}$,0.004974879594197987,10074.275074549367
MCF7_PR,SY-1365,1.0,$k_{G2}$,0.031759257003204894,10074.275074549367
MCF7_PR,SY-1365,1.0,$k_{M}$$k_{G1}$,0.016586982812490804,10074.275074549367
MCF7_PR,SY-1365,1.0,$k_{\phi}$,1e-07,10074.275074549367
MCF7_PR,SY-1365,0.031623,$k_{S}$,0.006694433290240861,29866.50452570161
MCF7_PR,SY-1365,0.031623,$k_{G2}$,0.025831517798254357,29866.50452570161
MCF7_PR,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.013485923711834826,29866.50452570161
MCF7_PR,SY-1365,0.031623,$k_{\phi}$,1e-07,29866.50452570161
MCF7_PR,SY-1365,0.031623,$k_{S}$,0.007033330556446791,20922.12811858723
MCF7_PR,SY-1365,0.031623,$k_{G2}$,0.018078263440714518,20922.12811858723
MCF7_PR,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.015266491469433475,20922.12811858723
MCF7_PR,SY-1365,0.031623,$k_{\phi}$,1e-07,20922.12811858723
MCF7_PR,SY-1365,0.031623,$k_{S}$,0.00721626591467967,20792.91093613041
MCF7_PR,SY-1365,0.031623,$k_{G2}$,0.021925031289711887,20792.91093613041
MCF7_PR,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.00683455770636379,20792.91093613041
MCF7_PR,SY-1365,0.031623,$k_{\phi}$,1e-07,20792.91093613041
MCF7_PR,SY-1365,3.162278,$k_{S}$,0.008015292346433552,22772.582896816595
MCF7_PR,SY-1365,3.162278,$k_{G2}$,0.022276629855502966,22772.582896816595
MCF7_PR,SY-1365,3.162278,$k_{M}$$k_{G1}$,0.01920175069043637,22772.582896816595
MCF7_PR,SY-1365,3.162278,$k_{\phi}$,1e-07,22772.582896816595
MCF7_PR,SY-1365,3.162278,$k_{S}$,0.002825166373800799,9718.362793566323
MCF7_PR,SY-1365,3.162278,$k_{G2}$,0.020598788796168475,9718.362793566323
MCF7_PR,SY-1365,3.162278,$k_{M}$$k_{G1}$,0.010708510183325838,9718.362793566323
MCF7_PR,SY-1365,3.162278,$k_{\phi}$,1e-07,9718.362793566323
MCF7_PR,SY-1365,3.162278,$k_{S}$,0.00990992715573323,38270.017548384785
MCF7_PR,SY-1365,3.162278,$k_{G2}$,0.016843401570153838,38270.017548384785
MCF7_PR,SY-1365,3.162278,$k_{M}$$k_{G1}$,0.01993745964123107,38270.017548384785
MCF7_PR,SY-1365,3.162278,$k_{\phi}$,1e-07,38270.017548384785
MCF7_PR,SY-1365,0.001,$k_{S}$,0.008149642542687605,23043.33000866337
MCF7_PR,SY-1365,0.001,$k_{G2}$,0.013430007499182462,23043.33000866337
MCF7_PR,SY-1365,0.001,$k_{M}$$k_{G1}$,0.01783434043580511,23043.33000866337
MCF7_PR,SY-1365,0.001,$k_{\phi}$,1e-07,23043.33000866337
MCF7_PR,SY-1365,0.001,$k_{S}$,0.01822653914524508,5.88136329885507e-11
