cell_line,agent,concentration,parameter,rate,obj_func
MCF7_PR,Torin2,0.1,$k_{S}$,0.0030056261606874256,7406.284938011556
MCF7_PR,Torin2,0.1,$k_{G2}$,0.03149924664313851,7406.284938011556
MCF7_PR,Torin2,0.1,$k_{M}$$k_{G1}$,0.008617775201207151,7406.284938011556
MCF7_PR,Torin2,0.1,$k_{\phi}$,1e-07,7406.284938011556
MCF7_PR,Torin2,0.1,$k_{S}$,0.004009003165985453,7796.161432234745
MCF7_PR,Torin2,0.1,$k_{G2}$,0.03831892321674173,7796.161432234745
MCF7_PR,Torin2,0.1,$k_{M}$$k_{G1}$,0.010172153250715257,7796.161432234745
MCF7_PR,Torin2,0.1,$k_{\phi}$,1e-07,7796.161432234745
MCF7_PR,Torin2,0.1,$k_{S}$,0.007989957042164604,46741.9774434696
MCF7_PR,Torin2,0.1,$k_{G2}$,0.021315213418042087,46741.9774434696
MCF7_PR,Torin2,0.1,$k_{M}$$k_{G1}$,0.008901118180509706,46741.9774434696
MCF7_PR,Torin2,0.1,$k_{\phi}$,1e-07,46741.9774434696
MCF7_PR,Torin2,0.1,$k_{S}$,0.004651490557889588,13669.696981796833
MCF7_PR,Torin2,0.1,$k_{G2}$,0.03183108478565161,13669.696981796833
MCF7_PR,Torin2,0.1,$k_{M}$$k_{G1}$,0.00679404585184931,13669.696981796833
MCF7_PR,Torin2,0.1,$k_{\phi}$,1e-07,13669.696981796833
MCF7_PR,Torin2,0.1,$k_{S}$,0.007174506166618346,7483.476494020991
MCF7_PR,Torin2,0.1,$k_{G2}$,0.05406776801379258,7483.476494020991
MCF7_PR,Torin2,0.1,$k_{M}$$k_{G1}$,0.01444024918590679,7483.476494020991
MCF7_PR,Torin2,0.1,$k_{\phi}$,1e-07,7483.476494020991
MCF7_PR,Torin2,0.1,$k_{S}$,0.003697173117104001,1564.169904434074
MCF7_PR,Torin2,0.1,$k_{G2}$,0.07785401883073795,1564.169904434074
MCF7_PR,Torin2,0.1,$k_{M}$$k_{G1}$,0.009912455682773196,1564.169904434074
MCF7_PR,Torin2,0.1,$k_{\phi}$,1e-07,1564.169904434074
