cell_line,agent,concentration,parameter,rate,obj_func
MCF7_PR,YKL-5-124,0.003162,$k_{S}$,0.011517285409062506,7.727377897280227e-11
MCF7_PR,YKL-5-124,0.003162,$k_{G2}$,0.07904542035091448,7.727377897280227e-11
MCF7_PR,YKL-5-124,0.003162,$k_{M}$$k_{G1}$,0.02634472101331196,7.727377897280227e-11
MCF7_PR,YKL-5-124,0.003162,$k_{\phi}$,0.03542149648675346,7.727377897280227e-11
MCF7_PR,YKL-5-124,0.003162,$k_{S}$,0.010887214467313822,1.1809755320051128e-10
MCF7_PR,YKL-5-124,0.003162,$k_{G2}$,0.07005164189725051,1.1809755320051128e-10
MCF7_PR,YKL-5-124,0.003162,$k_{M}$$k_{G1}$,0.025585003095076195,1.1809755320051128e-10
MCF7_PR,YKL-5-124,0.003162,$k_{\phi}$,0.028280017670444163,1.1809755320051128e-10
MCF7_PR,YKL-5-124,0.003162,$k_{S}$,0.008013998551914944,20280.256316905597
MCF7_PR,YKL-5-124,0.003162,$k_{G2}$,0.019486235250999108,20280.256316905597
MCF7_PR,YKL-5-124,0.003162,$k_{M}$$k_{G1}$,0.014776516973051865,20280.256316905597
MCF7_PR,YKL-5-124,0.003162,$k_{\phi}$,1e-07,20280.256316905597
MCF7_PR,YKL-5-124,0.001,$k_{S}$,0.012303696718889574,9.614002987760354e-11
MCF7_PR,YKL-5-124,0.001,$k_{G2}$,0.07259594752930433,9.614002987760354e-11
MCF7_PR,YKL-5-124,0.001,$k_{M}$$k_{G1}$,0.024156306521333125,9.614002987760354e-11
MCF7_PR,YKL-5-124,0.001,$k_{\phi}$,0.03927811982535722,9.614002987760354e-11
MCF7_PR,YKL-5-124,0.001,$k_{S}$,0.006777984401343831,19026.503843750314
MCF7_PR,YKL-5-124,0.001,$k_{G2}$,0.008257551538247419,19026.503843750314
MCF7_PR,YKL-5-124,0.001,$k_{M}$$k_{G1}$,0.012797797684344204,19026.503843750314
MCF7_PR,YKL-5-124,0.001,$k_{\phi}$,1e-07,19026.503843750314
MCF7_PR,YKL-5-124,0.316228,$k_{S}$,0.007225950769112047,1.3946162130056802e-10
MCF7_PR,YKL-5-124,0.316228,$k_{G2}$,0.11437786953655175,1.3946162130056802e-10
