cell_line,agent,concentration,parameter,rate,obj_func
MCF7,R0-3306,10.0,$k_{S}$,1e-07,211.42171173967196
MCF7,R0-3306,10.0,$k_{G2}$,0.0016040679106106397,211.42171173967196
MCF7,R0-3306,10.0,$k_{M}$$k_{G1}$,0.009548497104566449,211.42171173967196
MCF7,R0-3306,10.0,$k_{\phi}$,0.00169550609722984,211.42171173967196
MCF7,R0-3306,10.0,$k_{S}$,0.03206979824963787,2.65790756016605e-10
MCF7,R0-3306,10.0,$k_{G2}$,0.045509243212252935,2.65790756016605e-10
MCF7,R0-3306,10.0,$k_{M}$$k_{G1}$,0.0108662988266243,2.65790756016605e-10
MCF7,R0-3306,10.0,$k_{\phi}$,0.01736950102099306,2.65790756016605e-10
MCF7,R0-3306,10.0,$k_{S}$,0.0016609588290982002,1.2077735815929535e-10
MCF7,R0-3306,10.0,$k_{G2}$,0.005381959219481881,1.2077735815929535e-10
MCF7,R0-3306,10.0,$k_{M}$$k_{G1}$,0.016993511669546962,1.2077735815929535e-10
MCF7,R0-3306,10.0,$k_{\phi}$,0.009687481245139682,1.2077735815929535e-10
MCF7,R0-3306,0.031623,$k_{S}$,0.055053170607420696,1.7109511410352811e-09
MCF7,R0-3306,0.031623,$k_{G2}$,0.05945830516729467,1.7109511410352811e-09
MCF7,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.14006751865667239,1.7109511410352811e-09
MCF7,R0-3306,0.031623,$k_{\phi}$,1.1842403316729484,1.7109511410352811e-09
MCF7,R0-3306,0.031623,$k_{S}$,0.04708200192574979,2.3871626222044255e-09
MCF7,R0-3306,0.031623,$k_{G2}$,0.06764543233714823,2.3871626222044255e-09
MCF7,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.13848357595561578,2.3871626222044255e-09
MCF7,R0-3306,0.031623,$k_{\phi}$,0.5516996192847962,2.3871626222044255e-09
MCF7,R0-3306,0.031623,$k_{S}$,0.05333604499522992,4.362481660102162e-09
MCF7,R0-3306,0.031623,$k_{G2}$,0.06234571732495824,4.362481660102162e-09
MCF7,R0-3306,0.031623,$k_{M}$$k_{G1}$,0.11898894460462187,4.362481660102162e-09
MCF7,R0-3306,0.031623,$k_{\phi}$,1.7783439214317824,4.362481660102162e-09
MCF7,R0-3306,0.01,$k_{S}$,0.042161195648359066,2.1225537295370127e-09
MCF7,R0-3306,0.01,$k_{G2}$,0.052126543140577526,2.1225537295370127e-09
MCF7,R0-3306,0.01,$k_{M}$$k_{G1}$,0.11926951510126844,2.1225537295370127e-09
MCF7,R0-3306,0.01,$k_{\phi}$,0.6722465974755498,2.1225537295370127e-09
MCF7,R0-3306,0.01,$k_{S}$,0.045394714693780674,9.87288670407981e-10
MCF7,R0-3306,0.01,$k_{G2}$,0.057440428850655985,9.87288670407981e-10
MCF7,R0-3306,0.01,$k_{M}$$k_{G1}$,0.11945731887556361,9.87288670407981e-10
MCF7,R0-3306,0.01,$k_{\phi}$,0.37451403039411685,9.87288670407981e-10
MCF7,R0-3306,0.01,$k_{S}$,0.05456852062678466,0.00358184888515288
MCF7,R0-3306,0.01,$k_{G2}$,0.07082213858513088,0.00358184888515288
MCF7,R0-3306,0.01,$k_{M}$$k_{G1}$,0.13115099926476123,0.00358184888515288
MCF7,R0-3306,0.01,$k_{\phi}$,1.3447210796267142,0.00358184888515288
MCF7,R0-3306,0.003162,$k_{S}$,0.056352291384160216,3.9949606722134384e-09
MCF7,R0-3306,0.003162,$k_{G2}$,0.06730546604936151,3.9949606722134384e-09
MCF7,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.15488310583500275,3.9949606722134384e-09
MCF7,R0-3306,0.003162,$k_{\phi}$,1.0560076934555123,3.9949606722134384e-09
MCF7,R0-3306,0.003162,$k_{S}$,0.04346160663129815,1.370559900972604e-09
MCF7,R0-3306,0.003162,$k_{G2}$,0.04625485519989496,1.370559900972604e-09
MCF7,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.13017776257845692,1.370559900972604e-09
MCF7,R0-3306,0.003162,$k_{\phi}$,0.2798143829465025,1.370559900972604e-09
MCF7,R0-3306,0.003162,$k_{S}$,0.05316421571312938,3.2877731591197278e-09
MCF7,R0-3306,0.003162,$k_{G2}$,0.06606563333335772,3.2877731591197278e-09
MCF7,R0-3306,0.003162,$k_{M}$$k_{G1}$,0.13488704468116267,3.2877731591197278e-09
MCF7,R0-3306,0.003162,$k_{\phi}$,0.8595142836037488,3.2877731591197278e-09
MCF7,R0-3306,1.0,$k_{S}$,0.05153273925378157,2.117062295890881e-09
MCF7,R0-3306,1.0,$k_{G2}$,0.0726121710408971,2.117062295890881e-09
MCF7,R0-3306,1.0,$k_{M}$$k_{G1}$,0.11825409041818852,2.117062295890881e-09
MCF7,R0-3306,1.0,$k_{\phi}$,0.9087479456982656,2.117062295890881e-09
MCF7,R0-3306,1.0,$k_{S}$,0.04094017280237589,1.079390333302755e-09
