cell_line,agent,concentration,parameter,rate,obj_func
MCF7,THZ531,0.316228,$k_{S}$,1e-07,61.41239307319398
MCF7,THZ531,0.316228,$k_{G2}$,0.012143759258477691,61.41239307319398
MCF7,THZ531,0.316228,$k_{M}$$k_{G1}$,0.00430208809362551,61.41239307319398
MCF7,THZ531,0.316228,$k_{\phi}$,0.008628088201189271,61.41239307319398
MCF7,THZ531,0.316228,$k_{S}$,0.007275261369382539,2.5393367500209546e-10
MCF7,THZ531,0.316228,$k_{G2}$,0.034886342012233514,2.5393367500209546e-10
MCF7,THZ531,0.316228,$k_{M}$$k_{G1}$,0.0191422106875338,2.5393367500209546e-10
MCF7,THZ531,0.316228,$k_{\phi}$,0.024884697393449406,2.5393367500209546e-10
MCF7,THZ531,0.001,$k_{S}$,0.04071397917425971,1.8793898781412048e-09
MCF7,THZ531,0.001,$k_{G2}$,0.060804903144966005,1.8793898781412048e-09
MCF7,THZ531,0.001,$k_{M}$$k_{G1}$,0.1117968671798979,1.8793898781412048e-09
MCF7,THZ531,0.001,$k_{\phi}$,0.7968524321041947,1.8793898781412048e-09
MCF7,THZ531,0.001,$k_{S}$,0.046786338588350074,1.7390529327033928e-09
MCF7,THZ531,0.001,$k_{G2}$,0.06651333334628956,1.7390529327033928e-09
MCF7,THZ531,0.001,$k_{M}$$k_{G1}$,0.13790568265241968,1.7390529327033928e-09
MCF7,THZ531,0.001,$k_{\phi}$,0.5326451871822827,1.7390529327033928e-09
MCF7,THZ531,0.001,$k_{S}$,0.05131510107520458,5.604252377984095e-09
MCF7,THZ531,0.001,$k_{G2}$,0.06830088193005822,5.604252377984095e-09
MCF7,THZ531,0.001,$k_{M}$$k_{G1}$,0.134707833366682,5.604252377984095e-09
MCF7,THZ531,0.001,$k_{\phi}$,2.1090882947803458,5.604252377984095e-09
MCF7,THZ531,1.0,$k_{S}$,0.0021327226046817535,66625.70828541185
MCF7,THZ531,1.0,$k_{G2}$,0.01852959334278416,66625.70828541185
MCF7,THZ531,1.0,$k_{M}$$k_{G1}$,0.0025494880649021964,66625.70828541185
MCF7,THZ531,1.0,$k_{\phi}$,1e-07,66625.70828541185
MCF7,THZ531,1.0,$k_{S}$,0.0013479149518488016,87959.60584985695
MCF7,THZ531,1.0,$k_{G2}$,0.014172154271021706,87959.60584985695
MCF7,THZ531,1.0,$k_{M}$$k_{G1}$,0.00031279951218308544,87959.60584985695
MCF7,THZ531,1.0,$k_{\phi}$,1e-07,87959.60584985695
MCF7,THZ531,1.0,$k_{S}$,0.0008401468460104203,41618.74760342351
MCF7,THZ531,1.0,$k_{G2}$,0.018136947084166362,41618.74760342351
MCF7,THZ531,1.0,$k_{M}$$k_{G1}$,0.0030741211533818107,41618.74760342351
MCF7,THZ531,1.0,$k_{\phi}$,1e-07,41618.74760342351
MCF7,THZ531,0.0001,$k_{S}$,0.04735260399616584,2.528929345129694e-09
MCF7,THZ531,0.0001,$k_{G2}$,0.06094893579112709,2.528929345129694e-09
MCF7,THZ531,0.0001,$k_{M}$$k_{G1}$,0.13072015569044848,2.528929345129694e-09
MCF7,THZ531,0.0001,$k_{\phi}$,0.8797976483549763,2.528929345129694e-09
MCF7,THZ531,0.0001,$k_{S}$,0.04559775496713349,2.806116779232716e-09
MCF7,THZ531,0.0001,$k_{G2}$,0.058463040142920725,2.806116779232716e-09
MCF7,THZ531,0.0001,$k_{M}$$k_{G1}$,0.30096863816426933,2.806116779232716e-09
MCF7,THZ531,0.0001,$k_{\phi}$,0.4474297093756393,2.806116779232716e-09
MCF7,THZ531,0.0001,$k_{S}$,0.04751159096091314,3.4185441365407215e-09
MCF7,THZ531,0.0001,$k_{G2}$,0.07004330511101006,3.4185441365407215e-09
MCF7,THZ531,0.0001,$k_{M}$$k_{G1}$,0.13057670261883883,3.4185441365407215e-09
MCF7,THZ531,0.0001,$k_{\phi}$,1.5574090817620965,3.4185441365407215e-09
MCF7,THZ531,0.031623,$k_{S}$,0.028663719544227736,7.515645464676402e-10
MCF7,THZ531,0.031623,$k_{G2}$,0.05471131879243153,7.515645464676402e-10
MCF7,THZ531,0.031623,$k_{M}$$k_{G1}$,0.07212725253262861,7.515645464676402e-10
MCF7,THZ531,0.031623,$k_{\phi}$,0.6039426747633736,7.515645464676402e-10
MCF7,THZ531,0.031623,$k_{S}$,0.04130788335894222,6.223345930465555e-10
MCF7,THZ531,0.031623,$k_{G2}$,0.08873770435100845,6.223345930465555e-10
MCF7,THZ531,0.031623,$k_{M}$$k_{G1}$,0.11640608703815665,6.223345930465555e-10
MCF7,THZ531,0.031623,$k_{\phi}$,0.25975418763262687,6.223345930465555e-10
MCF7,THZ531,0.031623,$k_{S}$,0.040847465114085144,1.3104020094641876e-09
MCF7,THZ531,0.031623,$k_{G2}$,0.07721235777307389,1.3104020094641876e-09
MCF7,THZ531,0.031623,$k_{M}$$k_{G1}$,0.10515395512379998,1.3104020094641876e-09
