cell_line,agent,concentration,parameter,rate,obj_func
MCF7,Torin2,0.1,$k_{S}$,0.006885737725275359,6.30525205835198e-10
MCF7,Torin2,0.1,$k_{G2}$,0.01996964730043064,6.30525205835198e-10
MCF7,Torin2,0.1,$k_{M}$$k_{G1}$,0.029269194382394455,6.30525205835198e-10
MCF7,Torin2,0.1,$k_{\phi}$,0.06929609621044552,6.30525205835198e-10
MCF7,Torin2,0.1,$k_{S}$,0.009436149789020912,4.937498467897705e-10
MCF7,Torin2,0.1,$k_{G2}$,0.019730752362190674,4.937498467897705e-10
MCF7,Torin2,0.1,$k_{M}$$k_{G1}$,0.03801784025238331,4.937498467897705e-10
MCF7,Torin2,0.1,$k_{\phi}$,0.15264200805588574,4.937498467897705e-10
MCF7,Torin2,0.1,$k_{S}$,0.003576932128230769,5.169755739346656e-10
MCF7,Torin2,0.1,$k_{G2}$,0.009484265266793433,5.169755739346656e-10
MCF7,Torin2,0.1,$k_{M}$$k_{G1}$,0.020281645238826855,5.169755739346656e-10
MCF7,Torin2,0.1,$k_{\phi}$,0.10293632501400998,5.169755739346656e-10
MCF7,Torin2,0.1,$k_{S}$,0.009351014153780366,2.6224488061773315e-10
MCF7,Torin2,0.1,$k_{G2}$,0.023731388971562278,2.6224488061773315e-10
MCF7,Torin2,0.1,$k_{M}$$k_{G1}$,0.03584741904463506,2.6224488061773315e-10
MCF7,Torin2,0.1,$k_{\phi}$,0.05281237686558559,2.6224488061773315e-10
MCF7,Torin2,0.1,$k_{S}$,0.011034983259843879,2.1641533207050855e-10
MCF7,Torin2,0.1,$k_{G2}$,0.02753003972029799,2.1641533207050855e-10
MCF7,Torin2,0.1,$k_{M}$$k_{G1}$,0.04175222837955242,2.1641533207050855e-10
MCF7,Torin2,0.1,$k_{\phi}$,0.08212067811787872,2.1641533207050855e-10
MCF7,Torin2,0.1,$k_{S}$,0.009457475565230605,1.6117073270550282e-10
MCF7,Torin2,0.1,$k_{G2}$,0.03315867558932556,1.6117073270550282e-10
MCF7,Torin2,0.1,$k_{M}$$k_{G1}$,0.040138000408111024,1.6117073270550282e-10
MCF7,Torin2,0.1,$k_{\phi}$,0.03453883028900834,1.6117073270550282e-10
