cell_line,agent,concentration,parameter,rate,obj_func
MDAMB134,BMS-265246,10.0,$k_{S}$,0.009410083311774899,1.1573863377419335e-10
MDAMB134,BMS-265246,10.0,$k_{G2}$,0.022913618634648487,1.1573863377419335e-10
MDAMB134,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.00676303993175636,1.1573863377419335e-10
MDAMB134,BMS-265246,10.0,$k_{\phi}$,0.026727236487926735,1.1573863377419335e-10
MDAMB134,BMS-265246,10.0,$k_{S}$,0.0042490805149413965,28489.03161713006
MDAMB134,BMS-265246,10.0,$k_{G2}$,1e-07,28489.03161713006
MDAMB134,BMS-265246,10.0,$k_{M}$$k_{G1}$,0.004325996487893958,28489.03161713006
MDAMB134,BMS-265246,10.0,$k_{\phi}$,1e-07,28489.03161713006
MDAMB134,BMS-265246,10.0,$k_{S}$,0.0032377783610473593,4.229259401501229
MDAMB134,BMS-265246,10.0,$k_{G2}$,0.005913669701198829,4.229259401501229
MDAMB134,BMS-265246,10.0,$k_{M}$$k_{G1}$,1e-07,4.229259401501229
MDAMB134,BMS-265246,10.0,$k_{\phi}$,0.009686319314619224,4.229259401501229
MDAMB134,BMS-265246,0.003162,$k_{S}$,0.002590903428797766,9180.73733568527
MDAMB134,BMS-265246,0.003162,$k_{G2}$,1e-07,9180.73733568527
MDAMB134,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.005117282817826824,9180.73733568527
MDAMB134,BMS-265246,0.003162,$k_{\phi}$,0.015619505874410113,9180.73733568527
MDAMB134,BMS-265246,0.003162,$k_{S}$,0.004088810963356906,13475.755051910754
MDAMB134,BMS-265246,0.003162,$k_{G2}$,0.00012042523629700399,13475.755051910754
MDAMB134,BMS-265246,0.003162,$k_{M}$$k_{G1}$,0.003581249266711478,13475.755051910754
MDAMB134,BMS-265246,0.003162,$k_{\phi}$,1e-07,13475.755051910754
MDAMB134,BMS-265246,0.001,$k_{S}$,0.007482529817294963,3.309714187220171e-10
MDAMB134,BMS-265246,0.001,$k_{G2}$,0.008219130748821897,3.309714187220171e-10
MDAMB134,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.004875456614578379,3.309714187220171e-10
MDAMB134,BMS-265246,0.001,$k_{\phi}$,0.01220685746074194,3.309714187220171e-10
MDAMB134,BMS-265246,0.001,$k_{S}$,0.004587361491260822,15409.495043231025
MDAMB134,BMS-265246,0.001,$k_{G2}$,0.0013462115310553632,15409.495043231025
MDAMB134,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.004040864466195982,15409.495043231025
MDAMB134,BMS-265246,0.001,$k_{\phi}$,1e-07,15409.495043231025
MDAMB134,BMS-265246,0.001,$k_{S}$,0.013920119826782295,1.9136669142378026e-10
MDAMB134,BMS-265246,0.001,$k_{G2}$,0.01998241956027795,1.9136669142378026e-10
MDAMB134,BMS-265246,0.001,$k_{M}$$k_{G1}$,0.008977633760037495,1.9136669142378026e-10
MDAMB134,BMS-265246,0.001,$k_{\phi}$,0.2927719563775946,1.9136669142378026e-10
MDAMB134,BMS-265246,1.0,$k_{S}$,0.010716084536943744,2.0557055703770385e-10
MDAMB134,BMS-265246,1.0,$k_{G2}$,0.010414677553674175,2.0557055703770385e-10
MDAMB134,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.009610524413792362,2.0557055703770385e-10
MDAMB134,BMS-265246,1.0,$k_{\phi}$,0.026048420718498288,2.0557055703770385e-10
MDAMB134,BMS-265246,1.0,$k_{S}$,0.006349121583011208,15298.290255907776
MDAMB134,BMS-265246,1.0,$k_{G2}$,1e-07,15298.290255907776
MDAMB134,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.00490482297757021,15298.290255907776
MDAMB134,BMS-265246,1.0,$k_{\phi}$,1e-07,15298.290255907776
MDAMB134,BMS-265246,1.0,$k_{S}$,0.014168426194007785,4.805614694308687e-10
MDAMB134,BMS-265246,1.0,$k_{G2}$,0.027924200849872335,4.805614694308687e-10
MDAMB134,BMS-265246,1.0,$k_{M}$$k_{G1}$,0.007771810826824786,4.805614694308687e-10
MDAMB134,BMS-265246,1.0,$k_{\phi}$,2.089376389054671,4.805614694308687e-10
MDAMB134,BMS-265246,3.162278,$k_{S}$,0.0050072979896065685,10944.331693779777
MDAMB134,BMS-265246,3.162278,$k_{G2}$,1e-07,10944.331693779777
MDAMB134,BMS-265246,3.162278,$k_{M}$$k_{G1}$,0.00438571841641589,10944.331693779777
MDAMB134,BMS-265246,3.162278,$k_{\phi}$,0.011924591522561428,10944.331693779777
MDAMB134,BMS-265246,3.162278,$k_{S}$,0.00370915720269014,16015.824969554802
