cell_line,agent,concentration,parameter,rate,obj_func
MDAMB134,YKL-5-124,0.01,$k_{S}$,0.002385849258680256,1.8395588378700681e-10
MDAMB134,YKL-5-124,0.01,$k_{G2}$,0.014200344791807382,1.8395588378700681e-10
MDAMB134,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.003921405223474148,1.8395588378700681e-10
MDAMB134,YKL-5-124,0.01,$k_{\phi}$,0.00666987135197444,1.8395588378700681e-10
MDAMB134,YKL-5-124,0.01,$k_{S}$,0.00033532980087168753,362.510943724757
MDAMB134,YKL-5-124,0.01,$k_{G2}$,0.00780531290811135,362.510943724757
MDAMB134,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.0019458375657551688,362.510943724757
MDAMB134,YKL-5-124,0.01,$k_{\phi}$,1e-07,362.510943724757
MDAMB134,YKL-5-124,0.01,$k_{S}$,0.004947345403103159,3.4985694316333903e-10
MDAMB134,YKL-5-124,0.01,$k_{G2}$,0.020837893546904573,3.4985694316333903e-10
MDAMB134,YKL-5-124,0.01,$k_{M}$$k_{G1}$,0.0038645352297940064,3.4985694316333903e-10
MDAMB134,YKL-5-124,0.01,$k_{\phi}$,0.5886196814012283,3.4985694316333903e-10
MDAMB134,YKL-5-124,3.162278,$k_{S}$,0.0007130841974553817,3.6535358087412757e-11
MDAMB134,YKL-5-124,3.162278,$k_{G2}$,0.0390256237786659,3.6535358087412757e-11
MDAMB134,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.002191939712468462,3.6535358087412757e-11
MDAMB134,YKL-5-124,3.162278,$k_{\phi}$,0.013420111760756883,3.6535358087412757e-11
MDAMB134,YKL-5-124,3.162278,$k_{S}$,0.0034231810674481534,3.6883304278750416e-10
MDAMB134,YKL-5-124,3.162278,$k_{G2}$,0.12133933172396162,3.6883304278750416e-10
MDAMB134,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.003754429947027554,3.6883304278750416e-10
MDAMB134,YKL-5-124,3.162278,$k_{\phi}$,0.4769906029345116,3.6883304278750416e-10
MDAMB134,YKL-5-124,3.162278,$k_{S}$,0.0007767032411348682,2.771342595479456e-11
MDAMB134,YKL-5-124,3.162278,$k_{G2}$,0.03832230233166044,2.771342595479456e-11
MDAMB134,YKL-5-124,3.162278,$k_{M}$$k_{G1}$,0.0015547713376279717,2.771342595479456e-11
MDAMB134,YKL-5-124,3.162278,$k_{\phi}$,0.03389439968756773,2.771342595479456e-11
MDAMB134,YKL-5-124,0.316228,$k_{S}$,0.002154366995223151,4.098968445403259e-11
MDAMB134,YKL-5-124,0.316228,$k_{G2}$,0.033080338491612925,4.098968445403259e-11
MDAMB134,YKL-5-124,0.316228,$k_{M}$$k_{G1}$,0.0032744661620133864,4.098968445403259e-11
MDAMB134,YKL-5-124,0.316228,$k_{\phi}$,0.015868058357958688,4.098968445403259e-11
MDAMB134,YKL-5-124,0.316228,$k_{S}$,3.203074242112003e-05,758.2744308502296
MDAMB134,YKL-5-124,0.316228,$k_{G2}$,0.021130809885638188,758.2744308502296
