cell_line,agent,concentration,parameter,rate,obj_func
MDAMB157,BSJ-03-124,0.003162,$k_{S}$,0.029706508081616054,1.4635815118838912e-10
MDAMB157,BSJ-03-124,0.003162,$k_{G2}$,0.06731816925681632,1.4635815118838912e-10
MDAMB157,BSJ-03-124,0.003162,$k_{M}$$k_{G1}$,0.028861133118173423,1.4635815118838912e-10
MDAMB157,BSJ-03-124,0.003162,$k_{\phi}$,0.3884093262185585,1.4635815118838912e-10
MDAMB157,BSJ-03-124,0.003162,$k_{S}$,0.006806301311349097,1.171666864117739e-10
MDAMB157,BSJ-03-124,0.003162,$k_{G2}$,0.010832786990808764,1.171666864117739e-10
MDAMB157,BSJ-03-124,0.003162,$k_{M}$$k_{G1}$,0.023270934107067424,1.171666864117739e-10
MDAMB157,BSJ-03-124,0.003162,$k_{\phi}$,0.07842021462418226,1.171666864117739e-10
MDAMB157,BSJ-03-124,0.003162,$k_{S}$,0.007053402835788976,5.703823676137933e-11
MDAMB157,BSJ-03-124,0.003162,$k_{G2}$,0.009519489456734401,5.703823676137933e-11
MDAMB157,BSJ-03-124,0.003162,$k_{M}$$k_{G1}$,0.031260335140477345,5.703823676137933e-11
MDAMB157,BSJ-03-124,0.003162,$k_{\phi}$,0.0769304018847689,5.703823676137933e-11
MDAMB157,BSJ-03-124,0.01,$k_{S}$,0.0366641844020501,1.565880300930854e-10
MDAMB157,BSJ-03-124,0.01,$k_{G2}$,0.05134744506319472,1.565880300930854e-10
MDAMB157,BSJ-03-124,0.01,$k_{M}$$k_{G1}$,0.026765378350171648,1.565880300930854e-10
MDAMB157,BSJ-03-124,0.01,$k_{\phi}$,0.3049757246438092,1.565880300930854e-10
MDAMB157,BSJ-03-124,0.01,$k_{S}$,0.03577033058742219,2.4489950929041205e-10
MDAMB157,BSJ-03-124,0.01,$k_{G2}$,0.07049112130844308,2.4489950929041205e-10
MDAMB157,BSJ-03-124,0.01,$k_{M}$$k_{G1}$,0.028302528917790906,2.4489950929041205e-10
MDAMB157,BSJ-03-124,0.01,$k_{\phi}$,0.40412155158554974,2.4489950929041205e-10
MDAMB157,BSJ-03-124,0.01,$k_{S}$,0.003851017287432294,42.66572866665413
MDAMB157,BSJ-03-124,0.01,$k_{G2}$,1e-07,42.66572866665413
MDAMB157,BSJ-03-124,0.01,$k_{M}$$k_{G1}$,0.013228423890954038,42.66572866665413
MDAMB157,BSJ-03-124,0.01,$k_{\phi}$,0.04160198896606532,42.66572866665413
MDAMB157,BSJ-03-124,0.1,$k_{S}$,0.012165068107566594,1.2306181546461645e-10
MDAMB157,BSJ-03-124,0.1,$k_{G2}$,0.018398574710645817,1.2306181546461645e-10
MDAMB157,BSJ-03-124,0.1,$k_{M}$$k_{G1}$,0.03109580856516494,1.2306181546461645e-10
MDAMB157,BSJ-03-124,0.1,$k_{\phi}$,0.0961927393967663,1.2306181546461645e-10
MDAMB157,BSJ-03-124,0.1,$k_{S}$,0.01388123694435204,6.475924912678729e-11
MDAMB157,BSJ-03-124,0.1,$k_{G2}$,0.023020164582829863,6.475924912678729e-11
MDAMB157,BSJ-03-124,0.1,$k_{M}$$k_{G1}$,0.037705669495665436,6.475924912678729e-11
MDAMB157,BSJ-03-124,0.1,$k_{\phi}$,0.08101659983594524,6.475924912678729e-11
MDAMB157,BSJ-03-124,0.1,$k_{S}$,0.022227410270777584,1.2447742432738592e-10
MDAMB157,BSJ-03-124,0.1,$k_{G2}$,0.04836779940051325,1.2447742432738592e-10
MDAMB157,BSJ-03-124,0.1,$k_{M}$$k_{G1}$,0.024209241537261263,1.2447742432738592e-10
MDAMB157,BSJ-03-124,0.1,$k_{\phi}$,0.1924713697668923,1.2447742432738592e-10
MDAMB157,BSJ-03-124,0.031623,$k_{S}$,0.0034329793222008407,251.38583485817767
MDAMB157,BSJ-03-124,0.031623,$k_{G2}$,1e-07,251.38583485817767
MDAMB157,BSJ-03-124,0.031623,$k_{M}$$k_{G1}$,0.010671582804487257,251.38583485817767
MDAMB157,BSJ-03-124,0.031623,$k_{\phi}$,0.0338639044842563,251.38583485817767
MDAMB157,BSJ-03-124,0.031623,$k_{S}$,0.007924078873171819,9.381351558286734e-11
MDAMB157,BSJ-03-124,0.031623,$k_{G2}$,0.006662191876509768,9.381351558286734e-11
