cell_line,agent,concentration,parameter,rate,obj_func
MDAMB157,MFH-2-90,0.0001,$k_{S}$,0.004617855569080064,1079.2270380638865
MDAMB157,MFH-2-90,0.0001,$k_{G2}$,1e-07,1079.2270380638865
MDAMB157,MFH-2-90,0.0001,$k_{M}$$k_{G1}$,0.008366416858608922,1079.2270380638865
MDAMB157,MFH-2-90,0.0001,$k_{\phi}$,0.022324989123814556,1079.2270380638865
MDAMB157,MFH-2-90,0.0001,$k_{S}$,0.02347320384754894,1.3797496888711578e-10
MDAMB157,MFH-2-90,0.0001,$k_{G2}$,0.023785487823220812,1.3797496888711578e-10
MDAMB157,MFH-2-90,0.0001,$k_{M}$$k_{G1}$,0.03697893985914962,1.3797496888711578e-10
MDAMB157,MFH-2-90,0.0001,$k_{\phi}$,0.1636441730571759,1.3797496888711578e-10
MDAMB157,MFH-2-90,0.0001,$k_{S}$,0.0064205999395481215,8.740218858234022e-11
MDAMB157,MFH-2-90,0.0001,$k_{G2}$,0.001441707854940864,8.740218858234022e-11
MDAMB157,MFH-2-90,0.0001,$k_{M}$$k_{G1}$,0.010870013310078057,8.740218858234022e-11
MDAMB157,MFH-2-90,0.0001,$k_{\phi}$,0.041106618410888765,8.740218858234022e-11
MDAMB157,MFH-2-90,0.003162,$k_{S}$,0.0013973727651202614,15546.250952309483
MDAMB157,MFH-2-90,0.003162,$k_{G2}$,0.004425920412854391,15546.250952309483
MDAMB157,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,0.010936308358773182,15546.250952309483
MDAMB157,MFH-2-90,0.003162,$k_{\phi}$,1e-07,15546.250952309483
MDAMB157,MFH-2-90,0.003162,$k_{S}$,0.0024559567692731534,17856.685199666586
MDAMB157,MFH-2-90,0.003162,$k_{G2}$,0.013065706749292468,17856.685199666586
MDAMB157,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,0.010534966432709824,17856.685199666586
MDAMB157,MFH-2-90,0.003162,$k_{\phi}$,1e-07,17856.685199666586
MDAMB157,MFH-2-90,0.003162,$k_{S}$,1e-07,9595.884453720904
MDAMB157,MFH-2-90,0.003162,$k_{G2}$,1e-07,9595.884453720904
MDAMB157,MFH-2-90,0.003162,$k_{M}$$k_{G1}$,0.008203950453451564,9595.884453720904
MDAMB157,MFH-2-90,0.003162,$k_{\phi}$,0.0039791941620522814,9595.884453720904
MDAMB157,MFH-2-90,1e-05,$k_{S}$,0.007099273946105993,4.191983065525143e-11
MDAMB157,MFH-2-90,1e-05,$k_{G2}$,0.004384219694335483,4.191983065525143e-11
MDAMB157,MFH-2-90,1e-05,$k_{M}$$k_{G1}$,0.017153764369619046,4.191983065525143e-11
MDAMB157,MFH-2-90,1e-05,$k_{\phi}$,0.04185932483921235,4.191983065525143e-11
MDAMB157,MFH-2-90,1e-05,$k_{S}$,0.025921229187912165,1.5234717845831468e-10
MDAMB157,MFH-2-90,1e-05,$k_{G2}$,0.05290465619143166,1.5234717845831468e-10
MDAMB157,MFH-2-90,1e-05,$k_{M}$$k_{G1}$,0.02584157019905313,1.5234717845831468e-10
MDAMB157,MFH-2-90,1e-05,$k_{\phi}$,0.1702650864264467,1.5234717845831468e-10
MDAMB157,MFH-2-90,1e-05,$k_{S}$,0.006437552335216647,2021.1441279161693
MDAMB157,MFH-2-90,1e-05,$k_{G2}$,1e-07,2021.1441279161693
MDAMB157,MFH-2-90,1e-05,$k_{M}$$k_{G1}$,0.006451112689928238,2021.1441279161693
MDAMB157,MFH-2-90,1e-05,$k_{\phi}$,0.015383830786895586,2021.1441279161693
MDAMB157,MFH-2-90,0.000316,$k_{S}$,0.007147109377459713,8.817321466639606e-11
MDAMB157,MFH-2-90,0.000316,$k_{G2}$,0.004433091202424245,8.817321466639606e-11
MDAMB157,MFH-2-90,0.000316,$k_{M}$$k_{G1}$,0.014971061061589018,8.817321466639606e-11
MDAMB157,MFH-2-90,0.000316,$k_{\phi}$,0.04917932612175809,8.817321466639606e-11
MDAMB157,MFH-2-90,0.000316,$k_{S}$,0.021664595498753707,1.2503680149626605e-10
MDAMB157,MFH-2-90,0.000316,$k_{G2}$,0.04710208707751384,1.2503680149626605e-10
MDAMB157,MFH-2-90,0.000316,$k_{M}$$k_{G1}$,0.035855825042735275,1.2503680149626605e-10
