cell_line,agent,concentration,parameter,rate,obj_func
MDAMB157,senexinb,0.031623,$k_{S}$,0.033853413647422476,1.0855117474060246e-10
MDAMB157,senexinb,0.031623,$k_{G2}$,0.06679812415148512,1.0855117474060246e-10
MDAMB157,senexinb,0.031623,$k_{M}$$k_{G1}$,0.0251806957603868,1.0855117474060246e-10
MDAMB157,senexinb,0.031623,$k_{\phi}$,0.27125616480984666,1.0855117474060246e-10
MDAMB157,senexinb,0.031623,$k_{S}$,0.02926665702409113,1.631494081657808e-10
MDAMB157,senexinb,0.031623,$k_{G2}$,0.06268229742116747,1.631494081657808e-10
MDAMB157,senexinb,0.031623,$k_{M}$$k_{G1}$,0.025457160250415996,1.631494081657808e-10
MDAMB157,senexinb,0.031623,$k_{\phi}$,0.5005831928941404,1.631494081657808e-10
MDAMB157,senexinb,0.031623,$k_{S}$,0.03254121751045501,8.588650349654117e-11
MDAMB157,senexinb,0.031623,$k_{G2}$,0.052983617229334916,8.588650349654117e-11
MDAMB157,senexinb,0.031623,$k_{M}$$k_{G1}$,0.024110337951708586,8.588650349654117e-11
MDAMB157,senexinb,0.031623,$k_{\phi}$,0.9229818950007229,8.588650349654117e-11
MDAMB157,senexinb,0.003162,$k_{S}$,0.009147654012240946,2.0351791304779045e-10
MDAMB157,senexinb,0.003162,$k_{G2}$,0.009225977765898424,2.0351791304779045e-10
MDAMB157,senexinb,0.003162,$k_{M}$$k_{G1}$,0.023667487933119364,2.0351791304779045e-10
MDAMB157,senexinb,0.003162,$k_{\phi}$,0.08617231184480854,2.0351791304779045e-10
MDAMB157,senexinb,0.003162,$k_{S}$,0.031809987202269144,8.4581589686356e-11
MDAMB157,senexinb,0.003162,$k_{G2}$,0.059688661251105196,8.4581589686356e-11
MDAMB157,senexinb,0.003162,$k_{M}$$k_{G1}$,0.0315278471632124,8.4581589686356e-11
MDAMB157,senexinb,0.003162,$k_{\phi}$,0.23713804529030968,8.4581589686356e-11
MDAMB157,senexinb,0.003162,$k_{S}$,0.011321349391686211,1.4782650159291987e-10
MDAMB157,senexinb,0.003162,$k_{G2}$,0.015801423965998835,1.4782650159291987e-10
MDAMB157,senexinb,0.003162,$k_{M}$$k_{G1}$,0.023097384272363162,1.4782650159291987e-10
MDAMB157,senexinb,0.003162,$k_{\phi}$,0.092357115619639,1.4782650159291987e-10
MDAMB157,senexinb,1.0,$k_{S}$,0.026791858952864935,1.1349114376949568e-10
MDAMB157,senexinb,1.0,$k_{G2}$,0.055209031261895955,1.1349114376949568e-10
MDAMB157,senexinb,1.0,$k_{M}$$k_{G1}$,0.020413721892249617,1.1349114376949568e-10
MDAMB157,senexinb,1.0,$k_{\phi}$,0.2831691194155497,1.1349114376949568e-10
MDAMB157,senexinb,1.0,$k_{S}$,0.038564901178901836,1.636816860963427e-10
MDAMB157,senexinb,1.0,$k_{G2}$,0.05503035844674459,1.636816860963427e-10
MDAMB157,senexinb,1.0,$k_{M}$$k_{G1}$,0.028055048601644803,1.636816860963427e-10
MDAMB157,senexinb,1.0,$k_{\phi}$,0.307190399608819,1.636816860963427e-10
MDAMB157,senexinb,1.0,$k_{S}$,0.005785505621305148,1.4496143491268324e-10
MDAMB157,senexinb,1.0,$k_{G2}$,0.003383320533570331,1.4496143491268324e-10
MDAMB157,senexinb,1.0,$k_{M}$$k_{G1}$,0.013302073444677426,1.4496143491268324e-10
MDAMB157,senexinb,1.0,$k_{\phi}$,0.06509318584873738,1.4496143491268324e-10
MDAMB157,senexinb,0.001,$k_{S}$,0.024879506029978682,7.746326977476402e-11
MDAMB157,senexinb,0.001,$k_{G2}$,0.046520884639903934,7.746326977476402e-11
MDAMB157,senexinb,0.001,$k_{M}$$k_{G1}$,0.019868584581932688,7.746326977476402e-11
MDAMB157,senexinb,0.001,$k_{\phi}$,0.20619112704660386,7.746326977476402e-11
