cell_line,agent,concentration,parameter,rate,obj_func
MDAMB361,CDK1_2iIII,0.1,$k_{S}$,0.011171262935295294,4.2731220947725837e-10
MDAMB361,CDK1_2iIII,0.1,$k_{G2}$,0.05763230723974351,4.2731220947725837e-10
MDAMB361,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.021682223234935915,4.2731220947725837e-10
MDAMB361,CDK1_2iIII,0.1,$k_{\phi}$,0.31539579430862863,4.2731220947725837e-10
MDAMB361,CDK1_2iIII,0.1,$k_{S}$,0.009319215694409032,1.5050114489204797e-10
MDAMB361,CDK1_2iIII,0.1,$k_{G2}$,0.04037419267969026,1.5050114489204797e-10
MDAMB361,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.02409664591623981,1.5050114489204797e-10
MDAMB361,CDK1_2iIII,0.1,$k_{\phi}$,0.1497215649428533,1.5050114489204797e-10
MDAMB361,CDK1_2iIII,0.1,$k_{S}$,0.01141994948130033,2.3247282561137e-10
MDAMB361,CDK1_2iIII,0.1,$k_{G2}$,0.05598165617972394,2.3247282561137e-10
MDAMB361,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.020352698730392138,2.3247282561137e-10
MDAMB361,CDK1_2iIII,0.1,$k_{\phi}$,0.14750450492449443,2.3247282561137e-10
MDAMB361,CDK1_2iIII,0.1,$k_{S}$,0.008426926131928811,4.930910497483717e-10
MDAMB361,CDK1_2iIII,0.1,$k_{G2}$,0.03888101269701959,4.930910497483717e-10
MDAMB361,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.011475455272019255,4.930910497483717e-10
MDAMB361,CDK1_2iIII,0.1,$k_{\phi}$,0.09200567743859148,4.930910497483717e-10
MDAMB361,CDK1_2iIII,0.1,$k_{S}$,0.015102776924183343,1.212513839298901e-10
MDAMB361,CDK1_2iIII,0.1,$k_{G2}$,0.08400496253058667,1.212513839298901e-10
MDAMB361,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.029207644183556813,1.212513839298901e-10
MDAMB361,CDK1_2iIII,0.1,$k_{\phi}$,0.19403365780718287,1.212513839298901e-10
MDAMB361,CDK1_2iIII,0.1,$k_{S}$,0.012858862726270475,3.621796466496521e-10
MDAMB361,CDK1_2iIII,0.1,$k_{G2}$,0.06173381551135848,3.621796466496521e-10
MDAMB361,CDK1_2iIII,0.1,$k_{M}$$k_{G1}$,0.018427250401272664,3.621796466496521e-10
MDAMB361,CDK1_2iIII,0.1,$k_{\phi}$,0.1441886659957175,3.621796466496521e-10
