cell_line,agent,concentration,parameter,rate,obj_func
MDAMB361,THZ1,0.003162,$k_{S}$,0.008055942556238555,1.5662722968008254e-10
MDAMB361,THZ1,0.003162,$k_{G2}$,0.025306670976106085,1.5662722968008254e-10
MDAMB361,THZ1,0.003162,$k_{M}$$k_{G1}$,0.030339159118338253,1.5662722968008254e-10
MDAMB361,THZ1,0.003162,$k_{\phi}$,0.5076940082032444,1.5662722968008254e-10
MDAMB361,THZ1,0.003162,$k_{S}$,0.009554252390068917,1.9772504896232456e-10
MDAMB361,THZ1,0.003162,$k_{G2}$,0.026174332875013077,1.9772504896232456e-10
MDAMB361,THZ1,0.003162,$k_{M}$$k_{G1}$,0.03417729271983541,1.9772504896232456e-10
MDAMB361,THZ1,0.003162,$k_{\phi}$,0.4322151129903209,1.9772504896232456e-10
MDAMB361,THZ1,0.003162,$k_{S}$,0.016233210666218044,3.702788264220632e-10
MDAMB361,THZ1,0.003162,$k_{G2}$,0.04275470364811605,3.702788264220632e-10
MDAMB361,THZ1,0.003162,$k_{M}$$k_{G1}$,0.05667656920751047,3.702788264220632e-10
MDAMB361,THZ1,0.003162,$k_{\phi}$,0.47188976890714424,3.702788264220632e-10
MDAMB361,THZ1,0.01,$k_{S}$,0.010717423346888572,7.376533935054559e-10
MDAMB361,THZ1,0.01,$k_{G2}$,0.018161597996528913,7.376533935054559e-10
MDAMB361,THZ1,0.01,$k_{M}$$k_{G1}$,0.0315628318406206,7.376533935054559e-10
MDAMB361,THZ1,0.01,$k_{\phi}$,0.2476885283703806,7.376533935054559e-10
MDAMB361,THZ1,0.01,$k_{S}$,0.011880137975433613,7.42425022117788e-10
MDAMB361,THZ1,0.01,$k_{G2}$,0.016425205610999253,7.42425022117788e-10
MDAMB361,THZ1,0.01,$k_{M}$$k_{G1}$,0.032131181767959,7.42425022117788e-10
MDAMB361,THZ1,0.01,$k_{\phi}$,0.3168718362977491,7.42425022117788e-10
MDAMB361,THZ1,0.01,$k_{S}$,0.014964156995138771,4.374456316594295e-10
MDAMB361,THZ1,0.01,$k_{G2}$,0.02644723286072241,4.374456316594295e-10
MDAMB361,THZ1,0.01,$k_{M}$$k_{G1}$,0.055038571367548784,4.374456316594295e-10
MDAMB361,THZ1,0.01,$k_{\phi}$,0.707629339996859,4.374456316594295e-10
MDAMB361,THZ1,0.000316,$k_{S}$,0.016274207478128494,4.275658575543541e-06
MDAMB361,THZ1,0.000316,$k_{G2}$,0.05386438453350879,4.275658575543541e-06
MDAMB361,THZ1,0.000316,$k_{M}$$k_{G1}$,0.05860698564656652,4.275658575543541e-06
MDAMB361,THZ1,0.000316,$k_{\phi}$,0.5706481914603055,4.275658575543541e-06
MDAMB361,THZ1,0.000316,$k_{S}$,0.01146204315651405,1.8063976118817715e-10
MDAMB361,THZ1,0.000316,$k_{G2}$,0.036649437824789556,1.8063976118817715e-10
