cell_line,agent,concentration,parameter,rate,obj_func
MDAMB361,Torin2,0.1,$k_{S}$,1e-07,16562.848084077523
MDAMB361,Torin2,0.1,$k_{G2}$,0.008527707287160692,16562.848084077523
MDAMB361,Torin2,0.1,$k_{M}$$k_{G1}$,0.006935539104096214,16562.848084077523
MDAMB361,Torin2,0.1,$k_{\phi}$,1e-07,16562.848084077523
MDAMB361,Torin2,0.1,$k_{S}$,0.0015575233829711636,32275.47390433434
MDAMB361,Torin2,0.1,$k_{G2}$,0.01508588604461572,32275.47390433434
MDAMB361,Torin2,0.1,$k_{M}$$k_{G1}$,0.008574927263170124,32275.47390433434
MDAMB361,Torin2,0.1,$k_{\phi}$,1e-07,32275.47390433434
MDAMB361,Torin2,0.1,$k_{S}$,0.0003638326040139593,22273.525146389882
MDAMB361,Torin2,0.1,$k_{G2}$,0.007942413860326165,22273.525146389882
MDAMB361,Torin2,0.1,$k_{M}$$k_{G1}$,0.005464044528685363,22273.525146389882
MDAMB361,Torin2,0.1,$k_{\phi}$,1e-07,22273.525146389882
MDAMB361,Torin2,0.1,$k_{S}$,1e-07,12374.126225546006
MDAMB361,Torin2,0.1,$k_{G2}$,0.009068656673640273,12374.126225546006
MDAMB361,Torin2,0.1,$k_{M}$$k_{G1}$,0.003922804431615727,12374.126225546006
MDAMB361,Torin2,0.1,$k_{\phi}$,1e-07,12374.126225546006
MDAMB361,Torin2,0.1,$k_{S}$,1e-07,11207.098097548496
MDAMB361,Torin2,0.1,$k_{G2}$,0.010806088367457297,11207.098097548496
MDAMB361,Torin2,0.1,$k_{M}$$k_{G1}$,0.009682144383633203,11207.098097548496
MDAMB361,Torin2,0.1,$k_{\phi}$,1e-07,11207.098097548496
MDAMB361,Torin2,0.1,$k_{S}$,0.00035011801991471995,18938.068214000807
MDAMB361,Torin2,0.1,$k_{G2}$,0.010016988479671578,18938.068214000807
MDAMB361,Torin2,0.1,$k_{M}$$k_{G1}$,0.008125008016861536,18938.068214000807
MDAMB361,Torin2,0.1,$k_{\phi}$,1e-07,18938.068214000807
