cell_line,agent,concentration,parameter,rate,obj_func
MDAMB436,LEE011_Ribociclib,10.0,$k_{S}$,0.038150880870771765,2.391181102637151e-10
MDAMB436,LEE011_Ribociclib,10.0,$k_{G2}$,0.05000326758186698,2.391181102637151e-10
MDAMB436,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.059569107380832216,2.391181102637151e-10
MDAMB436,LEE011_Ribociclib,10.0,$k_{\phi}$,0.35420468539855887,2.391181102637151e-10
MDAMB436,LEE011_Ribociclib,10.0,$k_{S}$,0.04264806781255686,8.609937553957172e-11
MDAMB436,LEE011_Ribociclib,10.0,$k_{G2}$,0.05398024276930581,8.609937553957172e-11
MDAMB436,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.08135333732059803,8.609937553957172e-11
MDAMB436,LEE011_Ribociclib,10.0,$k_{\phi}$,0.21910425976602638,8.609937553957172e-11
MDAMB436,LEE011_Ribociclib,10.0,$k_{S}$,0.04219334738016936,2.6277402285961413e-10
MDAMB436,LEE011_Ribociclib,10.0,$k_{G2}$,0.038999305776152265,2.6277402285961413e-10
MDAMB436,LEE011_Ribociclib,10.0,$k_{M}$$k_{G1}$,0.06452460967432941,2.6277402285961413e-10
MDAMB436,LEE011_Ribociclib,10.0,$k_{\phi}$,0.3070967110852136,2.6277402285961413e-10
MDAMB436,LEE011_Ribociclib,1.0,$k_{S}$,0.04424221870612419,1.0572389365396567e-10
MDAMB436,LEE011_Ribociclib,1.0,$k_{G2}$,0.059799957067238195,1.0572389365396567e-10
MDAMB436,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.07438127118107456,1.0572389365396567e-10
MDAMB436,LEE011_Ribociclib,1.0,$k_{\phi}$,0.15418090976813997,1.0572389365396567e-10
MDAMB436,LEE011_Ribociclib,1.0,$k_{S}$,0.03533452619287757,3.780347223666776e-10
MDAMB436,LEE011_Ribociclib,1.0,$k_{G2}$,0.04549442988666486,3.780347223666776e-10
MDAMB436,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.0483215133906154,3.780347223666776e-10
MDAMB436,LEE011_Ribociclib,1.0,$k_{\phi}$,0.3148119535384481,3.780347223666776e-10
MDAMB436,LEE011_Ribociclib,1.0,$k_{S}$,0.038195996679870045,4.722623744262949e-10
MDAMB436,LEE011_Ribociclib,1.0,$k_{G2}$,0.04203978610616056,4.722623744262949e-10
MDAMB436,LEE011_Ribociclib,1.0,$k_{M}$$k_{G1}$,0.05912656504829342,4.722623744262949e-10
MDAMB436,LEE011_Ribociclib,1.0,$k_{\phi}$,0.40894751259441614,4.722623744262949e-10
MDAMB436,LEE011_Ribociclib,3.162278,$k_{S}$,0.042041077159632095,2.4249461905851193e-10
MDAMB436,LEE011_Ribociclib,3.162278,$k_{G2}$,0.04622993880843216,2.4249461905851193e-10
MDAMB436,LEE011_Ribociclib,3.162278,$k_{M}$$k_{G1}$,0.06452277648957445,2.4249461905851193e-10
