cell_line,agent,concentration,parameter,rate,obj_func
MDAMB436,LY2606368,0.01,$k_{S}$,0.0030898037962246313,794.5702031444115
MDAMB436,LY2606368,0.01,$k_{G2}$,0.04521112044801043,794.5702031444115
MDAMB436,LY2606368,0.01,$k_{M}$$k_{G1}$,0.008450469252391827,794.5702031444115
MDAMB436,LY2606368,0.01,$k_{\phi}$,1e-07,794.5702031444115
MDAMB436,LY2606368,0.01,$k_{S}$,0.003670420125806722,8633.49834959778
MDAMB436,LY2606368,0.01,$k_{G2}$,0.03303097121244745,8633.49834959778
MDAMB436,LY2606368,0.01,$k_{M}$$k_{G1}$,1e-07,8633.49834959778
MDAMB436,LY2606368,0.01,$k_{\phi}$,0.0020216723645533844,8633.49834959778
MDAMB436,LY2606368,0.01,$k_{S}$,0.0025143800464175908,12391.311927824045
MDAMB436,LY2606368,0.01,$k_{G2}$,0.02346851997887024,12391.311927824045
MDAMB436,LY2606368,0.01,$k_{M}$$k_{G1}$,1e-07,12391.311927824045
MDAMB436,LY2606368,0.01,$k_{\phi}$,1e-07,12391.311927824045
MDAMB436,LY2606368,0.000316,$k_{S}$,0.039911121176144454,5.860565432405079e-10
MDAMB436,LY2606368,0.000316,$k_{G2}$,0.046819136050880665,5.860565432405079e-10
MDAMB436,LY2606368,0.000316,$k_{M}$$k_{G1}$,0.060604772152825094,5.860565432405079e-10
MDAMB436,LY2606368,0.000316,$k_{\phi}$,0.5900205177358251,5.860565432405079e-10
MDAMB436,LY2606368,0.000316,$k_{S}$,0.046589635248069625,2.476589488064977e-10
MDAMB436,LY2606368,0.000316,$k_{G2}$,0.046720008213475994,2.476589488064977e-10
MDAMB436,LY2606368,0.000316,$k_{M}$$k_{G1}$,0.06587241376452581,2.476589488064977e-10
MDAMB436,LY2606368,0.000316,$k_{\phi}$,0.3500852669673932,2.476589488064977e-10
MDAMB436,LY2606368,0.000316,$k_{S}$,0.03743053504278595,3.719803377346391e-10
MDAMB436,LY2606368,0.000316,$k_{G2}$,0.03949264061879819,3.719803377346391e-10
MDAMB436,LY2606368,0.000316,$k_{M}$$k_{G1}$,0.06547325993822027,3.719803377346391e-10
MDAMB436,LY2606368,0.000316,$k_{\phi}$,0.42570397610666344,3.719803377346391e-10
MDAMB436,LY2606368,0.001,$k_{S}$,0.004497653863730148,673.5045464895616
MDAMB436,LY2606368,0.001,$k_{G2}$,0.0469989855627077,673.5045464895616
MDAMB436,LY2606368,0.001,$k_{M}$$k_{G1}$,0.004851184307033825,673.5045464895616
MDAMB436,LY2606368,0.001,$k_{\phi}$,1e-07,673.5045464895616
