cell_line,agent,concentration,parameter,rate,obj_func
MDAMB453,E17,0.000316,$k_{S}$,0.050258780209956826,9.62884161369712e-10
MDAMB453,E17,0.000316,$k_{G2}$,0.046025819215196315,9.62884161369712e-10
MDAMB453,E17,0.000316,$k_{M}$$k_{G1}$,0.11881600811810243,9.62884161369712e-10
MDAMB453,E17,0.000316,$k_{\phi}$,0.40202946164247433,9.62884161369712e-10
MDAMB453,E17,0.000316,$k_{S}$,0.04456762702780205,6.975947743583862e-10
MDAMB453,E17,0.000316,$k_{G2}$,0.03534446575036675,6.975947743583862e-10
MDAMB453,E17,0.000316,$k_{M}$$k_{G1}$,0.1064711898666991,6.975947743583862e-10
MDAMB453,E17,0.000316,$k_{\phi}$,0.4055702937538675,6.975947743583862e-10
MDAMB453,E17,0.000316,$k_{S}$,0.05952900958508118,3.9777142634137935e-10
MDAMB453,E17,0.000316,$k_{G2}$,0.05312897425465005,3.9777142634137935e-10
MDAMB453,E17,0.000316,$k_{M}$$k_{G1}$,0.21360908467879644,3.9777142634137935e-10
MDAMB453,E17,0.000316,$k_{\phi}$,0.34188188586141266,3.9777142634137935e-10
MDAMB453,E17,0.1,$k_{S}$,0.0035345127064971764,49921.56002290782
MDAMB453,E17,0.1,$k_{G2}$,0.023378911473735955,49921.56002290782
MDAMB453,E17,0.1,$k_{M}$$k_{G1}$,0.008891359047830989,49921.56002290782
MDAMB453,E17,0.1,$k_{\phi}$,1e-07,49921.56002290782
MDAMB453,E17,0.1,$k_{S}$,0.0023253801522118184,16543.601669878266
MDAMB453,E17,0.1,$k_{G2}$,0.024176520004911686,16543.601669878266
MDAMB453,E17,0.1,$k_{M}$$k_{G1}$,0.0036400512954768856,16543.601669878266
MDAMB453,E17,0.1,$k_{\phi}$,1e-07,16543.601669878266
MDAMB453,E17,0.1,$k_{S}$,0.0032301657163913817,78778.28268915539
MDAMB453,E17,0.1,$k_{G2}$,0.017563628786297174,78778.28268915539
MDAMB453,E17,0.1,$k_{M}$$k_{G1}$,0.010781899127748374,78778.28268915539
MDAMB453,E17,0.1,$k_{\phi}$,1e-07,78778.28268915539
MDAMB453,E17,0.003162,$k_{S}$,0.04848839648470884,1.2053743785067738e-09
MDAMB453,E17,0.003162,$k_{G2}$,0.051582178430034764,1.2053743785067738e-09
MDAMB453,E17,0.003162,$k_{M}$$k_{G1}$,0.16822256647421904,1.2053743785067738e-09
MDAMB453,E17,0.003162,$k_{\phi}$,0.5930566781092313,1.2053743785067738e-09
MDAMB453,E17,0.003162,$k_{S}$,0.0021934343372359767,29738.6236520153
MDAMB453,E17,0.003162,$k_{G2}$,0.021074018413486273,29738.6236520153
MDAMB453,E17,0.003162,$k_{M}$$k_{G1}$,0.00569756379767309,29738.6236520153
MDAMB453,E17,0.003162,$k_{\phi}$,1e-07,29738.6236520153
MDAMB453,E17,0.003162,$k_{S}$,0.0064713243572675095,109996.41066111231
MDAMB453,E17,0.003162,$k_{G2}$,0.02242156895688191,109996.41066111231
MDAMB453,E17,0.003162,$k_{M}$$k_{G1}$,0.010763131987064732,109996.41066111231
MDAMB453,E17,0.003162,$k_{\phi}$,1e-07,109996.41066111231
MDAMB453,E17,0.001,$k_{S}$,0.014004452164655814,2.830494461595898e-10
MDAMB453,E17,0.001,$k_{G2}$,0.03439451948123839,2.830494461595898e-10
MDAMB453,E17,0.001,$k_{M}$$k_{G1}$,0.029146033402368134,2.830494461595898e-10
MDAMB453,E17,0.001,$k_{\phi}$,0.07821294878075907,2.830494461595898e-10
MDAMB453,E17,0.001,$k_{S}$,0.013889527926734972,2.1811316336576472e-10
MDAMB453,E17,0.001,$k_{G2}$,0.03202376972157047,2.1811316336576472e-10
MDAMB453,E17,0.001,$k_{M}$$k_{G1}$,0.02176921492266693,2.1811316336576472e-10
MDAMB453,E17,0.001,$k_{\phi}$,0.20111890690334525,2.1811316336576472e-10
MDAMB453,E17,0.001,$k_{S}$,0.008501200203304773,9.349692037241365
MDAMB453,E17,0.001,$k_{G2}$,0.01302973796208,9.349692037241365
MDAMB453,E17,0.001,$k_{M}$$k_{G1}$,0.04368180121539476,9.349692037241365
MDAMB453,E17,0.001,$k_{\phi}$,0.0364604292022775,9.349692037241365
MDAMB453,E17,0.0001,$k_{S}$,0.050754037620740516,9.769951021697342e-10
MDAMB453,E17,0.0001,$k_{G2}$,0.046583152251767235,9.769951021697342e-10
MDAMB453,E17,0.0001,$k_{M}$$k_{G1}$,0.13549910897752476,9.769951021697342e-10
MDAMB453,E17,0.0001,$k_{\phi}$,0.5710683530087459,9.769951021697342e-10
MDAMB453,E17,0.0001,$k_{S}$,0.05306570119754244,1.0710258383700706e-09
MDAMB453,E17,0.0001,$k_{G2}$,0.04495910261974976,1.0710258383700706e-09
MDAMB453,E17,0.0001,$k_{M}$$k_{G1}$,0.1570191148417776,1.0710258383700706e-09
MDAMB453,E17,0.0001,$k_{\phi}$,0.8358224705479879,1.0710258383700706e-09
MDAMB453,E17,0.0001,$k_{S}$,0.05963308515376595,49.895710613996265
MDAMB453,E17,0.0001,$k_{G2}$,0.04595295251516919,49.895710613996265
MDAMB453,E17,0.0001,$k_{M}$$k_{G1}$,0.18637893855694837,49.895710613996265
MDAMB453,E17,0.0001,$k_{\phi}$,0.27182838871363174,49.895710613996265
MDAMB453,E17,0.01,$k_{S}$,0.001184249436442439,39891.66271214282
MDAMB453,E17,0.01,$k_{G2}$,0.014658055502498908,39891.66271214282
MDAMB453,E17,0.01,$k_{M}$$k_{G1}$,0.008514531628844291,39891.66271214282
MDAMB453,E17,0.01,$k_{\phi}$,1e-07,39891.66271214282
MDAMB453,E17,0.01,$k_{S}$,0.0018049831146758108,24027.342904176538
MDAMB453,E17,0.01,$k_{G2}$,0.018236213822910494,24027.342904176538
MDAMB453,E17,0.01,$k_{M}$$k_{G1}$,0.005021413726491612,24027.342904176538
MDAMB453,E17,0.01,$k_{\phi}$,1e-07,24027.342904176538
