cell_line,agent,concentration,parameter,rate,obj_func
MDAMB453,Flavopiridol,0.003162,$k_{S}$,0.04267022170126986,6.477946505422312e-10
MDAMB453,Flavopiridol,0.003162,$k_{G2}$,0.040921347753065045,6.477946505422312e-10
MDAMB453,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.13548897047773661,6.477946505422312e-10
MDAMB453,Flavopiridol,0.003162,$k_{\phi}$,0.3535478883667192,6.477946505422312e-10
MDAMB453,Flavopiridol,0.003162,$k_{S}$,0.047011644238340984,1.0780457716753034e-09
MDAMB453,Flavopiridol,0.003162,$k_{G2}$,0.03868899282681903,1.0780457716753034e-09
MDAMB453,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.11174560289873084,1.0780457716753034e-09
MDAMB453,Flavopiridol,0.003162,$k_{\phi}$,0.9321510744706221,1.0780457716753034e-09
MDAMB453,Flavopiridol,0.003162,$k_{S}$,0.04544357835586632,0.0037973637627159514
MDAMB453,Flavopiridol,0.003162,$k_{G2}$,0.04181045445206393,0.0037973637627159514
MDAMB453,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.15865427035879678,0.0037973637627159514
MDAMB453,Flavopiridol,0.003162,$k_{\phi}$,0.1461800456218826,0.0037973637627159514
MDAMB453,Flavopiridol,1.0,$k_{S}$,0.002800344297494805,12560.814163536434
MDAMB453,Flavopiridol,1.0,$k_{G2}$,0.03847834208773755,12560.814163536434
MDAMB453,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.0032321045130351243,12560.814163536434
MDAMB453,Flavopiridol,1.0,$k_{\phi}$,1e-07,12560.814163536434
MDAMB453,Flavopiridol,1.0,$k_{S}$,0.0065081093088107935,14537.627724231628
MDAMB453,Flavopiridol,1.0,$k_{G2}$,0.00849692035147709,14537.627724231628
MDAMB453,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.003976013454436479,14537.627724231628
MDAMB453,Flavopiridol,1.0,$k_{\phi}$,1e-07,14537.627724231628
MDAMB453,Flavopiridol,1.0,$k_{S}$,0.003178268946271155,22931.019206620622
MDAMB453,Flavopiridol,1.0,$k_{G2}$,0.034078392548690974,22931.019206620622
MDAMB453,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.00624862576796248,22931.019206620622
MDAMB453,Flavopiridol,1.0,$k_{\phi}$,1e-07,22931.019206620622
MDAMB453,Flavopiridol,0.001,$k_{S}$,0.03814892940805742,5.929974045081466e-10
MDAMB453,Flavopiridol,0.001,$k_{G2}$,0.03603162726908101,5.929974045081466e-10
MDAMB453,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.10690052026110886,5.929974045081466e-10
MDAMB453,Flavopiridol,0.001,$k_{\phi}$,0.2570540845615813,5.929974045081466e-10
MDAMB453,Flavopiridol,0.001,$k_{S}$,0.048864326918664186,7.363482400400666e-10
MDAMB453,Flavopiridol,0.001,$k_{G2}$,0.040703942858693144,7.363482400400666e-10
MDAMB453,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.1672371102758379,7.363482400400666e-10
MDAMB453,Flavopiridol,0.001,$k_{\phi}$,0.49371235866177793,7.363482400400666e-10
MDAMB453,Flavopiridol,0.001,$k_{S}$,0.052130668889123585,65.01091488246294
MDAMB453,Flavopiridol,0.001,$k_{G2}$,0.04330638469351711,65.01091488246294
MDAMB453,Flavopiridol,0.001,$k_{M}$$k_{G1}$,0.19826873371576528,65.01091488246294
MDAMB453,Flavopiridol,0.001,$k_{\phi}$,0.22628109071611865,65.01091488246294
MDAMB453,Flavopiridol,0.0001,$k_{S}$,0.06161597187579514,1.0698359010943161e-09
MDAMB453,Flavopiridol,0.0001,$k_{G2}$,0.04773857507051567,1.0698359010943161e-09
MDAMB453,Flavopiridol,0.0001,$k_{M}$$k_{G1}$,0.15654885499501836,1.0698359010943161e-09
MDAMB453,Flavopiridol,0.0001,$k_{\phi}$,0.4945758347965229,1.0698359010943161e-09
MDAMB453,Flavopiridol,0.0001,$k_{S}$,0.05554842877478232,1.1193530801290122e-09
MDAMB453,Flavopiridol,0.0001,$k_{G2}$,0.04060296306756357,1.1193530801290122e-09
MDAMB453,Flavopiridol,0.0001,$k_{M}$$k_{G1}$,0.12438697418052078,1.1193530801290122e-09
MDAMB453,Flavopiridol,0.0001,$k_{\phi}$,0.5639630403656131,1.1193530801290122e-09
MDAMB453,Flavopiridol,0.0001,$k_{S}$,0.05971877174394122,7.670705833202708e-10
MDAMB453,Flavopiridol,0.0001,$k_{G2}$,0.044317930893319875,7.670705833202708e-10
MDAMB453,Flavopiridol,0.0001,$k_{M}$$k_{G1}$,0.19474832255072663,7.670705833202708e-10
MDAMB453,Flavopiridol,0.0001,$k_{\phi}$,0.29089722990930034,7.670705833202708e-10
MDAMB453,Flavopiridol,0.01,$k_{S}$,0.049779811330837434,1.3645339452794708e-09
MDAMB453,Flavopiridol,0.01,$k_{G2}$,0.04490905049978459,1.3645339452794708e-09
MDAMB453,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.08635523540726399,1.3645339452794708e-09
MDAMB453,Flavopiridol,0.01,$k_{\phi}$,22.26532718539934,1.3645339452794708e-09
MDAMB453,Flavopiridol,0.01,$k_{S}$,0.04524823507075341,4.679377872004454e-10
MDAMB453,Flavopiridol,0.01,$k_{G2}$,0.03896907969148682,4.679377872004454e-10
MDAMB453,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.13458528226625854,4.679377872004454e-10
MDAMB453,Flavopiridol,0.01,$k_{\phi}$,0.5802485954143223,4.679377872004454e-10
MDAMB453,Flavopiridol,0.01,$k_{S}$,0.0587348454494764,9.38221705525083
MDAMB453,Flavopiridol,0.01,$k_{G2}$,0.0445745671267491,9.38221705525083
MDAMB453,Flavopiridol,0.01,$k_{M}$$k_{G1}$,0.14927566102613035,9.38221705525083
MDAMB453,Flavopiridol,0.01,$k_{\phi}$,0.2595971430911587,9.38221705525083
MDAMB453,Flavopiridol,0.1,$k_{S}$,0.030048101881303402,6.095943712426922e-10
MDAMB453,Flavopiridol,0.1,$k_{G2}$,0.05296518009380416,6.095943712426922e-10
MDAMB453,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.06372708505255945,6.095943712426922e-10
MDAMB453,Flavopiridol,0.1,$k_{\phi}$,0.7781797261430436,6.095943712426922e-10
MDAMB453,Flavopiridol,0.1,$k_{S}$,0.029155350821302977,2.0699593635988133e-10
MDAMB453,Flavopiridol,0.1,$k_{G2}$,0.04473957113693243,2.0699593635988133e-10
MDAMB453,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.07166535529020203,2.0699593635988133e-10
MDAMB453,Flavopiridol,0.1,$k_{\phi}$,0.33575847060079334,2.0699593635988133e-10
MDAMB453,Flavopiridol,0.1,$k_{S}$,0.03404773089297527,3.2661857954612935e-10
MDAMB453,Flavopiridol,0.1,$k_{G2}$,0.0504555728803127,3.2661857954612935e-10
MDAMB453,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.10433416388607188,3.2661857954612935e-10
MDAMB453,Flavopiridol,0.1,$k_{\phi}$,0.2535688293939876,3.2661857954612935e-10
MDAMB453,Flavopiridol,0.000316,$k_{S}$,0.05586009911246067,7.597530277837142e-10
MDAMB453,Flavopiridol,0.000316,$k_{G2}$,0.05571481906902628,7.597530277837142e-10
MDAMB453,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.16155411307079345,7.597530277837142e-10
MDAMB453,Flavopiridol,0.000316,$k_{\phi}$,0.5892527693955613,7.597530277837142e-10
MDAMB453,Flavopiridol,0.000316,$k_{S}$,0.044303361116275655,1.2831068330462596e-09
MDAMB453,Flavopiridol,0.000316,$k_{G2}$,0.039307761754241895,1.2831068330462596e-09
MDAMB453,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.10950365160709341,1.2831068330462596e-09
MDAMB453,Flavopiridol,0.000316,$k_{\phi}$,0.9533137108330092,1.2831068330462596e-09
MDAMB453,Flavopiridol,0.000316,$k_{S}$,0.0593249959373528,3.5156746449991156e-10
MDAMB453,Flavopiridol,0.000316,$k_{G2}$,0.04399730499915544,3.5156746449991156e-10
MDAMB453,Flavopiridol,0.000316,$k_{M}$$k_{G1}$,0.17406043183529155,3.5156746449991156e-10
MDAMB453,Flavopiridol,0.000316,$k_{\phi}$,0.2906155733241589,3.5156746449991156e-10
MDAMB453,Flavopiridol,0.316228,$k_{S}$,0.003947801635641225,6.566556302851172e-11
