cell_line,agent,concentration,parameter,rate,obj_func
MDAMB453,SY-1365,1e-05,$k_{S}$,0.04719568234064618,5.300798035127085e-10
MDAMB453,SY-1365,1e-05,$k_{G2}$,0.035402002315328265,5.300798035127085e-10
MDAMB453,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.11419350130162445,5.300798035127085e-10
MDAMB453,SY-1365,1e-05,$k_{\phi}$,0.6802532606276448,5.300798035127085e-10
MDAMB453,SY-1365,1e-05,$k_{S}$,0.051940148779630026,1.5408320223030094e-09
MDAMB453,SY-1365,1e-05,$k_{G2}$,0.046889921901552084,1.5408320223030094e-09
MDAMB453,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.16229534579512347,1.5408320223030094e-09
MDAMB453,SY-1365,1e-05,$k_{\phi}$,0.6686874416437185,1.5408320223030094e-09
MDAMB453,SY-1365,1e-05,$k_{S}$,0.060232540904163925,82.14289466267248
MDAMB453,SY-1365,1e-05,$k_{G2}$,0.04439693115590776,82.14289466267248
MDAMB453,SY-1365,1e-05,$k_{M}$$k_{G1}$,0.1305211967667294,82.14289466267248
MDAMB453,SY-1365,1e-05,$k_{\phi}$,0.403171638132207,82.14289466267248
MDAMB453,SY-1365,0.031623,$k_{S}$,0.002528456981916045,15524.423126811707
MDAMB453,SY-1365,0.031623,$k_{G2}$,0.03405733014980185,15524.423126811707
MDAMB453,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.004256741501860019,15524.423126811707
MDAMB453,SY-1365,0.031623,$k_{\phi}$,1e-07,15524.423126811707
MDAMB453,SY-1365,0.031623,$k_{S}$,7.480465093415487e-06,2719.451727055125
MDAMB453,SY-1365,0.031623,$k_{G2}$,0.026900529215534163,2719.451727055125
MDAMB453,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.0016332987542655205,2719.451727055125
MDAMB453,SY-1365,0.031623,$k_{\phi}$,1e-07,2719.451727055125
MDAMB453,SY-1365,0.031623,$k_{S}$,0.0023933834334887347,42064.19139237956
MDAMB453,SY-1365,0.031623,$k_{G2}$,0.022229717974754096,42064.19139237956
MDAMB453,SY-1365,0.031623,$k_{M}$$k_{G1}$,0.008234916166630732,42064.19139237956
MDAMB453,SY-1365,0.031623,$k_{\phi}$,1e-07,42064.19139237956
MDAMB453,SY-1365,0.000316,$k_{S}$,0.052085321054292,6.949130011206946e-10
MDAMB453,SY-1365,0.000316,$k_{G2}$,0.04552448615746094,6.949130011206946e-10
MDAMB453,SY-1365,0.000316,$k_{M}$$k_{G1}$,0.1263060911181396,6.949130011206946e-10
MDAMB453,SY-1365,0.000316,$k_{\phi}$,0.2668832943288104,6.949130011206946e-10
MDAMB453,SY-1365,0.000316,$k_{S}$,0.051769226261030206,1.2207299537468543e-09
MDAMB453,SY-1365,0.000316,$k_{G2}$,0.03953733330800529,1.2207299537468543e-09
MDAMB453,SY-1365,0.000316,$k_{M}$$k_{G1}$,0.13938762448385658,1.2207299537468543e-09
MDAMB453,SY-1365,0.000316,$k_{\phi}$,0.686206819838601,1.2207299537468543e-09
MDAMB453,SY-1365,0.000316,$k_{S}$,0.05975626335073247,25.64943343365071
MDAMB453,SY-1365,0.000316,$k_{G2}$,0.051659586478011395,25.64943343365071
MDAMB453,SY-1365,0.000316,$k_{M}$$k_{G1}$,0.2054262457475584,25.64943343365071
MDAMB453,SY-1365,0.000316,$k_{\phi}$,0.2953835972309059,25.64943343365071
MDAMB453,SY-1365,0.001,$k_{S}$,0.013757670973932339,3.4459844252541695e-10
MDAMB453,SY-1365,0.001,$k_{G2}$,0.018763091340689812,3.4459844252541695e-10
MDAMB453,SY-1365,0.001,$k_{M}$$k_{G1}$,0.02791588666982619,3.4459844252541695e-10
MDAMB453,SY-1365,0.001,$k_{\phi}$,0.1476559302393276,3.4459844252541695e-10
MDAMB453,SY-1365,0.001,$k_{S}$,0.013699787625942338,2.3325849689278047e-10
MDAMB453,SY-1365,0.001,$k_{G2}$,0.018159232717140955,2.3325849689278047e-10
MDAMB453,SY-1365,0.001,$k_{M}$$k_{G1}$,0.02661838355001247,2.3325849689278047e-10
MDAMB453,SY-1365,0.001,$k_{\phi}$,0.4096955955124829,2.3325849689278047e-10
MDAMB453,SY-1365,0.001,$k_{S}$,0.0011272233833459393,416.0060305241393
MDAMB453,SY-1365,0.001,$k_{G2}$,0.0066385535322883524,416.0060305241393
MDAMB453,SY-1365,0.001,$k_{M}$$k_{G1}$,0.0031023527906468037,416.0060305241393
MDAMB453,SY-1365,0.001,$k_{\phi}$,1e-07,416.0060305241393
MDAMB453,SY-1365,0.0001,$k_{S}$,0.05088174919961661,9.31450947395072e-10
MDAMB453,SY-1365,0.0001,$k_{G2}$,0.042234612556410575,9.31450947395072e-10
MDAMB453,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.11880600289541472,9.31450947395072e-10
MDAMB453,SY-1365,0.0001,$k_{\phi}$,0.35489011247043234,9.31450947395072e-10
MDAMB453,SY-1365,0.0001,$k_{S}$,0.05875471037367814,1.423993082174209e-09
MDAMB453,SY-1365,0.0001,$k_{G2}$,0.04828817207190418,1.423993082174209e-09
MDAMB453,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.1443076291657035,1.423993082174209e-09
MDAMB453,SY-1365,0.0001,$k_{\phi}$,0.6657227044292523,1.423993082174209e-09
MDAMB453,SY-1365,0.0001,$k_{S}$,0.05821890603296955,1.3674074606933848e-09
MDAMB453,SY-1365,0.0001,$k_{G2}$,0.04554879161827407,1.3674074606933848e-09
MDAMB453,SY-1365,0.0001,$k_{M}$$k_{G1}$,0.21254419090237986,1.3674074606933848e-09
MDAMB453,SY-1365,0.0001,$k_{\phi}$,0.3786719683119666,1.3674074606933848e-09
MDAMB453,SY-1365,0.003162,$k_{S}$,0.002779601917031277,35214.10274633495
MDAMB453,SY-1365,0.003162,$k_{G2}$,0.023880806566126015,35214.10274633495
MDAMB453,SY-1365,0.003162,$k_{M}$$k_{G1}$,0.007269207581606248,35214.10274633495
MDAMB453,SY-1365,0.003162,$k_{\phi}$,1e-07,35214.10274633495
MDAMB453,SY-1365,0.003162,$k_{S}$,0.001187828587271031,16200.272858970677
MDAMB453,SY-1365,0.003162,$k_{G2}$,0.023266634038408632,16200.272858970677
MDAMB453,SY-1365,0.003162,$k_{M}$$k_{G1}$,0.0035613006774795264,16200.272858970677
MDAMB453,SY-1365,0.003162,$k_{\phi}$,1e-07,16200.272858970677
MDAMB453,SY-1365,0.003162,$k_{S}$,0.0023690301543107537,31937.240975476623
MDAMB453,SY-1365,0.003162,$k_{G2}$,0.025272060567548483,31937.240975476623
MDAMB453,SY-1365,0.003162,$k_{M}$$k_{G1}$,0.006531104371568295,31937.240975476623
MDAMB453,SY-1365,0.003162,$k_{\phi}$,1e-07,31937.240975476623
MDAMB453,SY-1365,0.1,$k_{S}$,0.0001426251179358193,5958.659500113767
MDAMB453,SY-1365,0.1,$k_{G2}$,0.02358911201997862,5958.659500113767
MDAMB453,SY-1365,0.1,$k_{M}$$k_{G1}$,0.00287136790671569,5958.659500113767
MDAMB453,SY-1365,0.1,$k_{\phi}$,1e-07,5958.659500113767
MDAMB453,SY-1365,0.1,$k_{S}$,0.0011710430267997504,6167.586041870486
MDAMB453,SY-1365,0.1,$k_{G2}$,0.03130809183762342,6167.586041870486
MDAMB453,SY-1365,0.1,$k_{M}$$k_{G1}$,0.002228485486512348,6167.586041870486
MDAMB453,SY-1365,0.1,$k_{\phi}$,1e-07,6167.586041870486
MDAMB453,SY-1365,0.1,$k_{S}$,0.004040669028662057,57589.53700723324
