cell_line,agent,concentration,parameter,rate,obj_func
MDAMB468,AZD1775,0.1,$k_{S}$,0.02781553052413166,1.4599420367363178e-10
MDAMB468,AZD1775,0.1,$k_{G2}$,0.07342199043191808,1.4599420367363178e-10
MDAMB468,AZD1775,0.1,$k_{M}$$k_{G1}$,0.09212957747585465,1.4599420367363178e-10
MDAMB468,AZD1775,0.1,$k_{\phi}$,0.19606961694656236,1.4599420367363178e-10
MDAMB468,AZD1775,0.1,$k_{S}$,0.030404541809279293,9.156319284249584e-11
MDAMB468,AZD1775,0.1,$k_{G2}$,0.07386168014151333,9.156319284249584e-11
MDAMB468,AZD1775,0.1,$k_{M}$$k_{G1}$,0.08292982024800692,9.156319284249584e-11
MDAMB468,AZD1775,0.1,$k_{\phi}$,0.16232920921955452,9.156319284249584e-11
MDAMB468,AZD1775,0.1,$k_{S}$,0.026460654938151452,8.503172512487178e-11
MDAMB468,AZD1775,0.1,$k_{G2}$,0.07490710975964232,8.503172512487178e-11
MDAMB468,AZD1775,0.1,$k_{M}$$k_{G1}$,0.0661343886511323,8.503172512487178e-11
MDAMB468,AZD1775,0.1,$k_{\phi}$,0.12094699983791966,8.503172512487178e-11
MDAMB468,AZD1775,0.001,$k_{S}$,0.03789705888080348,2.1732168811742175e-10
MDAMB468,AZD1775,0.001,$k_{G2}$,0.08817357934814836,2.1732168811742175e-10
MDAMB468,AZD1775,0.001,$k_{M}$$k_{G1}$,0.09894607205271193,2.1732168811742175e-10
MDAMB468,AZD1775,0.001,$k_{\phi}$,0.3684827179675601,2.1732168811742175e-10
MDAMB468,AZD1775,0.001,$k_{S}$,0.03926315069846774,2.711585470490702e-10
MDAMB468,AZD1775,0.001,$k_{G2}$,0.08847749423012817,2.711585470490702e-10
MDAMB468,AZD1775,0.001,$k_{M}$$k_{G1}$,0.10798002786176676,2.711585470490702e-10
MDAMB468,AZD1775,0.001,$k_{\phi}$,0.46222315288535587,2.711585470490702e-10
MDAMB468,AZD1775,0.001,$k_{S}$,0.03506962175375271,6.845476380240618e-11
MDAMB468,AZD1775,0.001,$k_{G2}$,0.07906961929154975,6.845476380240618e-11
MDAMB468,AZD1775,0.001,$k_{M}$$k_{G1}$,0.0808185623455272,6.845476380240618e-11
MDAMB468,AZD1775,0.001,$k_{\phi}$,0.31486063075906,6.845476380240618e-11
MDAMB468,AZD1775,0.003162,$k_{S}$,0.0357414998754178,2.100725734704928e-10
MDAMB468,AZD1775,0.003162,$k_{G2}$,0.07514328763107081,2.100725734704928e-10
MDAMB468,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.11338146425463541,2.100725734704928e-10
MDAMB468,AZD1775,0.003162,$k_{\phi}$,0.36836721753285784,2.100725734704928e-10
MDAMB468,AZD1775,0.003162,$k_{S}$,0.03340578283640412,1.3392800445811577e-10
MDAMB468,AZD1775,0.003162,$k_{G2}$,0.07784562273344091,1.3392800445811577e-10
MDAMB468,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.09398618527278223,1.3392800445811577e-10
MDAMB468,AZD1775,0.003162,$k_{\phi}$,0.27821554670688775,1.3392800445811577e-10
MDAMB468,AZD1775,0.003162,$k_{S}$,0.03173796443007333,1.8088088119420385e-10
MDAMB468,AZD1775,0.003162,$k_{G2}$,0.0797447099669823,1.8088088119420385e-10
MDAMB468,AZD1775,0.003162,$k_{M}$$k_{G1}$,0.09165807955263783,1.8088088119420385e-10
MDAMB468,AZD1775,0.003162,$k_{\phi}$,0.35410414547298785,1.8088088119420385e-10
MDAMB468,AZD1775,3.162278,$k_{S}$,0.021839651435984424,4.508736697829466e-11
MDAMB468,AZD1775,3.162278,$k_{G2}$,0.03315386421061134,4.508736697829466e-11
MDAMB468,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.03876693022082094,4.508736697829466e-11
MDAMB468,AZD1775,3.162278,$k_{\phi}$,0.06388427974439108,4.508736697829466e-11
MDAMB468,AZD1775,3.162278,$k_{S}$,0.02188089134507722,3.4669752494377573e-11
MDAMB468,AZD1775,3.162278,$k_{G2}$,0.0667973178904261,3.4669752494377573e-11
MDAMB468,AZD1775,3.162278,$k_{M}$$k_{G1}$,0.03866985168809548,3.4669752494377573e-11
MDAMB468,AZD1775,3.162278,$k_{\phi}$,0.07813986743746144,3.4669752494377573e-11
MDAMB468,AZD1775,3.162278,$k_{S}$,0.01747562547484958,3.2348740873179176e-11
MDAMB468,AZD1775,3.162278,$k_{G2}$,0.05098944067607186,3.2348740873179176e-11
