cell_line,agent,concentration,parameter,rate,obj_func
MDAMB468,Flavopiridol,1.0,$k_{S}$,0.0054585358127890145,34723.20398321613
MDAMB468,Flavopiridol,1.0,$k_{G2}$,0.025906789224033826,34723.20398321613
MDAMB468,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.010274725025412932,34723.20398321613
MDAMB468,Flavopiridol,1.0,$k_{\phi}$,1e-07,34723.20398321613
MDAMB468,Flavopiridol,1.0,$k_{S}$,0.014141738101996804,55687.6880372514
MDAMB468,Flavopiridol,1.0,$k_{G2}$,0.03067184508819966,55687.6880372514
MDAMB468,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.011230532219461815,55687.6880372514
MDAMB468,Flavopiridol,1.0,$k_{\phi}$,1e-07,55687.6880372514
MDAMB468,Flavopiridol,1.0,$k_{S}$,0.005228320989411158,17960.72330206655
MDAMB468,Flavopiridol,1.0,$k_{G2}$,0.03207225186087668,17960.72330206655
MDAMB468,Flavopiridol,1.0,$k_{M}$$k_{G1}$,0.008601166587149663,17960.72330206655
MDAMB468,Flavopiridol,1.0,$k_{\phi}$,1e-07,17960.72330206655
MDAMB468,Flavopiridol,0.1,$k_{S}$,0.052062787869331176,2.66320757811833e-10
MDAMB468,Flavopiridol,0.1,$k_{G2}$,0.05935359313667446,2.66320757811833e-10
MDAMB468,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.046701112302405895,2.66320757811833e-10
MDAMB468,Flavopiridol,0.1,$k_{\phi}$,0.24398292409741118,2.66320757811833e-10
MDAMB468,Flavopiridol,0.1,$k_{S}$,0.06568109398284468,1.4566429244039725e-10
MDAMB468,Flavopiridol,0.1,$k_{G2}$,0.07869868443792821,1.4566429244039725e-10
MDAMB468,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.05444780329077828,1.4566429244039725e-10
MDAMB468,Flavopiridol,0.1,$k_{\phi}$,0.29634246505127126,1.4566429244039725e-10
MDAMB468,Flavopiridol,0.1,$k_{S}$,0.045719945737564736,2.399061626586647e-10
MDAMB468,Flavopiridol,0.1,$k_{G2}$,0.06626607534018411,2.399061626586647e-10
MDAMB468,Flavopiridol,0.1,$k_{M}$$k_{G1}$,0.04051008499987172,2.399061626586647e-10
MDAMB468,Flavopiridol,0.1,$k_{\phi}$,0.2530271899459753,2.399061626586647e-10
MDAMB468,Flavopiridol,0.003162,$k_{S}$,0.03464599153825283,5.216537181423795e-10
MDAMB468,Flavopiridol,0.003162,$k_{G2}$,0.056217641194472104,5.216537181423795e-10
MDAMB468,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.06127714363544807,5.216537181423795e-10
MDAMB468,Flavopiridol,0.003162,$k_{\phi}$,24.06995562117791,5.216537181423795e-10
MDAMB468,Flavopiridol,0.003162,$k_{S}$,0.04817377746671391,5.668494718468588e-10
MDAMB468,Flavopiridol,0.003162,$k_{G2}$,0.07052301409729131,5.668494718468588e-10
MDAMB468,Flavopiridol,0.003162,$k_{M}$$k_{G1}$,0.08124552276142585,5.668494718468588e-10
MDAMB468,Flavopiridol,0.003162,$k_{\phi}$,0.5541075442976968,5.668494718468588e-10
MDAMB468,Flavopiridol,0.003162,$k_{S}$,0.044014389569354634,2.7120405301070887e-10
MDAMB468,Flavopiridol,0.003162,$k_{G2}$,0.07701736453600189,2.7120405301070887e-10
